table,column,type,required,ref,note
backbone,id,key,yes,,
backbone,run,str,no,,
backbone,cable,str,no,,
backbone,protection,str,no,,
backbone,why,text,no,,
cables,id,key,yes,,
cables,run,str,no,,
cables,awg,enum(1/0|10|2|6),no,,
cables,ft,num,no,,
cables,colour,enum(BLK|RED),no,,
cables,note,text,no,,R11 - a length nobody has measured carries confirm (2026-09-21)
carts,store,key,yes,,
carts,total_usd,num,no,,
carts,lines_txt,str,no,,
carts,url,str,no,,
carts,note,str,no,,
cavities,id,key,yes,,
cavities,housing,str,no,housings.code,
cavities,cav,int,no,,
cavities,circuit,str,no,,
cavities,src,str,no,,
cavities,src_note,str,no,,
cavities,awg,str,no,,
cavities,colour,str,no,,
cavities,state,enum(CAPPED|LIVE|PLUG|RESERVED),no,,
cavities,lands_on,text,no,,
cavities,route,str,no,routes.id,"the run this conductor follows from the post - ONLY for a conductor with no device at its far end (a node, a receptacle, a socket); otherwise devices.route is the home (D-385)"
colours,id,key,yes,,
colours,family,text,no,,
colours,gauges,str,no,,
decisions,id,key,yes,,
decisions,system,str,no,,
decisions,title,text,no,,
decisions,date,date,no,,
decisions,status,enum(inherited|standing|superseded|withdrawn),no,,vocabulary owned by tools/rx7.py - do not narrow it per project (2026-09-11)
decisions,supersedes,str,no,,
decisions,superseded_by,id,no,,
decisions,closes,str,no,,
decisions,also,str,no,,
devices,id,key,yes,,
devices,zone,enum(Drop|L1|L2|L3|L4|Sill),no,,
devices,device,str,no,,
devices,ident,text,no,,
devices,terminals,text,no,,
devices,ground,text,no,,
devices,route,str,no,routes.id,"the run this device's conductors follow from the post - set only where routes.to_node names the device; blank means the record does not say yet (D-385)"
fuses,id,key,yes,,
fuses,rating,str,no,,
fuses,location,str,no,,
fuses,block,enum(A|B),no,,
fuses,pos,int,no,,
fuses,feeds,str,no,,
fuses,fed_from,str,no,,
fuses,state,enum(EMPTY|LIVE),no,,
fuses,label,str,no,,
grounds,id,key,yes,,
grounds,zone,enum(L1|L2|L3|L4|Sill),no,,
grounds,return,str,no,,
grounds,awg,enum(1/0|10|12|14|16|2),no,,
grounds,qty,int,no,,
grounds,ft,int,no,,
grounds,note,text,no,,R11 - a length nobody has measured carries confirm (2026-09-21)
housings,code,key,yes,,
housings,leg,str,no,,
housings,class,enum(Blower|Door|Medium|Module|Port|Power|Signal),no,,
housings,leg_side,enum(DT06-08S|DT06-12S|DT06-2S|DT06-4S|DT06-6S|DT06-8S|DTP06-2S|DTP06-4S),no,,
housings,box_side,str,no,,
housings,cavs,int,no,,
housings,wedgelocks,str,no,,
housings,where,str,no,,
housings,note,text,no,,
icu_channels,id,key,yes,,
icu_channels,kind,enum(bus|display|input|power|radio|sensor),no,,
icu_channels,signal,str,no,,
icu_channels,at_the_drop,text,no,,
icu_channels,on_the_wire,text,no,,
icu_channels,carrier_stage,text,no,,
icu_channels,teensy_pin,str,no,,
icu_channels,calibration,text,no,,
icu_channels,can,str,no,,
icu_channels,note,text,no,,
inputs,id,key,yes,,
inputs,title,str,no,,
inputs,kind,enum(12v|ground|output),no,,output = the pin is configured as one of O17-O24 and is not an input at all; widened 2026-09-12 so this table can describe the real channel set (D-331 / W-331)
inputs,window,int,no,,
inputs,fault_rule,str,no,,
ladders,id,key,yes,,
ladders,input,str,no,inputs.id,
ladders,state,str,no,,
ladders,r,str,no,,
loads,id,key,yes,,
loads,circuit,text,no,,
loads,ch,str,no,,
loads,rated,str,no,,
loads,design_a,str,no,,
loads,measured_a,str,no,,
loads,basis,str,no,,
log,id,key,yes,,
log,date,date,no,,
log,workflow,enum(answers|clean|closed|repair|session),no,,
log,ids,text,no,,
log,summary,text,no,,
logic,id,key,yes,,
logic,channel,str,no,,
logic,expression,text,no,,
logic,inrush,str,no,,
logic,retry,str,no,,
logic,retry_class,enum(conditional|critical|guarded|lamp|motor|none),no,,names the retry behaviour; the parameters are in rules retry-class (D-279). conditional added 2026-09-21 for MOTOR_BUS (D-357)
migration,id,key,yes,,
migration,seq,int,no,,
migration,circuit,text,no,,
migration,ch,str,no,,
node_conductors,id,key,yes,,
node_conductors,src,str,no,,
node_conductors,dst,text,no,,
node_conductors,awg,str,no,,
node_conductors,colour,str,no,,
node_conductors,note,text,no,,
params,key,key,yes,,
params,value,str,no,,
params,unit,enum(A|KB|bits|kbps|ms|px),no,,from the luxury package's params (D-374); empty on the rows that carry their unit in the key
params,source,str,no,,
params,note,text,no,,
parts,id,key,yes,,
parts,store,str,no,,
parts,section,str,no,,
parts,sku,str,no,,
parts,item,text,no,,
parts,spec,text,no,,
parts,qty,str,no,,
parts,unit,enum(ea|ft|pair|set),no,,
parts,unit_usd,int,no,,
parts,basis,enum(cart|est),no,,
parts,used_for,text,no,,
parts,status,str,no,,
parts,need_rule,str,no,,
parts,target,str,no,,
pins,pin,key,yes,,
pins,cav_size,enum(L|M|S|stud),no,,
pins,ch,str,no,,
pins,name,str,no,,
pins,type,enum(CAN1|CAN2|GND|MAIN|REF|WAKE|input|output),no,,
pins,awg,str,no,,
pins,colour,enum(BLK|BLU|GRN|GRY|ORN|PNK|RED|YEL),no,,
pins,circuit,text,no,,
pins,goes_to_fixed,str,no,,
pins,est_a,num,no,,
pins,enable_a,num,no,,
pins,enable_basis,str,no,,
pins,inrush_x,num,no,,
pins,inrush_ms,int,no,,
pins,state,enum(CAPPED|LIVE),no,,
pins,note,str,no,,
pins,baseline_a,num,no,,"measured live at shakedown (CK01) - the health band is derived from it, never typed (rules health-band)"
relays,id,key,yes,,
relays,function,str,no,,
relays,type,str,no,,
relays,location,str,no,,
relays,c86,str,no,,
relays,c85,str,no,,
relays,c30,str,no,,
relays,c87,str,no,,
relays,c87a,str,no,,
relays,state,enum(LIVE|SPARE),no,,
relays,label,str,no,,
retired,term,key,yes,,
retired,retired_by,id,no,,
retired,note,str,no,,
rules,id,key,yes,,
rules,rule,str,no,,
rules,definition,text,no,,
series,id,key,yes,,
series,contact,str,no,,
series,wire,str,no,,
series,rated,str,no,,
series,used_for,str,no,,
work,id,key,yes,,
work,stage,enum(A|B|C|D|E|F|G|R|S|V|Z),no,,V added 2026-09-11: the verify/measure/do items carried over from the v2 question list; R and Z added 2026-09-23 (D-386): the risk-review rows and the design freeze; S (D-387): the interior strip
work,stage_title,str,no,,
work,item,text,no,,
work,owner,enum(agent|camden),no,,
work,state,enum(blocked|done|dropped|open),no,,vocabulary owned by tools/rx7.py - do not narrow it per project (2026-09-11)
work,gate,str,no,,"references only - D-###, a block id like 00.18, a work id in this area, <area>:<work id>, or phase:<PHASE>; all must be met before the row can start, an empty cell is met, and prose belongs in note (2026-09-12)"
work,note,text,no,,
work,track,enum(build|design),no,,"which TODO the row lives in (D-386): design = 00-design/TODO.md, everything up to the verified design; build = 01-build/TODO.md, all of it gated on phase:SOURCING, the design freeze"
checks,id,key,yes,,
checks,when,str,no,,"the step it belongs to - M-1, shakedown, install 2.14, PMU client 5.4"
checks,subject,str,no,,
checks,method,text,no,,"how to take it, precisely enough to take it once"
checks,expect,text,no,,"the number or band, and what a reading outside it means"
checks,feeds,str,no,,the rows and decisions that consume the reading
checks,note,text,no,,
recovery,id,key,yes,,
recovery,seq,int,no,,
recovery,situation,enum(always|dead module|soft fault),no,,
recovery,step,text,no,,
recovery,detail,text,no,,
routes,id,key,yes,,
routes,leg,str,no,,
routes,from_node,str,no,,
routes,to_node,str,no,,
routes,via,str,no,,the grommet or path the tape follows
routes,ft,num,no,,"measured route length, feet - blank until M-2; the cut length is 1.5x this (D-202)"
routes,note,text,no,,
dcu_channels,id,key,yes,,
dcu_channels,kind,enum(bus|input|output|power|sensor),no,,
dcu_channels,signal,str,no,,
dcu_channels,at_the_drop,text,no,,
dcu_channels,on_the_wire,text,no,,
dcu_channels,carrier_stage,text,no,,
dcu_channels,teensy_pin,str,no,,"pin class until H-002 assigns numbers; the number is promoted here, never kept only in KiCad"
dcu_channels,calibration,text,no,,
dcu_channels,can,str,no,,
dcu_channels,note,text,no,,
bringup_log,date,key,yes,,
bringup_log,board,str,no,,
bringup_log,firmware,str,no,,
bringup_log,event,str,no,,
can_fields,id,key,yes,,
can_fields,msg,str,no,can_messages.id,
can_fields,bytes,str,no,,
can_fields,field,str,no,,
can_fields,encoding,text,no,,
can_fields,note,text,no,,
can_messages,id,key,yes,,
can_messages,name,str,no,,
can_messages,sender,enum(DCU|ICU|PANEL|PMU|WBO),no,modules.id,
can_messages,rate_hz,str,no,,
can_messages,timeout_ms,int,no,,
can_messages,on_timeout,str,no,,
can_messages,status,str,no,,
can_messages,note,text,no,,
modules,id,key,yes,,
modules,module,str,no,,
modules,board,str,no,,
modules,location,str,no,,
modules,logic_power,str,no,,
modules,heavy_power,text,no,,
modules,drops,str,no,,
modules,state,text,no,,
modules,owns,text,no,,
panel_ribbon,pin,key,yes,,
panel_ribbon,signal,str,no,,
panel_ribbon,dcu_side,text,no,,what the DCU carrier does with it
panel_ribbon,panel_side,text,no,,what it lands on at the panel
panel_ribbon,note,text,no,,
wake_stages,id,key,yes,,
wake_stages,side,enum(door|A8|shared),no,,"door = stage 1 on A6, A8 = stage 2 on A8"
wake_stages,part,str,no,,
wake_stages,value,str,no,,
wake_stages,from,str,no,,one end
wake_stages,to,str,no,,the other end
wake_stages,role,text,no,,
wake_stages,note,text,no,,
