id,system,title,date,status,supersedes,superseded_by,closes,also,body
D-208,The boundary — what the electrical build hands over,"This project is fabrication, modules and software; it does no harness…",,superseded,,D-216,,D-215,"**D-208(f) / D-215 — This project is fabrication, modules and software; it does no harness work.** Every conductor a luxury feature needs is already run and capped in the electrical build, and its relay sockets and fuse positions are fitted empty. What is waiting (all detail in `../electrical-build/01-DESIGN/DESIGN.md`):

| Provision | Where | For |
|---|---|---|
| O15 comfort bus, 25 A, capped twice | L3-P 2 (dash) · L4-P 4 (sill — F14 mirror heat, D-254) | Seats, mirror heat, whatever the DCU switches — this project adds its own fuse block on O15 |
| Blower receptacle `L3-BLW` (DTP-2) at the HVAC case — O16 feed + 12 AWG return, dust-capped | HVAC case | The replacement blower motor and its ≥ 20 kHz final-stage adapter (D-253 / D-257 / D-308) |
| O4 defog output, wired to the grid, configured, disabled | L4-P 1 | The defogger — needs only a trigger (a panel key or a hardwired switch on a spare L3-S2 cavity) |
| Window commands ×4, capped both ends | L3-S2 3–6 → L4-M 9–12 | Power windows: switches at the console, K5–K8 sockets and F8/F9 positions at the sill, motor legs in D1/D2 1–2 |
| O1 window motor bus feed, capped | L4-P 3 | The K5–K8 contact feed |
| Mirror motor ×3 + mirror heat, capped in each door; mirror-adjust commands dash → sill | D1/D2 4–7, F14 position at the sill; `L4-S2 1–5` (D-255) | Heated, powered mirrors — a panel switch or the DCU drives `L4-S2` |
| Future module +12 V switched and ground, capped | L3-S2 7, L3-S2 8 | Any dash module |
| Pass-through ×3 dash ↔ rear, capped | L3-S3 1–3 ↔ L4-S 5–7 | Radar rear sensor, or anything else needing a dash-to-hatch link |
| Hatch and fuel-door solenoid outputs, capped | L4-M 3, L4-M 4 | Solenoids on an O10 branch with their own fuses (D-180) |
| DP-ICU-A — 6-way: switched 12 V, illumination reference, ground, CAN2 (cavities 1 · 3 · 4 · 5 the same as DP-DCU) | dash post | The cluster module's power and bus (D-252) |
| DP-ICU-B — 12-way, sensors only: taps on water temp, oil pressure, fuel level, tach, charge sense, brake warning; oil-temperature and road-speed conductors run and capped; one spare pre-wired from the engine leg; three plugs | dash post | The cluster module's inputs (D-250 · D-251 · D-252) |
| DP-DCU — 6-way: switched 12 V, ground, CAN2, outside-air temperature on 2 (from `L2-S 5`, D-256) | dash post | The climate / comfort module |
| `L2-S 5` outside-air sensor · `L2-S 6` heated-nozzle / de-icer feed, capped at the nose / cowl | front leg | Display temperature; heated nozzles if `Q-303` finds one (D-256) |
| DP-KEY — 4-way: CAN2, switched 12 V off O10, ground | dash | The custom control panel (D-210) |
| K3 / K4 empty sockets, F13 position, two spare block-B fuse positions | dash node | Anything else |
| CAN2 at 500 kbps, far-end 120 Ω already fitted in the engine bay | — | New nodes plug into the drops; termination never changes |"
D-081,The boundary — what the electrical build hands over,Modules join a finished car,,inherited,,,,,"**D-081 — Modules join a finished car.** The PMU harness drives, shakes down and has its factory harness removed first; nothing here is a dependency for the car starting, running or being legal."
D-210,The boundary — what the electrical build hands over,No ECUMaster keypad; the control panel is a custom design that lands on…,,superseded,,D-355,,,"**D-210 — No ECUMaster keypad; the control panel is a custom design that lands on DP-KEY.** Its keys: defog, hatch release, fuel-door release, then the climate and comfort controls (A/C mode, fan, temperature, seat heat). Frame `0x400` is reserved for its buttons. The wink switches are hardwired in the electrical build and can never be panel keys (they must work with the panel asleep and their NC poles interrupt the pop-up relay coils).

**D-209(b)(e) — Still to design here:** the parking-brake sense (no input in the PMU build — a switch into a spare ladder state, or a CAN node), and the hatch latch switch (K-016, broken, unsourced)."
D-075,Modules — DCU and ICU,"Two nodes: the DCU (climate, HVAC servos, comfort switching) and the…",,inherited,,,,D-077 D-083,"**D-075 / D-077 / D-083 — Two nodes: the DCU (climate, HVAC servos, comfort switching) and the ICU (instrument display *and* engine-sensor acquisition).** A gauge's sender wires into the box that draws the gauge — sender → ADC → pixel, no bus hop — so if CAN2 fails the ICU still shows tach, water temp, oil pressure and speed from its own inputs. The DP-ICU taps exist for this."
D-306,Modules — DCU and ICU,"The ICU joins early, headless: a carrier with the analog front end, the…",2026-09-07,standing,,,,,"**D-306 — The ICU joins early, headless: a carrier with the analog front end, the Teensy and the CAN transceiver, plugged into `DP-ICU-A` / `DP-ICU-B` after the electrical build's shakedown, publishing on CAN2 while the factory cluster stays the instrument; the display and the dash plastics arrive later as a bezel-only event.** Camden's call, 2026-09-07, the module half of the electrical build's `Q-116` (its wiring half is electrical D-251). Every sensor is read once, at the ICU, and every other reader gets it from the bus: the PMU logs rpm, oil pressure, water temperature and fuel level as received channels from the day the node powers up, and D-183's rpm terms can come in years before a screen exists. D-081 holds — nothing that starts, runs or makes the car legal depends on this node — and D-251 forbids it ever becoming a control source: a CAN value in any PMU control rule fails open. Three consequences. **(1) Fuel level is this module's signal.** The electrical build re-pointed A7 at the oil-pressure node for the fuel-pump gate (D-249), so `DP-ICU-B 3` taps the fuel node and the ICU publishes it in a new slow frame, **`0x218` at 2 Hz** (`01-DESIGN/CAN-MESSAGES.md`); the PMU's `0x120` bytes 0–1 become reserved. Oil pressure stays in `0x200` — a lower identifier at 20 Hz — which is what ""oil pressure outranks fuel level"" means on a bus: priority is per frame, never per byte. **(2) D-078 is superseded and restated.** Single source per signal stands: the PMU owns battery voltage, key state, output states and channel currents; the ICU owns rpm, water temp, oil temp, oil pressure, road speed *and fuel level*; the one deliberate double read is the oil-pressure node, watched by the gauge, the PMU's A7 and the ICU, as a cross-check. **(3) The carrier's analog front end is built without the display** — easier, not harder — and its 12 V input stays on `DP-ICU-A 1` (O10) at Teensy-plus-transceiver draw until `Q-302` is measured with a panel attached. The `DP-ICU` cavity map moved (electrical D-252): old 1 → A 1 · 2 → A 3 · 3 → A 4 · 4 → A 5 · 5 → A 2 · 6 → B 1 · 7 → B 2 · 9 → B 4 · 11 → B 5 · 12 → B 6; D-304's ""tapped to DP-ICU 9"" is `DP-ICU-B 4`."
D-307,Modules — DCU and ICU,Blower speed is the DCU's command and the PMU's PWM: the DCU sends a…,2026-09-07,standing,,,,,"**D-307 — Blower speed is the DCU's command and the PMU's PWM: the DCU sends a duty on `0x300` byte 1, the PMU applies it to O16, and the motor is a 2-wire brushed blower (Four Seasons 35483 class, motor only — the squirrel cage transfers) that this project buys and plugs into `L3-BLW` at the HVAC case; no resistor pack, no speed switch, no blower power stage on the DCU carrier.** Camden's call, 2026-09-07 (electrical `Q-112` → D-253). The DCU's blower output is a CAN field, not a FET — `V-083`'s comfort FETs serve seats, mirror heat and nozzles only. *Fallback, decided at bring-up:* if the PMU's PWM frequency makes the blower hum at part speed, a low-side final stage (an OEM-style blower regulator or a ≥ 20 kHz PWM module, mounted in the resistor pack's hole for airflow) inserts at `L3-BLW` as a plug-in adapter and takes its command from the DCU on a local pigtail — the harness does not change either way. On a lost `0x300` the PMU holds a default duty; the timeout row says so. Two more things the DCU owns from the same session: **outside-air temperature** arrives on `DP-DCU 2` (electrical D-256) and is published in `0x300` byte 5 beside cabin temperature, for the cluster to display — there is no automatic climate control and none is planned; and the **heated-nozzle / park-de-icer feed** is run on `L2-S 6`, conditional on `Q-303`. Mirror adjustment has its conductors (`L4-S2`, electrical D-255); whether a mechanical switch in the panel or the DCU's bridges drive them is this project's choice when the panel is designed — D-305's feature set (adjust and heat only) is unchanged."
D-308,Modules — DCU and ICU,"The blower's PWM is the final stage's, not the PMU's: the DCU carrier…",2026-09-07,standing,,,,,"**D-308 — The blower's PWM is the final stage's, not the PMU's: the DCU carrier gets one logic-level PWM output (≥ 20 kHz) for a low-side blower final stage that plugs in at `L3-BLW`, bought by this project with the motor; `0x300` byte 1 is the duty the DCU reports, and the PMU never acts on it.** Camden's fact, 2026-09-07 — the PMU's PWM is adjustable 4–400 Hz per output — and electrical D-257's consequence. Amends D-307's control path; everything else in D-307 stands. The module (a ≥ 25 A, ≥ 20 kHz PWM controller with its own freewheel diode and a PWM / 0–5 V input, or an OEM-style linear blower regulator if its heat is acceptable) mounts in the resistor pack's hole for airflow and takes PWM, ground and, if it needs one, +12 V from the DCU on a local pigtail. `V-083` gains the PWM pin; the timeout row for `0x300` no longer involves the PMU — a lost frame leaves the final stage on the DCU's last local command."
D-313,Modules — DCU and ICU,"The ICU is handed to the electrical build: carrier H-001, its channels…",2026-09-07,superseded,,D-374,Q-302,,"**D-313 — The ICU is handed to the electrical build: carrier H-001, its channels, its parts, its bench commissioning and its layout questions are that project's (electrical D-259); this project keeps the display chain, the pages, the CAN map and the DCU. The display's backlight is the F16 ignition aux on `DP-ICU-A 6`, delivered through the ICU board (electrical D-258) — `Q-302` closes on it, and `Q-301` closes as moot.** Camden's call, 2026-09-07 (electrical `Q-122`: ""the ICU is done and seamless before luxury starts; only the display comes with luxury""). *What moves:* features FT01–FT05 and FT30 (marked *moved*); sensors SN01–SN10 — the observer front end of D-310, superseded with the cluster drop it observed, the rows archived under `99-ARCHIVE/Luxury/2026-09-07b_icu-to-electrical/`; parts LP10 / LP12 / LP13 / LP15 / LP16; work F-003 / F-004 / H-001; the questions `V-073`, `V-082`, `V-057`, `Q-304`, `Q-308`, `Q-309`, numbers kept; and `ICU-CARRIER.md`. *What stays:* `S1` in the stage table, as the prerequisite the other project delivers; the `0x200` / `0x210` / `0x218` frames in the map — the bus is one map; the firmware tree (R6, one source — its sensing half is now specified by the electrical build's `icu_channels.csv`, its rendering half by this project); `T-051`, `V-084`, `V-085`; the O15 block, which no longer carries a ""display backlight if Q-302 says so"" clause. *Supersedes* D-306's timing (""after the electrical build's shakedown"" — the ICU goes in *with* the harness) and its consequence (3); D-310's observer front end and its DNP pull-ups (the ICU excites the senders from day one — electrical D-258; the one BRAKE tell-tale stands); D-312's S1 as a stage of this project. The rest of D-306 — single source per signal, fuel level on `0x218`, D-251's fail-open — is unchanged."
D-314,Modules — DCU and ICU,"The display goes in with the ICU, by the electrical build; this project…",2026-09-07,superseded,,D-374,,,"**D-314 — The display goes in with the ICU, by the electrical build; this project keeps the bezel. `T-051` (the BT817 evaluation board), `V-085` (the glass), `V-084` (the timings) and parts LP05 / LP26 / LP27 / LP28 move to that project with their numbers; `S3` becomes the dash-plastics stage — a foam-plug-and-fibreglass bezel moulded around the display on the electrical build's binnacle plate (FT34, H-006, LP29); `F-007` (odometer persistence) is a cutover gate for that build; the pages stay this project's firmware.** Camden's call, 2026-09-07 (electrical `Q-129` → D-268): ""install the digital dash display now and leave the dash plastic — a foam and fibreglass mould — to the luxury package."" The reasoning is the electrical build's (its parallel-system migration already keeps the factory cluster alive until the meters cutover, so no temporary cluster was ever needed); the consequence here is that this project no longer owns any part of the instrument except its shape. *Supersedes* D-313's ""keeps the display chain"" clause and D-312's S3; D-159 (the display never crosses the harness) and D-192 (instant-on) stand and are now the electrical build's to honour."
D-084,Modules — DCU and ICU,"Teensy 4.1 in both boxes (three bought — one spare), TI TCAN1042/1051…",,inherited,,,,D-085 D-086 D-088 D-089,"**D-084 / D-085 / D-086 / D-088 / D-089 — Teensy 4.1 in both boxes (three bought — one spare), TI TCAN1042/1051 transceivers, CAN 2.0B at 500 kbps with 11-bit IDs (the PMU is not CAN-FD), load-dump TVS on both module supplies (reverse polarity → TVS → filter → automotive buck → the Teensy's 3.3 V), Teensy socketed on its carrier so a heat casualty is a $32 swap.**"
