id,stage,stage_title,item,owner,state,gate,note,track,reply,choices,unit,result,settles
A1,A,"At the desk, now — no car, no parts",Close the cart gaps,camden,open,phase:SOURCING,Blocked by D-323: nothing is bought until the design is complete and Camden understands it. No store is paid while any block that changes a line is open.,build,,,,,
A2,A,"At the desk, now — no car, no parts",Order the vehicle parts,camden,open,phase:SOURCING,"— the Vehicle parts rows P085, P086, P113 (was the v2 shopping list §6, archived — 99-ARCHIVE). The senders are *not* on it: the car's own work and stay (D-261). The brake pedal switch can be **any 2-terminal type** - the wake contact is a spare P084 plunger on the pedal instead (D-278).",build,,,,,
A3,A,"At the desk, now — no car, no parts",Check the fuse drawer,camden,done,,"Done 2026-09-21 - Camden: ""have good coverage and easy local access"". The fuse drawer covers the ratings in the fuses table, and anything missing is a local purchase, so blade fuses are not carted (parts P141). Was: against the fuses table - every rating fitted, plus one spare of each; F1 is 10 A (D-242), F20 7.5 A (D-244).",design,,,,,
A4,A,"At the desk, now — no car, no parts",Keep the Ionic above its BMS cutoff,camden,done,,"Closed 2026-09-21 - Camden: ""done no need to keep the reminder"". (It was: keep the Ionic above its BMS cutoff while it waits, checked monthly on the app. The car-side care for once it is fitted stays in 00-CAR intervals battery.)",design,,,,,
A5,A,"At the desk, now — no car, no parts",The in-car half of `T-017` at M-6,camden,open,C1,"Camden 2026-09-21: ""mark to be completed with car interior out in one swoop"" - so it rides on the measurement day (C1, M-6). The DESK half is done - agent, 2026-09-12, D-348: every factory terminal letter the design lands a wire on was read off the diagram scans, sections A-F and H, and all are right. Left for the meter, cluster out: the wire colours at C-01, C-02, C-04, C-05, C-09, A-06, A-08 and the L1 sender pair; plus CK08 (ohm the pop-up motor's fourth terminal, WR) and CK09 (which of the wiper motor's L and LB is the park output).",design,,,,,
A6,A,"At the desk, now — no car, no parts","At the cart review, apply D-238",camden,open,phase:SOURCING,"to every heavy cable line, 2 AWG and 1/0 alike: the listing must state ≥ 90 °C insulation and 100 % copper. Swap the line before payment if it does not.",build,,,,,
A7,A,"At the desk, now — no car, no parts",The 2026-09-05 future-proofing audit and the 2026-09-08 benchmark are applied,camden,done,,"(2026-09-08f). Their rulings: blower → D-253 · road speed → D-272 · the brake wake → D-278 (supersedes D-247) · protection policy → D-279 · sleeping-current test → D-280 · the ignition condenser → D-281 (P135, to add) · F20 and the recovery path → D-282. Their open packets: `Q-113`, `Q-114`, `Q-134`–`Q-139` in §1 and `Q-115` in §2a. Their spares list is the car's, not the carts': a used ignition switch, a used pop-up motor pair, and a used wiper motor if one surfaces cheap — all NLA new, all single points of failure; nothing in the harness depends on them.",design,,,,,
B1,B,"One afternoon with the car — nothing cut, no parts needed",Strip the A/C system,camden,open,phase:SOURCING,"(D-211, D-228) — a prerequisite of the install plan. Order: a shop recovers the refrigerant first (it still holds charge; venting is illegal) · pull the compressor, bracket, belt, condenser, receiver/drier and lines · pull the factory interlock chain (G-18, G-19, G-21, G-22, G-23 and the dash A/C switch) · leave the blower, heater core, HVAC case, ducts and doors alone · box the hardware, don't scrap it. The compressor is on its own belt (D-228), so nothing else on the crank is disturbed.",build,,,,,
B2,B,"One afternoon with the car — nothing cut, no parts needed",Read the part number off the back of the wideband gauge,camden,open,,"and photograph the whole install — the fuse-box piggyback tap, the gauge, the sensor lead. D-244 assumes the gauge carries an **AEMnet** pair; if it does not, the fallback (0–5 V into `DP-ICU-B 9`, the pre-wired spare) is a different wire and a different commissioning date.",design,value,,part number,,
C1,C,"The measurement day — interior apart once, before anything is cut","M-1 dash envelope, plus where the wideband gauge hides and whether its fixed sensor lead r",camden,open,S1,"M-2 routes — the tunnel now carries three heavy cables, the 2 AWG PMU feed and two 1/0 runs, so measure it for the bundle, not one wire · M-3 pop-up ohm check (closes `V-081`) · M-4 cargo bin (`V-088`) · M-5 sill space (`V-055`) · M-6 cluster plug — and the gauge type, `Q-123` · M-7 photographs · count the pins on the wiper motor, both pop-up motors and the fuel sender while they are visible — every one is a used-only purchase, and the removed part is the buying spec.",design,,,,,
C2,C,"The measurement day — interior apart once, before anything is cut","Buy the hardware-store stock after the measurement day - parts P090, P091, P092, P093, P121",camden,open,phase:SOURCING,No battery-cover stock — D-235 chose boots alone.,build,,,,,
C3,C,"The measurement day — interior apart once, before anything is cut",The luxury package's looks that ride along on the measurement day: 02-PROJECTS/03-luxury:V-063 (tail-light aperture) and 02-PROJECTS/03-luxury:V-066 (the headlamps fitted today),camden,open,S1,"Was a pointer to ../03-luxury/QUESTIONS.md, the v2 question list (archived — 99-ARCHIVE); those two rows are what it carried into the luxury record",design,,,,,
D1,D,When the parts arrive,"Count everything that arrives against the parts table - qty per row - before anything is opened (was the v2 shopping list §10, archived — 99-ARCHIVE)",camden,open,A0 A1 A2 phase:SOURCING,,build,,,,,
D2,D,When the parts arrive,"Fit-check the battery retention, the post terminals and the boots",camden,open,A1 phase:SOURCING,including whether a boot lifts by hand with the terminal stack loaded (D-235's whole point).,build,,,,,
D3,D,When the parts arrive,"Confirm the two spare 39-way housings carry full terminal sets (16 large, 27 small each)",camden,open,A1 phase:SOURCING,they are the spares.,build,,,,,
D4,D,When the parts arrive,"Crimp coupons and pull tests on every crimper (P037, P038, P039) before any real crimp (v2 install §1, archived — 99-ARCHIVE)",camden,open,A1 phase:SOURCING,including the 1/0 dies on the hydraulic crimper (D-246 added two 1/0 runs).,build,,,,,
E1,E,"Then the install plan, in its own order","§2 backbone (one weekend, car drives home) · §3 dash node (bench) · §4 legs (bench) · §5 install and migrate (one circuit per sitting) · §6 factory harness out · §7 shakedown.",camden,dropped,D1 D4,"Folded into E4-E34 by E3 (D-372): the install procedure is now one work row per step, gated in order",build,,,,,
F1,F,"The ICU and the DCU — built, programmed and commissioned on the bench before the harness goes in (D-259, D-374)",Draw the enclosure,agent,open,F11 phase:SOURCING,"Draws the enclosure (D-270: the two DT13 flanges on one face, grommets on the other, an antenna window, ASA or PETG, bosses, a gasket groove) around F11's final board outline and STEP - never around an estimate (R11).",build,,,,,
F2,F,"The ICU and the DCU — built, programmed and commissioned on the bench before the harness goes in (D-259, D-374)",Order the BT817 eval board (P117) now - the layout's display header comes off it,camden,done,,"The one exception to D-323 (D-371). The carrier layout is F8-F11 and ordering the carrier is F12, after the design is complete (D-323).",design,,,,,
F3,F,"The ICU and the DCU — built, programmed and commissioned on the bench before the harness goes in (D-259, D-374)",Build it and bring up the display chain on the bench,camden,open,F2 F12 phase:SOURCING,"— (the v2 install §1.21-1.23): eval board and DRIVE page first, the chain-(ii) panel after M-1 sizes the aperture, `V-084` timings, the odometer persisting in EEPROM and on the card (D-269). MG22 waits for this box; nothing else does.",build,,,,,
F4,F,"The ICU and the DCU — built, programmed and commissioned on the bench before the harness goes in (D-259, D-374)",Land `F-012`,camden,dropped,F-012,"Dropped 2026-09-22: it existed only because the machine the agent worked on had no g++, so F-012 had to be landed on the other one. There is one machine now and g++ runs on the project's one machine - `firmware/tests/run.sh`, with gcc-c++ from dnf or in a throwaway `podman run registry.fedoraproject.org/fedora` container (all three suites green there 2026-09-22); F-012 builds and runs the suites itself before anything is flashed.",design,,,,,
G1,G,What production cars that wire this way do better — the agent's improvement list,"Every output's current is a diagnostic (Tesla, BMW FRM)",agent,done,,"Done 2026-09-12. `pins.baseline_a` added and `rules health-band` written: the band is derived from a measured baseline, never typed, and the low half is the PMU's own Min Current parameter, which raises UNDERCURRENT and does not switch the output off (D-279). CK01 is the shakedown box. The module's measurement floor rules O21 and O22 out of a band entirely.",design,,,,,
G2,G,What production cars that wire this way do better — the agent's improvement list,"Retry policy by load class (Tesla eFuses, MoTeC / AiM practice)",agent,done,,"Done 2026-09-12. `logic.retry_class` added and set on all 21 rows; `rules retry-class` names four classes, not three - lamp, motor, critical and guarded. Guarded exists because O1 is a pop-up bus and an overcurrent there means a hand in the way, so retrying is the wrong answer; the D-186 obstruction timeout is its real handler.",design,,,,,
G3,G,What production cars that wire this way do better — the agent's improvement list,A shorted MOSFET is an output stuck ON — decide what that means for each safety load (motorsport PDM practice),agent,done,,"Read 2026-09-12. The manual is silent, and definitively so: the PMU's entire output-status vocabulary is 0 OFF, 1 ACTIVE, 2 UNDERCURRENT, 3 OVERCURRENT, 7 THERMAL SHUTDOWN - every one a story about current through an output the module believes it is driving, and none of them 'commanded off and still live'. It IS inferable: each output's voltage is measured (0-16 V on the 25 A and 15 A pins, 0-20 V on the 7 A pins), so a function comparing oN.voltage against oN.active catches a shorted high-side switch - that is CK07, and it annunciates only, because the annunciator is the module that just failed. The hard kill is the master disconnect and recovery RC01 is that sentence, first, before any other step. Worth knowing and not in the row: the PMU has a built-in inertia switch that drops every output above a configurable acceleration threshold (6 G default) - which covers the crash case exactly as long as the module is alive, and a shorted FET is the case where it is not. The O5 series relay is Camden's, as the row said: block 00.15.",design,,,,,
G4,G,What production cars that wire this way do better — the agent's improvement list,"The 12 V budget needs a meter on the battery, not just on the outputs (BMW IBS)",agent,done,,"Done 2026-09-12. (a) The manual publishes NO quiescent or sleep current for the PMU - the specification tables carry operating voltage and nothing else - so the number cannot be derived and D-280's measurement is the only one there will be; the arithmetic (11 days at 150 mA, 80 at 20 mA on the 40 Ah pack) is already in D-280. (b) The clamp-meter box is CK02. (c) `Q-128`, the Bluetooth shunt, is already ruled: D-330 declined it and took battery data from the BMS over BLE instead - not re-asked.",design,,,,,
G5,G,What production cars that wire this way do better — the agent's improvement list,Charging voltage against a lithium battery (Porsche / BMW lithium starter options),agent,done,,"Done 2026-09-12. CK03 is the reading at install 2.14; 00-CAR SP-231 / SP-232 / SP-233 carry the pack's ceiling (14.6 +/- 0.1 V), its cut-off (8.0 V) and what is not published about its heater. The finding worth having: the factory regulated band SP-081 is 14.2-15.2 V and its top is ABOVE the pack's ceiling, so a perfectly healthy alternator can be over-charging this battery.",design,,,,,
G6,G,What production cars that wire this way do better — the agent's improvement list,Wake sources are enumerated and every module that must work with the key out has one (Mercedes / BMW wake-on-CAN),agent,done,,"Written up 2026-09-12 as block 00.15's sibling block 00.13 - it is Camden's call, as the row itself said. The three options are costed on the page: leave DP-KEY accessory-only, add a seventh wake input for the two release keys, or take DP-KEY to a DT-6 with a constant feed and its own wake line. One correction the row could not have: W-320's kick-down has taken L3-S2 12, which was the last free cavity in that housing, so a DT-6's extra conductors land in L3-S3 - four still free there after the kick-down.",design,,,,,
G7,G,What production cars that wire this way do better — the agent's improvement list,Module placement vs water (the Mercedes rear-SAM failure),agent,done,,"Done 2026-09-12. `rules water-ingress` is the install rule - entry from below or a drip loop, nothing in the lowest 50 mm, the 39-way never facing up. CK04 is the M-1 look.",design,,,,,
G8,G,What production cars that wire this way do better — the agent's improvement list,Bundled derating (OEM terminal practice),agent,done,,"Done 2026-09-12, and nothing changes. The query finds exactly five 16 AWG conductors whose channel is enabled above 10 A - DP-ICU-A 1, DP-DCU 1, DP-KEY 3 and L4-S 4 off O10 at 13.0 A, and DP-ICU-B 12 off O3 at 13.0 A - and all five already carry `src_note=tap` as D-232 requires. None carries above about 1 A: the 13.0 A is the channel's soft fuse, not the conductor's load. No conductor in the harness, at any gauge, is loaded continuously above 10 A, so OEM bundle derating has nothing to bite on here.",design,,,,,
G9,G,What production cars that wire this way do better — the agent's improvement list,"Sensor returns and ground offset (OEM single-wire senders, same weakness)",agent,done,,"Done 2026-09-12. CK05 is the shakedown box: block-to-dash-bus offset at idle and at full alternator load, under 50 mV, and above it the swap's rebuilt leg gets a dedicated sensor return - free to decide now, a leg to retrofit later.",design,,,,,
G10,G,What production cars that wire this way do better — the agent's improvement list,The fuse-lid map (Toyota / Lexus junction blocks),agent,done,,"Done 2026-09-12, as a query and not a document. `rules fuse-lid-card` carries the two `sql` lines that print the card. CLAUDE.md section 1 keeps the visual layer for later and DECISIONS.md is the one generated file, so the card is printed when there is something to print with; because it is derived it can never disagree with the record, which is the only reason it may exist.",design,,,,,
G11,G,What production cars that wire this way do better — the agent's improvement list,CAN and ignition routing (OEM EMC practice),agent,done,,"Done 2026-09-12 as `rules emc-routing`, with one correction to the premise: the engine leg no longer carries a CAN2 drop at all - D-318 released L1-S1 9 / 10 to sealing plugs and moved every computer to the dash node. So the engine-bay rule is about the shielded tach core past four coil and igniter leads, and CAN2's only exposure is the dash motors.",design,,,,,
G12,G,What production cars that wire this way do better — the agent's improvement list,Spare capacity (motorsport PDM practice: 10–15 % spare channels),agent,done,,"Done 2026-09-12 as `rules spare-capacity`, and the premise was understated. It is not that all 22 outputs and ten inputs are allocated: the PMU-24 DL has sixteen analog channels, A9-A16 share their pins with outputs O17-O24, and this design uses A9-A14 as O17-O22 and A15 / A16 as the two 12 V ladders. Every one of the 39 positions is spoken for. There is no free input and no free output, which is what W-331 then ran into.",design,,,,,
G13,G,What production cars that wire this way do better — the agent's improvement list,Wire footage is the one derived fact still typed (Rivian's lesson is that the wire count is the design),agent,open,C1,"Waits on C1's M-2. The table now exists: `routes`, 21 rows, one per leg run with `ft` blank and the path named, so M-2 is a checklist rather than a memory test. The cut length is 1.5x the measured route (D-202). Rivian's lesson holds - the footage IS the design - and until M-2 there is nothing measured to compute from: the only lengths in the record are the hand estimates in cables.ft and grounds.ft, each marked confirm in its note (R11).",design,,,,,
G14,G,What production cars that wire this way do better — the agent's improvement list,Connector-side conventions written once (OEM harness drawings),agent,done,,"Done 2026-09-12 as `rules cavity-numbers`. The wording avoids inventing a viewing face: the number is the one moulded into the housing, read off the part, which is precisely why the DT family has no mirror-image trap. A factory plug carries Mazda's terminal letter instead, and the two never share a cell.",design,,,,,
Q-014,V,"Carried from the v2 question list, 2026-09-11",Dash envelope,camden,open,C1,"waits also on install M-1. a measurement of the dash cavity -- — install M-1. The clear width, height and depth of the centre-stack cavity, the glovebox region and the floor under the dash on both sides; lever clearance; 60 mm behind the receptacles. Two riders now: where the wideband gauge hides, and whether its fixed sensor lead reaches the bung from there (D-244).",design,value,,"mm, width x height x depth",,
Q-110,V,"Carried from the v2 question list, 2026-09-11",How long does the horn take from asleep?,camden,open,E25 phase:SOURCING,"waits also on E25 (the PMU configured). a stopwatch measurement on a sleeping car -- Horn, hazard, wink — and now the brake (D-247 → D-278) — all work with the key out, and all of them work by *waking the module first*: the stage lifts pin 7, the PMU boots, decodes and drives the output. Nothing in the design says how long that takes, and the horn is the one control whose whole value is in its first 200 milliseconds. Measure it at §5.4 with a stopwatch and a helper: press the pad on a sleeping car, time until it sounds. Under ~200 ms, say nothing more about it. Over ~500 ms, decide whether the horn should hang off the always-hot busbar through its own relay instead — a change this build can still absorb and a finished car cannot. The brake is the same measurement and matters more.",build,value,,ms,,
Q-115,V,"Carried from the v2 question list, 2026-09-11","Road speed: the car may already have a signal, at the dash",camden,open,C1,"waits also on install M-6. a check at the speedometer head with the cluster out -- The speedometer is cable-driven and there is no electronic speed signal in the design - a digital cluster needs one. But the 1982 component list carries a **vehicle speed switch (B-29)**: a reed switch **inside the speedometer head** that pulses to ground on a single `BR` wire. It fed cruise control, which D-097 deleted, so it is sitting there unused and **terminating behind the dash**. **Check at M-6**, with the cluster out anyway: find the `BR` wire at the speedometer head, confirm it pulses to ground as the cable turns, and count pulses per wheel revolution. If it checks out, road speed costs **one conductor** into a free `L3-S2 12` or `L3-S3` cavity and the tunnel run is deleted from the plan. If it does not, the fallback is an inline pass-through sensor at the transmission (3-wire Hall, 12 V square wave, keeps the mechanical sp",design,,,,,
V-081,V,"Carried from the v2 question list, 2026-09-11",Pop-up drive conductors,camden,open,C1,"waits also on teardown. a look at the pop-up motor conductors -- install M-3. **Sharpened by T-017, 2026-09-12: the connector is a FOUR-way, not two conductors.** The section E scan shows E-03 / E-04 with WR, YG, R and RY, the factory feeding the motor on WR and commanding it on R / RY, while the design caps WR and drives R / RY. Ohming only R and RY to case cannot tell those topologies apart, so the check is now CK08: every pair and every terminal to case, at parked, half-raised and raised, on each motor. This is the one measurement the pin plan waits on (D-186, D-199) - five minutes, before the L2 leg is pinned.",design,,,,,
V-055,V,"Carried from the v2 question list, 2026-09-11",Sill space,camden,open,C1,"waits also on teardown. a measurement of the sill space -- — install M-5. Does a 150 × 100 mm panel with the two door receptacles, the ground stud and four relay sockets fit behind the driver kick panel?",design,value,,"mm, width x height",,
V-088,V,"Carried from the v2 question list, 2026-09-11",Does everything fit the rear cargo bins?,camden,open,C1,"waits also on teardown. a fit check in the rear cargo bins -- — install M-4. Mock it in cardboard: the battery at 170 × 230 × 190 mm plus boot height (D-239), the new standalone amplifier beside it (D-236), the Class-T block and the master disconnect, both on the positive (D-245 → D-319). Prove a hand can reach a post to jump-start the car with the boots on (D-235).",design,,,,,
V-002,V,"Carried from the v2 question list, 2026-09-11",Alternator output rating,camden,open,,"read the rating off the alternator tag -- The case reads only ""B"" / Mitsubishi. The 1980 and 1985 workshop manuals both give a 55 A Mitsubishi unit (`00-CAR/SPECS.md` SP-078, SP-079 — the 1985 part is A5T30574; the 1981–83 fiche lists N221-18-300R, SP-006); an enthusiast chart says 50 A for base cars (SP-080, unverified). Read the rating stamped on the case to settle which the 1982 GS automatic carries. Nothing in the harness depends on it — F18 is 100 A and the 6 AWG B+ cable carries 100 A — but the charging figures at install 2.14 cannot be called good or bad without it. It also feeds the D-179 no-charge diagnosis: D-198 rebuilt the excitation circuit, and this is the number that says whether a healthy unit is behaving.",design,value,,A,,
T-017,V,"Carried from the v2 question list, 2026-09-11",Verify the connector pin letters in `01-REFERENCE/factory-circuits/` against the diagram scans,agent,done,,"Done 2026-09-12, in two passes. **Pass one, machine:** every factory terminal letter the design claims, in cavities.lands_on and devices.terminals, checked against OEM-RECORD.md's master component list - 69 claims, zero disagreements (the only flags were switch POSITION names like LOW and OFF, not colours). **Pass two, the scans themselves,** which is what this row actually asked for: pages 10, 13, 16, 18, 20, 22 and 26 read as images at the source resolution, covering sections A, B, C, D, E, F and H - every factory component the design lands a conductor on. Section G contributes only G-25 (LG, B) and section I nothing in this build. **The letters are right.** A-01 BW for the automatic, A-06 BY/GY/BW/RW, A-08 BW/WB, A-09 WR, B-18 YG trailing and B-19 YL leading, C-01 Y/B, C-02 YW, C-04 BR, C-05 BR/B, C-09 BrY, D-01 LB/LY, D-02 LW/LR/L/LB/B, E-03 and E-04 WR/YG/R/RY, E-08 and E-09 RL/RY/B, E-06 and E-10 RL/B, F-04 RG/B, F-05 RG/B/GR, F-06 RG/B/GO, F-07 GR/RW/G/RG/B, F-08 GO/RW/G/RG/B, F-09 and F-10 GY, F-12 to F-15 B/RG, G-25 LG/B, H-13 LR/GR, H-14 GR/B, H-15 LR/GB, H-16 GB/B. **Three findings, all now rows:** (1) LD01's headlight load contradicted its own basis and the scan - corrected to 7.4 / 8.9 A; (2) V-081's pop-up ohm check omits WR, and the connector is a four-way - CK08; (3) DV15 reads the wiper motor's L and LB the opposite way round from the diagram - CK09. Nothing else in the design is wrong on the letters.",design,,,,,
