id,when,subject,method,expect,feeds,note
CK01,shakedown,Output baseline current,"With the migration complete, exercise each circuit in turn and read pmu.oN.current live in the client. Enter the steady figure in pins.baseline_a. Lamps: warm, after two seconds, not the inrush. Motors: mid-travel, not at stall.","One figure per output. More than about 20 percent under est_a is a tired part rather than a bad reading, and that gap is the replacement list (D-025). More than est_a is a fault to find before the soft fuse is set.",pins.baseline_a; rules health-band; D-025; D-279,"O21 (0.2 A) and O22 (0.2 A) sit on the 7 A channel's own measurement floor - expect zero, record zero, and give them no band."
CK02,shakedown,Whole-car sleeping current,"Clamp meter on the battery negative cable - or a meter in series at the disconnect - engine off, doors shut, one hour after key-off so every timer has expired.","50 mA or under. Above that the extra is the head unit's constant through K11 / F1, the standalone amplifier, the always-hot courtesy lamps on F19, or the pack's own BMS - the PMU's share is the separate bench figure at install 3.11 (v2 INSTALL.md, archived — 99-ARCHIVE) (D-280).",D-280; loads LD17; work A4,"The arithmetic on a 40 Ah pack: about 11 days at 150 mA, about 80 days at 20 mA (D-280). The Ionic IC-12V40-S9H's discharge cut-off is 8.0 V. This reading is what A4's monthly app check is really watching."
CK03,first start on the new backbone (E12),Alternator regulated voltage against the pack's ceiling,"At the battery posts, engine warm, 2000 rpm: headlights off, then headlights and blower on.","14.6 V or under. The Ionic IC-12V40-S9H states a maximum charge voltage of 14.6 +/- 0.1 V and a float of 13.9 +/- 0.1 V. Above about 14.7 V the fix is the alternator's regulator, never the battery.",work G5; 00-CAR SP-231; V-002; D-198,"Lithium starter packs are the reason this reading matters at all - a flooded battery tolerates a high set point and a LiFePO4 pack's BMS answers it by disconnecting. Low-temperature charging is the pack's own problem: its heater handles it, and per the vendor class it draws only from a charging source, so it is not on the sleeping budget (confirm with Ionic - W-330b)."
CK04,M-1,Where water goes when the cowl drains block,"Dash out. Look at the cowl seam, both windscreen lower corners, the heater case drain and the path each takes to the footwell. Photograph both sides.","A sentence and a photograph per side. Anything whose path would reach the dash node, the PMU or a receptacle moves the bracket or gains a drip loop before the dash node (install section 3 of the v2 plan, archived — 99-ARCHIVE) is cut.",rules water-ingress; install section 3; M-1,"This is a look, not a measurement, and it is free while the dash is out. It is the only chance."
CK05,shakedown,"Sensor ground offset, engine block to dash","Meter between the engine block and the dash GND bus: engine idling, then at full alternator load with headlights, blower and defog on.","Under 50 mV. Above it, the swap's rebuilt engine leg gets a dedicated sensor return - which costs nothing to decide now and a leg to retrofit later.",IC01; IC02; A7; 02-engine hand-over,"The water-temp and oil senders return through the block; the ICU and the PMU read them against the dash ground, so the offset lands straight on the temperature curve as a few degrees."
CK06,PMU client 5.4,The Delayed turn off panel's range,"In the PMU client: F9, then Delayed turn off. Read the range the Turn off maximum time field accepts, and whether Turn off channel can take an expression.","If maximum time reaches 30 minutes, the KEEP_ALIVE self-hold expression moves into the panel and rules sleep is simplified to match. If it does not, the expression stays exactly as written.",V-075; rules sleep; logic KEEP_ALIVE,"No wire changes either way. O22's diode into the wake strip and its drive to K11 stay regardless - the panel replaces an expression, not a conductor."
CK07,shakedown,Stuck-on output,"For each of O2, O3, O5, O7 and O12 in turn: command the output off in the client and read pmu.oN.voltage.","Zero. Battery volts with .active = 0 is a shorted high-side switch. The PMU has no status for it - OFF / ACTIVE / UNDERCURRENT / OVERCURRENT / THERMAL SHUTDOWN is the entire list - so the detection is a function written against o.voltage and o.active, and it annunciates only.",work G3; recovery RC01; rules health-band,"A relay fails open and a high-side FET fails short, so the failure mode changed when the fuse box did. The only certain kill is the master disconnect, which is why RC01 is RC01."
CK08,M-3,Pop-up motor - the FOURTH conductor,"On each motor, at the E-03 / E-04 connector, ohm every pair and every terminal to case at parked, half-raised and raised: WR-case, R-case, RY-case, YG-case, WR-R, WR-RY, R-RY.","V-081 as written ohms only R and RY to case, and that cannot tell the two topologies apart, because the factory connector is a FOUR-way: WR, YG, R, RY (section E scan). The factory feeds the motor on WR and commands it on R / RY; the design caps WR and drives R / RY instead. If WR turns out to be the winding's only supply path, capping it is wrong and the pin plan changes.",V-081; D-186; D-199; cavities L2-P 3 / L2-P 4; devices DV11,"Five minutes more than the check already planned, on the one measurement the pin plan waits on, before the L2 leg is pinned. Do not conclude anything about this motor from the diagram - the diagram is why the extra terminal is being measured (R11)."
CK09,M-1,Wiper motor - which terminal is the park contact's output,"At the D-02 four-way, ohm L-case, LB-case and L-LB with the arm parked and again mid-sweep. The separate single B terminal is the motor ground.","The design (DV15) reads L as the park contact's output through a 12 kOhm resistor into the A3 ladder and caps LB. The section D scan shows the opposite sense: L is the feed INTO the park switch and LB is what the switch returns. Both cannot be right, and the ladder needs a contact that closes to ground, which the factory pair may not give at all.",devices DV15; cavities L2-S 3 and L2-S 4; rules wiper-park; D-317,"D-317 already reserved L2-S 4 as a park return for a future motor family, so the leg can absorb either answer - but only if this is ohmed before the branch is crimped. Found by T-017, 2026-09-12."
CK10,M-6,Does the ignition switch's IG contact hold through START?,"At the ignition switch, meter on the IG terminal, key through OFF - ACC - RUN - START. Watch IG while the key is held at START.","IG stays live at START. The factory circuit implies it - the coils are on IG and the engine fires while cranking - but that is an inference from a diagram and this is a switch in a 44-year-old car (R11). If IG DROPS at START, K13's coil opens mid-crank and the pump stops while cranking: the fix is one more conductor from the switch's ST terminal, diode-OR'd into the coil with a 1N5819 from P071.",relays K13; D-352; node_conductors N71,"Five minutes with the cluster out, and it decides whether K13 costs one conductor or two. Take it before the L3 leg is crimped."
