id,interface,electrical_ref,today,at_the_swap,rule
HO01,ECU + injectors power,"O13 → L1-P 2 (RESERVED: pinned at the post, sealing plug in the leg)",12 AWG from PMU pin to the receptacle cavity — nothing in the leg,"the rebuilt leg pins L1-P 2 and runs it; 25 A soft fuse set from the ECU's spec, then telemetry",D-007 · D-126 · D-271
HO02,Cooling fan,O14 → L1-P 3 (RESERVED),as HO01,an electric fan on its own 25 A channel; a brushless or relay-driven fan if it must be PWM'd — the PMU's PWM tops out at 400 Hz,D-007 · D-257 · D-271
HO03,CAN2,L1-S1 9 / 10,capped in the bay with the bus's 120 Ω far-end terminator across them,the ECU joins at 0x500+ (luxury CAN-MESSAGES); the terminator stays unless the ECU terminates — never two,D-079 · D-086
HO04,Oil pressure → the PMU's fuel-pump gate,A7 via L1-S1 4 (N45 · N47),"the 12A's C-09 resistive sender, PMU-excited through 100 Ω at the dash node",a resistive sender on the new block (pull-up stays) or a 0–5 V transducer (lift the pull-up at N39) — never the ECU's CAN value,D-249 · D-251 · D-260 · D-262
HO05,Tach → ICU channel IC04,L1-S1 6 (shielded) → DP-ICU-B 4,"trailing coil negative primary, 2 pulses/rev","the ECU's tach output, 0–12 V square wave, same clamp; pulses per rev is a config value",D-262 · luxury D-304
HO06,Water temp → ICU IC01,L1-S1 3 → DP-ICU-B 1,"C-02 sender, ICU-excited (jumper J1 in)","the ECU's coolant temperature on CAN (luxury F-014) — J1 out, channel quiet — or a sender on the block with J1 in",D-261 · D-262
HO07,Oil temp → ICU IC07,DP-ICU-B 7 (a sealing plug; no conductor in L1 — D-264),no sender on the 12A and no wire run for one,"the ECU's, or a 2-wire NTC on a conductor the rebuilt leg brings to DP-ICU-B 7; the ICU's pull-up goes in then",D-262 · D-264
HO08,Sensor supply,L1-S2 9 (RESERVED),"the spare block-B position is wired to the receptacle cavity; no fuse, no leg conductor",fit the fuse and pin the leg: switched 12 V for a 12 V-supplied 3-wire transducer; 5 V sensors are the ECU's or get a regulator at the dash node — no +5 V goes down the leg,D-215 · D-250 · D-271
HO09,Sensor reserves,"L1-S2 4 · 5 · 6 (PLUG — pinned at the post when a destination exists) · L1-S2 11 (RESERVED → DP-ICU-B 9, the ICU's spare input)",sealing plugs in both halves; one spare input already wired to the ICU,"whatever the new engine adds for the ICU, on conductors the rebuilt leg runs; the PMU has no spare analog input (all ten allocated, D-249)",D-007 · D-262 · D-271
HO10,P/N and reverse,A4 via L1-S1 11 · A5 via L1-S2 7,the automatic's inhibitor switch through 8.2 kΩ,the new transmission's P/N and reverse switches into the same two ladder states,D-187 · D-240
HO11,Alternator,"L1-S1 2 (BW excitation, F15) · L1-S2 8 (L line → ICU IC05)",the 12A's Mitsubishi unit (V-002),the new alternator's excitation and lamp terminals — the same two wires,D-198
HO12,Fuel pump,"O5 → L4-P 2, soft fuse 4.0 A",Carter P4070,Aeromotive Phantom 340 in the tank; soft fuse re-set from its spec (V-040),D-173
HO13,A/C clutch and pressure,none — the 12A system is out,—,"a new compressor on the new engine; the clutch is a comfort load — a relay the DCU switches off the O15 block, the pressure transducer into a DCU input; no PMU output is free (Q-400)",D-211 · luxury D-210
HO14,The engine leg itself,L1-P · L1-S1 · L1-S2 at the firewall grommet,"built for the 12A alone — no stubs, no reserved connectors beyond the rows above",cut at the grommet and rebuilt from scratch around the new engine; the 39-way pins and the dash-node conductors are the fixed interface — nothing at the dash node changes,D-211(d) · D-262
HO15,Road speed → ICU IC08,L4-S 3 / 4 → DP-ICU-B 8 (the tunnel pair),"a Hall pulse generator on the 12A transmission's speedo-drive boss (D-272), the cable deleted — LIVE at the meters cutover; supply an O10 tap",the CD009 has no speedo drive: speed comes from its VSS through the ECU's frames (luxury F-014); the tunnel pair is spare or carries the VSS directly,D-262 · D-268 · D-272
