id,stage,stage_title,item,owner,state,gate,note,reply,choices,unit,result,settles
V1,V,V What the Manual holds back,"Turn the Manual's held-back list (rx7.py export, manual) into one work row per fact: what to measure, read off the car or look up in a source, owner camden for anything on the car",agent,done,D-427,"D-427. The held-back list stays computed; each row here only says how the fact gets backed (R11: a measurement beats a document). Done 2026-09-25: stages A-K (is it on the car), M (measure), W (wiring), L (look up, agent).",,,,,
A1,A,A First look: optional equipment,"Is cruise control fitted? Look for a CRUISE switch on the dash or a SET/RESUME switch on the steering column, and an actuator with a cable to the throttle in the engine bay.",camden,done,,Whether the car has its cruise control is not recorded (K-009). Your answer settles 0 held parts: ,choice,fitted|not fitted,,,
A2,A,A First look: optional equipment,"Is there a wiper on the hatch glass, with a washer nozzle and a rear wiper switch on the dash?",camden,done,,"Whether the car has its rear wiper and washer is not recorded (K-010). Your answer settles 18 held parts: PT320 Rear wiper terminals, PT637 Rear wiper switch, PT688 Rear wiper motor, PT689 Rear wiper motor gear box, PT690 Rear wiper motor brush holder plate, PT691 Rear wiper motor brush, PT692 Rear wiper motor stator yoke, PT693 Rear wiper motor rotor (armature), PT694 Rear wiper motor parts set, PT695 Rear wiper arm, PT696 Rear wiper blade, PT697 Rear wiper blade refill, PT698 Rear washer tank assembly, PT699 Rear washer tank, PT700 Rear washer tank cap, PT701 Rear washer pump, PT702 Rear washer hose, PT703 Rear washer nozzle",choice,fitted|not fitted,,,
A3,A,A First look: optional equipment,"Is the radio antenna a motorised mast that goes up and down by itself (power antenna), or a fixed or manual mast?",camden,done,,"Whether the car has its power antenna is not recorded (K-011). Your answer settles 6 held parts: PT307 Power antenna relay, PT668 Power antenna, PT669 Antenna pole (mast), PT670 Antenna feeder cable, PT671 Antenna relay, PT672 Antenna bi-metal switch",choice,fitted|not fitted,,,
A4,A,A First look: optional equipment,"Are there headlamp washer jets or wipers at the headlamps, with a switch for them?",camden,done,,Whether the car has its headlamp cleaner is not recorded (K-012). Your answer settles 0 held parts: ,choice,fitted|not fitted,,,
B1,B,B In the engine bay,Is the Oil pan (PT077) on the car as described?,camden,open,,"What is uncertain: confirm: N201-10-700A is California, N203-10-700 Federal; Mazda number N201-10-700A N203-10-700; catalogue 1040A-1 EC-027-19 EC-027-20.",choice,"yes, as described|not on the car|different part",,,
B2,B,B In the engine bay,Is the Eccentric shaft (PT079) on the car as described?,camden,open,K9,"What is uncertain: End plug: confirm which is fitted, O-ring EC-029-05 (to Dec '81, serial to 629394) or blind plug EC-029-08 ('82, from 629394); Mazda number 1883-11-400A; catalogue 1100A-1 EC-029-04. Answering covers 2 held part(s) inside it: PT082, PT083",choice,"yes, as described|not on the car|different part",,,
B3,B,B In the engine bay,Is the Hot air duct (PT103) on the car as described?,camden,open,,What is uncertain: confirm whether it is still on the manifold Qty on the car: 1. Mazda number 1480-13-330; catalogue 1310A-1 EC-032-03.,choice,"yes, as described|not on the car|different part",,,
B4,B,B In the engine bay,Is the Fuel return check valve (PT120) on the car as described?,camden,open,,What is uncertain: confirm it survived the Weber conversion Mazda number 3648-13-270A; catalogue 1320A-1 EC-033-03.,choice,"yes, as described|not on the car|different part",,,
B5,B,B In the engine bay,"Is the Fuel hoses, engine bay (main and return) (PT121) on the car as described?",camden,open,,What is uncertain: confirm which sections the 3/8 in line (PT011) replaced. Mazda number 9935-80-8999 9935-80-69?? 9935-80-6999; catalogue 1320A-1 EC-033-09 EC-033-10 EC-033-04.,choice,"yes, as described|not on the car|different part",,,
