id,kind,ref,feature,role,expect,note
PV31,cavity,L2-S 5,FT15,"outside-air thermistor at the nose, grounded at the front star — ends in the L2-OAT receptacle (electrical D-274)",CAPPED,
PV38,cavity,L3-BLW 1,FT12,blower motor + (O16 via L3-P 1),CAPPED,
PV39,cavity,L3-BLW 2,FT12,blower return — the final stage inserts here,CAPPED,
PV40,housing,L3-BLW,FT12,DTP-2 at the HVAC case,,
PV41,pin,O16,FT12,"blower feed — configured, DISABLED until the motor exists",LIVE,
PV42,cavity,L3-P 2,FT31,"O15 comfort bus, 12 AWG — this project's fuse block plugs into the L3-CMF receptacle behind the centre stack (electrical D-274)",CAPPED,
PV43,pin,O15,FT31,"comfort bus, 25 A, ON in RUN",LIVE,
PV44,cavity,L4-P 4,FT23,"DCU → sill feed for mirror heat: the DCU's high-side switch via DP-DCU-B 9, linked at the post onto L4-P 4, landed in F14's holder (electrical D-369)",CAPPED,electrical D-254 → D-369
PV45,fuse,F14,FT23,"mirror-heat fuse at the sill - a sealed inline holder fitted empty by the electrical build (D-283); this stage supplies the fuse, rating confirm - sized after V-101",,electrical D-283
PV46,pin,O4,FT16,"defog output — wired to the grid, configured, DISABLED",LIVE,
PV47,cavity,L4-P 1,FT16,the grid feed,LIVE,
PV48,cavity,L4-M 3,FT17,"hatch solenoid — the conductor reaches the existing factory solenoid; the post end waits for this project's trigger (D-180, electrical D-274)",CAPPED,
PV49,cavity,L4-M 4,FT18,"fuel-door solenoid — the conductor reaches the existing factory solenoid; the post end waits for this project's trigger (D-180, electrical D-274)",CAPPED,
PV51,cavity,D1 4,FT23,"mirror motor common, shared by both mirrors (spliced at the sill to L4-S2 1) - RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274). Pin function inside the door is confirm - W-332",RESERVED,"D-359, electrical D-360"
PV52,cavity,D1 5,FT23,"LEFT mirror motor (L4-S2 2) - RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274). Pin function inside the door is confirm - W-332",RESERVED,"D-359, electrical D-360"
PV53,cavity,D1 6,FT23,"LEFT mirror clutch coil (L4-S2 3) - RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274). Pin function inside the door is confirm - W-332",RESERVED,"D-359, electrical D-360"
PV54,cavity,D2 4,FT23,"mirror motor common, shared by both mirrors (spliced at the sill to L4-S2 1) - RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274). Pin function inside the door is confirm - W-332",RESERVED,"D-359, electrical D-360"
PV55,cavity,D2 5,FT23,"RIGHT mirror motor (L4-S2 4) - RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274). Pin function inside the door is confirm - W-332",RESERVED,"D-359, electrical D-360"
PV56,cavity,D2 6,FT23,"RIGHT mirror clutch coil (L4-S2 5) - RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274). Pin function inside the door is confirm - W-332",RESERVED,"D-359, electrical D-360"
