id,store,section,sku,item,spec,qty,unit,unit_usd,basis,used_for,status,need_rule,target
P001,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",45643,"OptiFuse BLR-504 ATC fuse block, 4-position, bussed input",,2,ea,,cart,"Block A (busbar: F2, F3, F19, F13 empty) · Block B (K11: F1, 3 spare)",cart,,
P002,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",46047,"Sealed inline ATC fuse holder, 14 AWG leads",,3,ea,,cart,"F12, F15, F16, F20 (the wideband gauge's feed, D-244), F23 (the wake stages, D-410) and the three sill fuses F8 / F9 / F14, their holders fitted empty (D-283)",raise,,8
P003,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",75725,"Song Chuan 871-1C-C-D1-12VDC — ISO micro relay 40 A SPDT, integral diode",,5,ea,,cart,"K1, K2, K11, K12, K13 (no spare) - K13 is the fuel pump's series relay (D-352)",cart,,
P004,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",74858,"Picker PC792E-1C-C-12S-DN-X — sealed mini ISO relay SPDT, integral diode",,1,ea,,cart,"K9, engine bay",cart,,
P005,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",75340,Chief weatherproof 5-pin mini relay connector,,1,ea,,cart,K9's socket,cart,,
P006,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",75290,Panel-mount micro relay socket with terminals,,11,ea,,cart,"7 at the dash node (K1-K4, K11, K12, K13) + 4 at the sill (K5-K8, empty)",cart,,
P007,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",2300,"Blue Sea 2300 busbar, 10-gang 150 A, WITH cover — replaces the uncovered 2301 (78250) in the cart",,1,ea,,cart,"Always-hot bar + ground bus, both covered (D-224). Waytek # for the 2300 to confirm at the cart",raise,,2
P008,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",WL16-0,"Prysmian GXL 16 AWG BLACK, 500 ft spool",,1,ea,,cart,Ground family — 230 ft needed,cart,,
P009,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",WL16-2,"Prysmian GXL 16 AWG RED, 500 ft spool",,1,ea,,cart,"Power family at 16 AWG — ~510 ft calculated against a 500 ft spool after D-250 / D-252 / D-256 (L1-S2 9, L4-S 4, L2-S 6): add a 50 ft cut to the WireBarn order",raise,,500 ft spool + 50 ft cut
P010,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",WL16-8,"Prysmian GXL 16 AWG GRAY, 1000 ft spool",,1,ea,,cart,Analog-input family — ~740 ft needed after D-252 / D-255 / D-256,cart,,
P011,Waytek,"Fuse blocks, relays, sockets, busbar, 16 AWG spools",WL16-6,"Prysmian GXL 16 AWG BLUE, 500 ft spool",,1,ea,,cart,Command family — 285 ft needed,cart,,
P012,WireBarn,GXL by the foot,,GXL 14 AWG ORN,,250,ft,,cart,Every 15 A output run (O6–O11) and the washer feed — 190 ft calculated,cart,,
P013,WireBarn,GXL by the foot,,GXL 14 AWG RED,,100,ft,,cart,"F1 head-unit constant and the four short K5–K8 → D1 / D2 wires at the sill node; the door legs themselves are RESERVED (D-274) — about 20 ft calculated, 100 ft carted stays",cart,,
P014,WireBarn,GXL by the foot,,GXL 14 AWG BLK,,50,ft,,cart,"14 AWG grounds — 42 ft calculated against 50 ft carted; the same margin problem, smaller money",raise,,75 ft
P015,WireBarn,GXL by the foot,,GXL 12 AWG RED,,250 + 100,ft,,cart,"Every 25 A output and 12 AWG feed — 336 ft calculated against 350 ft carted is a 1.04× margin, not the 1.5× D-202 promised on unmeasured routes",raise,,450 ft
P016,WireBarn,GXL by the foot,,GXL 12 AWG BLK,,25,ft,,cart,12 AWG grounds — 20 ft calculated,cart,,
P017,WireBarn,GXL by the foot,,GXL 10 AWG BLK,,25,ft,,cart,Ground-bus and star-stud drops,cart,,
