table,column,type,required,ref,note
backbone,id,key,yes,,
backbone,run,str,no,,
backbone,cable,str,no,,
backbone,protection,str,no,,
backbone,why,text,no,,
cables,id,key,yes,,
cables,run,str,no,,
cables,awg,enum(1/0|10|2|6),no,,
cables,ft,num,no,,
cables,colour,enum(BLK|RED),no,,
carts,store,key,yes,,
carts,total_usd,num,no,,
carts,lines_txt,str,no,,
carts,url,str,no,,
carts,note,str,no,,
cavities,id,key,yes,,
cavities,housing,str,no,housings.code,
cavities,cav,int,no,,
cavities,circuit,str,no,,
cavities,src,str,no,,
cavities,src_note,str,no,,
cavities,awg,str,no,,
cavities,colour,str,no,,
cavities,state,enum(CAPPED|LIVE|PLUG|RESERVED),no,,
cavities,lands_on,text,no,,
colours,id,key,yes,,
colours,family,text,no,,
colours,gauges,str,no,,
decisions,id,key,yes,,
decisions,system,str,no,,
decisions,title,text,no,,
decisions,date,date,no,,
decisions,status,enum(inherited|standing|superseded|withdrawn),no,,vocabulary owned by tools/rx7.py - do not narrow it per project (2026-09-11)
decisions,supersedes,str,no,,
decisions,superseded_by,id,no,,
decisions,closes,str,no,,
decisions,also,str,no,,
devices,id,key,yes,,
devices,zone,enum(Drop|L1|L2|L3|L4|Sill),no,,
devices,device,str,no,,
devices,ident,text,no,,
devices,terminals,text,no,,
devices,ground,text,no,,
fuses,id,key,yes,,
fuses,rating,str,no,,
fuses,location,str,no,,
fuses,block,enum(A|B),no,,
fuses,pos,int,no,,
fuses,feeds,str,no,,
fuses,fed_from,str,no,,
fuses,state,enum(EMPTY|LIVE),no,,
fuses,label,str,no,,
grounds,id,key,yes,,
grounds,zone,enum(L1|L2|L3|L4|Sill),no,,
grounds,return,str,no,,
grounds,awg,enum(1/0|10|12|14|16|2),no,,
grounds,qty,int,no,,
grounds,ft,int,no,,
housings,code,key,yes,,
housings,leg,str,no,,
housings,class,enum(Blower|Door|Medium|Module|Port|Power|Signal),no,,
housings,leg_side,enum(DT06-08S|DT06-12S|DT06-2S|DT06-4S|DT06-6S|DT06-8S|DTP06-2S|DTP06-4S),no,,
housings,box_side,str,no,,
housings,cavs,int,no,,
housings,wedgelocks,str,no,,
housings,where,str,no,,
housings,note,text,no,,
icu_channels,id,key,yes,,
icu_channels,kind,enum(bus|display|input|power|radio|sensor),no,,
icu_channels,signal,str,no,,
icu_channels,at_the_drop,text,no,,
icu_channels,on_the_wire,text,no,,
icu_channels,carrier_stage,text,no,,
icu_channels,teensy_pin,str,no,,
icu_channels,calibration,text,no,,
icu_channels,can,str,no,,
icu_channels,note,text,no,,
inputs,id,key,yes,,
inputs,title,str,no,,
inputs,kind,enum(12v|ground),no,,
inputs,window,int,no,,
inputs,fault_rule,str,no,,
ladders,id,key,yes,,
ladders,input,str,no,inputs.id,
ladders,state,str,no,,
ladders,r,str,no,,
loads,id,key,yes,,
loads,circuit,text,no,,
loads,ch,str,no,,
loads,rated,str,no,,
loads,design_a,str,no,,
loads,measured_a,str,no,,
loads,basis,str,no,,
log,id,key,yes,,
log,date,date,no,,
log,workflow,enum(answers|clean|closed|repair|session),no,,
log,ids,text,no,,
log,summary,text,no,,
logic,id,key,yes,,
logic,channel,str,no,,
logic,expression,text,no,,
logic,inrush,str,no,,
logic,retry,str,no,,
migration,id,key,yes,,
migration,seq,int,no,,
migration,circuit,text,no,,
migration,ch,str,no,,
node_conductors,id,key,yes,,
node_conductors,src,str,no,,
node_conductors,dst,text,no,,
node_conductors,awg,str,no,,
node_conductors,colour,str,no,,
node_conductors,note,text,no,,
params,key,key,yes,,
params,value,str,no,,
params,note,text,no,,
parts,id,key,yes,,
parts,store,str,no,,
parts,section,str,no,,
parts,sku,str,no,,
parts,item,text,no,,
parts,spec,text,no,,
parts,qty,str,no,,
parts,unit,enum(ea|ft|pair|set),no,,
parts,unit_usd,int,no,,
parts,basis,enum(cart|est),no,,
parts,used_for,text,no,,
parts,status,str,no,,
parts,need_rule,str,no,,
parts,target,str,no,,
pins,pin,key,yes,,
pins,cav_size,enum(L|M|S|stud),no,,
pins,ch,str,no,,
pins,name,str,no,,
pins,type,enum(CAN1|CAN2|GND|MAIN|REF|WAKE|input|output),no,,
pins,awg,str,no,,
pins,colour,enum(BLK|BLU|GRN|GRY|ORN|PNK|RED|YEL),no,,
pins,circuit,text,no,,
pins,goes_to_fixed,str,no,,
pins,est_a,num,no,,
pins,enable_a,num,no,,
pins,enable_basis,str,no,,
pins,inrush_x,num,no,,
pins,inrush_ms,int,no,,
pins,state,enum(CAPPED|LIVE),no,,
pins,note,str,no,,
relays,id,key,yes,,
relays,function,str,no,,
relays,type,str,no,,
relays,location,str,no,,
relays,c86,str,no,,
relays,c85,str,no,,
relays,c30,str,no,,
relays,c87,str,no,,
relays,c87a,str,no,,
relays,state,enum(LIVE|SPARE),no,,
relays,label,str,no,,
retired,term,key,yes,,
retired,retired_by,id,no,,
retired,note,str,no,,
rules,id,key,yes,,
rules,rule,str,no,,
rules,definition,text,no,,
series,id,key,yes,,
series,contact,str,no,,
series,wire,str,no,,
series,rated,str,no,,
series,used_for,str,no,,
work,id,key,yes,,
work,stage,enum(A|B|C|D|E|F|G|V),no,,V added 2026-09-11: the verify/measure/do items carried over from the v2 question list
work,stage_title,str,no,,
work,item,text,no,,
work,owner,enum(agent|camden),no,,
work,state,enum(blocked|done|dropped|open),no,,vocabulary owned by tools/rx7.py - do not narrow it per project (2026-09-11)
work,gate,str,no,,
work,note,text,no,,
