id,section,title,opened,status,owner,ask,closer,closed_on,outcome,blocks,also
Q-113,1,"Alternator sense and phase conductors, run now and capped",2026-09-05,open,camden,one word,,,,,
Q-114,1,The wiper park sense is the one place a replacement motor will not fit,2026-09-05,open,camden,one word,,,,,
Q-134,1,Does CAN2 go to the rear?,2026-09-08,open,camden,one word,,,,,
Q-135,1,Should the master disconnect go back to the positive side?,2026-09-08,open,camden,one word,,,,,
Q-136,1,"Kick-down: reproduce, delete deliberately, or defer?",2026-09-08,open,camden,one word,,,,,
Q-137,1,"The alternator has no disconnect path, and lithium makes a load dump worse",2026-09-08,open,camden,one word,,,,,
Q-138,1,The MRBF rating was ruled against a cable that has since changed,2026-09-08,open,camden,one word,,,,,
Q-139,1,Pick a limp-home strategy and write it into the install plan,2026-09-08,open,camden,one word,,,,,
T-017,1,Verify the connector pin letters in `01-REFERENCE/factory-circuits/` against the diagram scans,,open,camden,one word,,,,,
Q-128,1,"Battery data — the source: the Ionic's BMS, a shunt, or both?",2026-09-08,open,camden,Say: shunt now / shunt later / BMS only — and paste the UUIDs.,,,,,
Q-133,1,"Fit the three sill fuse holders now, so `L4-P 3` / `L4-P 4` end in a holder instead of a bare end?",2026-09-08,open,camden,Say yes or no.,,,,,
Q-014,2a,Dash envelope,,open,camden,one word,,,,,
V-081,2a,Pop-up drive conductors,,open,camden,one word,,,,,
Q-115,2a,"Road speed: the car may already have a signal, at the dash",2026-09-08,open,camden,one word,,,,,
V-055,2a,Sill space,,open,camden,one word,,,,,
V-088,2a,Does everything fit the rear cargo bins?,,open,camden,one word,,,,,
V-075,2c,Does the PMU have a native shutdown delay that makes the O22 self-hold latch unnecessary?,,open,camden,one word,,,,,
Q-110,2c,How long does the horn take from asleep?,,open,camden,one word,,,,,
V-002,2d,Alternator output rating,,open,camden,one word,,,,,
V-052,2d,The Ionic's heater trigger and winter draw,,open,camden,one word,,,,,
Q-309,,"A Hall pulse generator on the transmission's speedo-drive boss**, the cable deleted, fitte",,closed,camden,,D-272,2026-09-08,"**A Hall pulse generator on the transmission's speedo-drive boss**, the cable deleted, fitted at the meters cutover; the same kind of sensor on whatever transmission follows, or the ECU's VSS frame if the next box has no drive",,
V-082,,Parts check done**,,closed,camden,,D-273,2026-09-08,"**Parts check done** — LMR36015-Q1-class buck (60 V), ≥ 60 V backlight switch behind a 4 A fuse, LSM6DSO / ICM-42688-P IMU, the radio on its own LDO, the LM393 on 5 V; everything else confirmed as drawn",,
Q-132,,Both solenoids exist and are wired to**; the nozzle feed and every other future branch end,,closed,camden,,D-274,2026-09-08,**Both solenoids exist and are wired to**; the nozzle feed and every other future branch ends in a dust-capped receptacle where it leaves its leg — seven new housings (`L2-NZL` `L2-OAT` `L3-CMF` `L3-WIN` `L3-MOD` `L3-RDR` `L4-RDR`); `D1` / `D2` are RESERVED at the sill,,
V-085,,Chain (ii)**,,closed,camden,,D-269,2026-09-08,"**Chain (ii)** — 900–1000-nit 1920 × 720 bar through its scaler, TFP410-class bridge; M-1 sizes the aperture, no longer decides the glass",,
Q-130,,The plate stays** as the bezel's sub-frame,,closed,camden,,D-269,2026-09-08,"**The plate stays** as the bezel's sub-frame — 10 mm flange, its holes the bezel's",,
Q-131,,Odometer non-volatile no matter what**,,closed,camden,,D-269,2026-09-08,"**Odometer non-volatile no matter what** — Teensy EEPROM emulation authoritative, microSD the log; persistence is a cutover gate",,
Q-126,,A printed ASA / PETG enclosure with two DT13 receptacles in the wall**; the harness plugs ,,closed,camden,,D-270,2026-09-08,"**A printed ASA / PETG enclosure with two DT13 receptacles in the wall**; the harness plugs in; two connectors, not one — the 6-way is the module pattern, the 12-way keeps sensors apart, only the display leaves the box",,
Q-127,,Reserves live at the post**,,closed,camden,,D-271,2026-09-08,"**Reserves live at the post** — RESERVED state: `L1-P 2/3`, `L1-S2 9`, `L1-S2 11` pinned at the receptacle, sealed in the leg; `L1-S2 4–6` plugs; the engine leg carries only the 12A",,
Q-129,,"The display is this build's, installed with the ICU**",,closed,camden,,D-268,2026-09-07,"**The display is this build's, installed with the ICU** — no temporary cluster, no CLU pigtail, no gauge drives; the factory cluster lives on the factory harness until MG22, gated on the display proven on the bench; the display chain and P117–P121 move in; the bezel stays luxury. D-263 (bimetal gauges) withdrawn as moot",,
Q-123,,All three gauges are bimetal**,,closed,camden,,D-263,2026-09-07,**All three gauges are bimetal** — the ICU's gauge drives are 1–2 kHz PWM sinks; IC17–IC19 final,,
Q-124,,B-12 confirmed unneeded**,,closed,camden,,D-264,2026-09-07,"**B-12 confirmed unneeded** — stays in the thermostat housing as the port's plug, unconnected (K-024)",,
Q-125,,No oil-level lamp**,,closed,camden,,D-264,2026-09-07,**No oil-level lamp** — C-06 is not wired; the CLU pigtail stays at twelve lines,,
Q-308,,No oil-temp sender and no conductor for one on the 12A**,,closed,camden,,D-264,2026-09-07,"**No oil-temp sender and no conductor for one on the 12A** — `L1-S2 10` and `DP-ICU-B 7` are sealing plugs, `N65` and `P112` gone; IC07 stays a footprint for the swap",,
V-073,,Layout brief**,,closed,camden,,D-265,2026-09-07,"**Layout brief** — inputs one edge, drives / display / CAN the other; IMU per the recommendation; the enclosure note became `Q-126`",,
V-057,,TCAN1042HVDRQ1 verified available,,closed,camden,,D-265,2026-09-07,**TCAN1042HVDRQ1 verified available**,,
Q-304,,AEMnet frame confirmed from the 30-0300 sheet**,,closed,camden,,D-266,2026-09-07,"**AEMnet frame confirmed from the 30-0300 sheet** — 29-bit 0x180, 100 Hz, big-endian, no termination; flags in bytes 6–7; the luxury map row is *confirmed*",,
Q-121,,The old cluster is a peripheral of the ICU**,,closed,camden,,D-258 (+ D-260),2026-09-07,"**The old cluster is a peripheral of the ICU** — no `DP-CLU`; the senders terminate at `DP-ICU-B`, the ICU excites fuel and water temp, reads the PMU-excited oil node, drives the three gauges and passes the rest through a twelve-line CLU pigtail; `DP-ICU-A 6` = F16 aux, `DP-ICU-B 10–12` = tell-tale senses. Unplug the pigtail and the cluster is gone without a trace",,
Q-122,,The ICU is this build's device**,,closed,camden,,D-259 (+ luxury D-313),2026-09-07,"**The ICU is this build's device** — built, bench-commissioned against the old cluster and installed with the harness; the luxury package brings only the display, onto a board that is already there. D-081 reads ""PMU + ICU""",,
Q-107,,A7 reads the oil-pressure node; the fuel pump is gated on it**,,closed,camden,,D-249,2026-09-07,"**A7 reads the oil-pressure node; the fuel pump is gated on it** — START unconditional, 3 s prime, latched with a 5 s de-bounce, threshold read in the car, FAULT fails open. Fuel level leaves the PMU",,
Q-111,,"Sensor supply + two signal spares in `L1-S2 9/10/11`**, capped past the grommet; fresh fac",,closed,camden,,D-250,2026-09-07,"**Sensor supply + two signal spares in `L1-S2 9/10/11`**, capped past the grommet; fresh factory-spec senders fitted before calibration",,
Q-116,,"Wire is control, CAN is telemetry.** The ICU joins early as a headless CAN node behind the",,closed,camden,,D-251 + luxury D-306,2026-09-07,"**Wire is control, CAN is telemetry.** The ICU joins early as a headless CAN node behind the factory cluster; fuel level is its signal (`DP-ICU-B 3`, frame `0x218`); the display is a bezel-only event later",,
Q-117,,Two ICU housings**,,closed,camden,,D-252,2026-09-07,"**Two ICU housings** — `DP-ICU-A` DT-6 (the DP-DCU pattern) and `DP-ICU-B` DT-12 (sensors only, with oil temp, road speed and a spare pre-wired). Road-speed conductors `L4-S 3/4` run now. +1 DT-6 kit pair",,
Q-112,,Blower wired as a PWM load**,,closed,camden,,D-253,2026-09-07,"**Blower wired as a PWM load** — O16 → `L3-P 1` → `L3-BLW` (DTP-2 at the HVAC case), 12 AWG return to the dash ground; no resistor pack, no speed switch, no motor until the luxury package; speed = a ≥ 20 kHz final stage at `L3-BLW` on the DCU's PWM (D-257 — the PMU's PWM caps at 400 Hz), O16 a steady feed. P087–P089 leave the parts",,
Q-118,,`L4-P 4` is the O15 → sill feed** (D-181 restored),,closed,camden,,D-254,2026-09-07,**`L4-P 4` is the O15 → sill feed** (D-181 restored) — F14 mirror heat has a source again,,
Q-119,,`L4-S2` (DT-8)**,,closed,camden,,D-255,2026-09-07,"**`L4-S2` (DT-8)** — mirror-adjust commands dash → sill, spliced onto D1/D2 4–6 at the sill node",,
