id,stage,stage_title,item,owner,state,gate,note
A1,A,"At the desk, now — no car, no parts",Close the cart gaps,camden,blocked,design freeze,Blocked by D-323: nothing is bought until the design is complete and Camden understands it. No store is paid while any block that changes a line is open.
A2,A,"At the desk, now — no car, no parts",Order the vehicle parts,camden,open,,— shopping list §6. The senders are *not* on it: the car's own work and stay (D-261). The brake pedal switch can be **any 2-terminal type** - the wake contact is a spare P084 plunger on the pedal instead (D-278).
A3,A,"At the desk, now — no car, no parts",Check the fuse drawer,camden,open,,"against shopping list §9. Two changed: F1 is **10 A** (D-242), and **F20 7.5 A** is new (D-244)."
A4,A,"At the desk, now — no car, no parts",Keep the Ionic above its BMS cutoff,camden,open,,while it waits — a lithium left to self-discharge into cutoff is hard to recover. Check it monthly on the app.
A5,A,"At the desk, now — no car, no parts",Do `T-017`,camden,open,,"(the factory pin letters) — the sender and switch letters still matter; the cluster plug's no longer do (D-268). This desk check gates no cart; four §1 packets do, and `Q-140` asks whether to rule them before paying."
A6,A,"At the desk, now — no car, no parts","At the cart review, apply D-238",camden,open,,"to every heavy cable line, 2 AWG and 1/0 alike: the listing must state ≥ 90 °C insulation and 100 % copper. Swap the line before payment if it does not."
A7,A,"At the desk, now — no car, no parts",The 2026-09-05 future-proofing audit and the 2026-09-08 benchmark are applied,camden,done,,"(2026-09-08f). Their rulings: blower → D-253 · road speed → D-272 · the brake wake → D-278 (supersedes D-247) · protection policy → D-279 · sleeping-current test → D-280 · the ignition condenser → D-281 (P135, to add) · F20 and the recovery path → D-282. Their open packets: `Q-113`, `Q-114`, `Q-134`–`Q-139` in §1 and `Q-115` in §2a. Their spares list is the car's, not the carts': a used ignition switch, a used pop-up motor pair, and a used wiper motor if one surfaces cheap — all NLA new, all single points of failure; nothing in the harness depends on them."
B1,B,"One afternoon with the car — nothing cut, no parts needed",Strip the A/C system,camden,open,,"(D-211, D-228) — a prerequisite of the install plan. Order: a shop recovers the refrigerant first (it still holds charge; venting is illegal) · pull the compressor, bracket, belt, condenser, receiver/drier and lines · pull the factory interlock chain (G-18, G-19, G-21, G-22, G-23 and the dash A/C switch) · leave the blower, heater core, HVAC case, ducts and doors alone · box the hardware, don't scrap it. The compressor is on its own belt (D-228), so nothing else on the crank is disturbed."
B2,B,"One afternoon with the car — nothing cut, no parts needed",Read the part number off the back of the wideband gauge,camden,open,,"and photograph the whole install — the fuse-box piggyback tap, the gauge, the sensor lead. D-244 assumes the gauge carries an **AEMnet** pair; if it does not, the fallback (0–5 V into `DP-ICU-B 9`, the pre-wired spare) is a different wire and a different commissioning date."
C1,C,"The measurement day — interior apart once, before anything is cut","M-1 dash envelope, plus where the wideband gauge hides and whether its fixed sensor lead r",camden,open,,"M-2 routes — the tunnel now carries three heavy cables, the 2 AWG PMU feed and two 1/0 runs, so measure it for the bundle, not one wire · M-3 pop-up ohm check (closes `V-081`) · M-4 cargo bin (`V-088`) · M-5 sill space (`V-055`) · M-6 cluster plug — and the gauge type, `Q-123` · M-7 photographs · count the pins on the wiper motor, both pop-up motors and the fuel sender while they are visible — every one is a used-only purchase, and the removed part is the buying spec."
C2,C,"The measurement day — interior apart once, before anything is cut",Buy the carrier-panel and backing-plate stock from the hardware store afterwards (shopping,camden,open,,No battery-cover stock — D-235 chose boots alone.
C3,C,"The measurement day — interior apart once, before anything is cut","The luxury package has three ten-minute looks that ride along: the tail-light aperture, wh",camden,open,,See `../luxury-package/QUESTIONS.md`.
