id,section,issue,status,impact
K-001,Electrical,"Wideband O2 wiring tapped into the factory harness, location unknown",Fitted and in use; where it taps into the factory fuse box has not been located,"Photograph the tap, the gauge and the sensor lead before anything is disturbed, and read the part number off the gauge (confirm it is the AEM 30-0300 whose manual is S-035). planned: 02-PROJECTS/01-electrical moves the gauge onto its own ignition-fed fuse"
K-002,Electrical,Previous-owner splices and hacks — extent unknown,"Extent unknown - the photo survey has not been done. One instance is known: the dash behind the head unit and factory amplifier is badly spliced (owner, 2026-09-04)","Not being traced. planned: 02-PROJECTS/01-electrical replaces the factory harness, amplifier feed and speaker wiring; the replacement audio is standalone (P-007)"
K-003,Electrical,Interval wiper control unit present,"Fitted, part of the factory wiper circuit",planned: 02-PROJECTS/01-electrical removes it with the factory harness; the interval timer becomes PMU logic
K-008,Electrical,"Turn signals modulate other circuits - fuel pump and tach react to blinker pulses. Traced from the factory diagram to two shared ground studs: X-13 (flasher, cluster, emission unit) and X-15 (rear lamps, fuel pump)",Present and observed at the first meter sitting: turn-signal current dips 3.4 to 2.3 A with the pump note. Not being repaired on the factory harness,Trace: [`../01-REFERENCE/factory-circuits/FAULT-K008-analysis.md`](../01-REFERENCE/factory-circuits/FAULT-K008-analysis.md). planned: 02-PROJECTS/01-electrical gives every zone its own local ground
K-009,Electrical,Cruise control unit,"In the factory diagram; not wanted. confirm - may be copied from the diagram, not on this car: SP-004 (S-004) lists cruise as GSL-only and this car is a GS",planned: 02-PROJECTS/01-electrical does not carry it
K-010,Electrical,Rear wiper and washer,In the factory diagram; not wanted; whether it is fitted to this car is not recorded - confirm,planned: 02-PROJECTS/01-electrical does not carry it
K-011,Electrical,Power antenna,In the factory diagram; not wanted; whether it is fitted to this car is not recorded - confirm,planned: 02-PROJECTS/01-electrical does not carry it
K-012,Electrical,Headlight cleaner,"In the factory diagram; not wanted. confirm - may be copied from the diagram, not on this car: SP-004 (S-004) does not list a headlight cleaner for the GS and this car is a GS",planned: 02-PROJECTS/01-electrical does not carry it
K-013,Electrical,"Cold-start hardware — hot-start relay/motor, sub-zero motor/sensor, choke, carb heater",None remain since the Weber conversion,
K-014,Electrical,Power mirror control,"The factory mirror switch is dead. The mirror heads are fitted and kept: each is one reversible motor plus an electromagnetic clutch coil that selects the axis (owner, 2026-09-21). Pin-out, resistances and currents not yet measured",The mirrors cannot be adjusted electrically. planned: 02-PROJECTS/02-luxury drives the mirror heads
K-016,Electrical,Hatch latch switch broken,Broken; the hatch release solenoid itself is fitted,planned: 02-PROJECTS/02-luxury sources the switch; 02-PROJECTS/01-electrical wires the solenoid
K-017,Electrical,Fuel-door solenoid - exists (owner 2026-09-08; the 2026-09 survey had it as never fitted),Fitted,planned: 02-PROJECTS/01-electrical wires it; the trigger is 02-PROJECTS/02-luxury's
K-018,Electrical,Both retractor manual raise knobs,Functional - both knobs raise the lamps by hand,
K-020,Electrical,Rear defrost switch (G-24) broken,Broken; the grid has not been measured,"To measure the grid, jumper the switch connector or feed the grid directly. planned: 02-PROJECTS/01-electrical deletes the switch and puts the grid on a PMU output; the trigger moves to 02-PROJECTS/02-luxury"
K-021,Electrical,"Headlamp retractor switch (E-02) broken - the dash switch, not the column combo switch",Broken - the pop-ups cannot be raised from the dash switch; the manual raise knobs work (K-018),"To measure motor stall, drive the motors directly. planned: 02-PROJECTS/01-electrical deletes the switch; the wink switches become the only manual control"
K-022,Electrical,Washer fluid pump (D-01) not working,"Not working; cause not diagnosed - pump, wiring or switch. A genuine replacement pump was listed in stock at about 48 USD (2026-09-05)",Diagnose before ordering. planned: 02-PROJECTS/01-electrical gives the pump its own PMU output
K-023,Electrical,Blower motor (G-14) not working,Confirmed dead - no blower airflow,planned: 02-PROJECTS/02-luxury replaces the motor; 02-PROJECTS/01-electrical wires its PWM circuit
K-004,Mechanical,"Pre-1983 steering box: non-hardened sector shaft, known wear point",Replacement being researched,
K-005,Mechanical,Age-related rubber degradation throughout the suspension,"Full bushing overhaul planned; every bushing and suspension part is in hand, none fitted yet",
K-006,Mechanical,Rear compliance link bushings — improper replacement risks chassis damage,Procedure must be confirmed before attempting,
K-007,Mechanical,Rust — extent not surveyed,Not surveyed,planned: the body work project (02-PROJECTS/04-beauty) surveys it
K-015,Mechanical,A/C barely cool - probably low on charge,"Fitted and still cools, so it still holds charge",A shop recovers the refrigerant before anything is opened (PR-001). planned: 02-PROJECTS/01-electrical removes the A/C rather than repairing it; heat and ventilation stay
K-019,Mechanical,Coolant has never been fully drained or flushed. About half was lost and replaced during the Sep 2025 intake removal; what came out looked OK,"Not urgent. A proper drain and refill at some point, and eyeball the thermostat and hoses while it's open. Does not block the PMU project","Not urgent. A proper drain and refill at some point, and eyeball the thermostat and hoses while it is open"
K-024,Electrical,"A coolant sensor on the engine side of the thermostat housing was cut by a previous owner. By the factory diagram it is B-12, the emission system's No.1 water-temperature switch (two wires, LB and LW) - the gauge sender C-02 (one YW wire) is separate and still works","Cut; the sensor stays in the port as its plug, unconnected (confirmed 2026-09-07). Nothing has read it since the emission control unit went (K-013)",
K-025,Mechanical,The car does not start - it broke down. No wiring has been changed; the cause is not yet known,"Reported by Camden 2026-09-24: 'car currently does not start, broke down no wireing changes have been made'. Not diagnosed; whether the fault is electrical, fuel or mechanical is unknown",Nothing in the electrical design list needs the engine running before the interior comes out (S1); the first step that does is the backbone weekend's start (E12)
