id,stage,stage_title,item,owner,state,gate,note,reply,choices,unit
V-040,V,"Carried from the v2 question list, 2026-09-11",In-tank pump draw at target pressure,agent,done,,"Done 2026-09-22 from makers' current curves at 13.5 V, assuming the stock LS returnless 58 psi (400 kPa) - the record gives no target pressure. Draw at 58 psi: Walbro/TI GSS342 255 lph ~8.9 A; Aeromotive Phantom 340 (HO12's candidate) ~12.2 A, 13 A max per the maker; AEM 50-1200 340 lph ~12-13.4 A; TI F90000267/274 450 lph ~15.3 A (19 A at its 112 psi relief). At 43.5 psi: 7.7 / 11.5 / ~12 / 14.3 A. +~7 % at 14.4 V, more on E85. O5 is a 25 A channel: any 255/340 pump fits; the 450 lph is the only one that crowds it. Sources: autoperformanceengineering.com/html/fpspecs.html, strikeengine.com (13.5 V bench test), aeromotiveinc.com efi-returnless-phantom-340, fuelsafe.com F90000274. Interpolated values are confirm; the installed pump's draw at the regulated pressure is measured before O5's soft fuse is set (D-173, R11), and its inrush term re-checked.",,,
H-001,00,00 Design - every choice made on paper before money is spent,"Size the swap's alternator for the whole car with the luxury loads on - the blower on high for hours, the seats, the defog, the lights",agent,open,,"Camden 2026-09-23 (luxury D-391, answering the blower controller): ""worth noting in enine swap that alternator needs to be beefy"". The car's own alternator is 55 A class (electrical V-002 reads the tag). Sum the running loads with every comfort load on (electrical loads, luxury parts) and size the swap's alternator with margin, and its regulator against the Ionic's 14.6 V ceiling (00-CAR SP-231)",,,
J1,01,"01 Buy and retrieve - the engine, the transmission and the parts","Before any yard trip: call and give the VIN - is the car still on the lot, and is its engine still in it?",camden,open,,"Shortlist from sightings (2026-09-23): SG03 2007 Avalanche LC9 PYP Denver 52nd T16/6; SG01 2007 Silverado LH6 same yard T31/4 (58 days - at risk); SG08 2010 Suburban LC9 PYP Aurora 44/7; SG10 2010 Silverado LC9 Aurora 34/2; SG09 2007 Yukon XL LC9 Aurora 45/11. PYP (800) 962-2277. A VIN code confirms the engine the car left the factory with, not that it is still original. Take the whole package: harness, ECU, pedal, MAF, throttle body, fuel rails, coils (options OP01-OP04)",,,
J2,01,"01 Buy and retrieve - the engine, the transmission and the parts",Call Littleton U-Pull about its 2005 Silverado in row 8 - ask for the 8th VIN digit (B means L33),camden,open,,The only possible L33 in range on 2026-09-23 (SG16). Littleton does not publish VINs: 303-791-1380,,,
J3,00,00 Design - every choice made on paper before money is spent,"Get the CD009's external dimensions - bellhousing, case width and height along its length, shifter position, overall length - with the Sikky adapter fitted",agent,open,,"No FB build with a CD009 was found; it fits the FD tunnel, needs fabrication in the FC, and the FB tunnel is smaller still. These numbers are what J4 measures against (options OP10, OP20)",,,
J4,00,00 Design - every choice made on paper before money is spent,Measure the FB tunnel against the CD009 before buying the transmission,camden,open,J3,"Width and height along the tunnel from the firewall back, and where the shifter lands, in mm (R11). The car is an automatic today - its tunnel may be roomier. If the CD009 cannot fit without heavy cutting, the T56 (OP11) or the 4L60E (OP12) comes back",,,
J5,01,"01 Buy and retrieve - the engine, the transmission and the parts",Re-run the aluminum-donor search before each yard trip - inventory turns over daily,agent,open,,"Search pyp.com Aurora and Denver 52nd and upullandpay.com by model, check the VIN's 8th digit (B L33, P LM4, M LH6, 3 or 7 LC9; T, 0, J, V, Z, F are iron), and update sightings - mark gone what has left. Cars are crushed about 30-90 days after being set",,,
K1,00,00 Design - every choice made on paper before money is spent,ECU options for a dash-mounted ECU - then a block for Camden,agent,open,,"Candidates: ECUMaster EMU PRO (the PMU's maker), Holley Terminator X Max, a GM E38 / E67 with HP Tuners, Haltech. For each: price, injector and ignition outputs, 24x and 58x trigger support (Gen III or Gen IV, D-393), drive-by-wire, knock, wideband input, CAN into the bus at 0x500+ (HO03), cabin mounting and harness length, tuning tools. Checked against every dash_end in ls_wires",,,
K2,00,00 Design - every choice made on paper before money is spent,Colorado emissions rules for an engine swap in a 1982 car registered in Larimer County,agent,open,,"Whether the car is in the testing program at all, and if so what a swapped engine must keep (O2 sensors, EVAP purge, catalytic converters). This decides the optional rows LD11 and LD20 in ls_devices. Colorado's rules are believed to tie the equipment to the donor engine - confirm from the state's own pages",,,
K3,00,00 Design - every choice made on paper before money is spent,"Cavity plan: every crossing conductor in ls_wires to a leg cavity, grouped by noise class, plus the firewall grommet size",agent,open,03.02,"Drivers apart from sensor signals; shielded groups together, drain at the ECU end; the four power conductors on L1-P as they are today. The dash side (ECU to post receptacles) is designed with it once the ECU is chosen (K1)",,,
K4,02,"02 Breakdown - engine and transmission on stands: strip, inspect, measure","With the engine and transmission in hand: read every connector's pin letters and confirm the generation, then correct ls_devices and ls_wires",camden,open,,"R11: every pin letter and supply voltage in the design is confirm until read off the parts. Gen III vs Gen IV changes the crank, cam, knock and coil details (D-393)",,,
