id,zone,return,awg,qty,ft
G01,L1,Engine block → chassis strap,2,1,2
G02,L1,K9 85 → block,16,1,3
G03,L1,Inhibitor BW and RW → block,16,2,3
G04,L1,Brake fluid switch B → block,16,1,3
G05,L2,Front star stud → chassis,10,1,2
G06,L2,"Headlight B → front star, each",14,2,4
G07,L2,"Pop-up bucket strap → front star, each",14,2,4
G08,L2,"Front combo lamp B → front star, each",16,2,4
G09,L2,"Side marker B → front star, each",16,2,4
G10,L2,"Horn case → front star, each",14,2,3
G11,L2,Wiper motor B → front star,14,1,3
G12,L2,Washer pump LY → front star,16,1,3
G13,L2,Pop-up 47 kΩ baselines → front star,16,2,1
G14,L3,GND bus → dash chassis star,10,1,2
G15,L3,Blower switch common → dash ground,12,1,4
G16,L3,Head unit black → dash ground,14,1,3
G17,L3,USB-C module − → dash ground,16,1,3
G18,L3,Dash illumination lamps B → dash ground,16,3,3
G19,L3,Glove box lamp switch → dash ground,16,1,3
G20,L3,Wink switch commons → dash ground,16,2,3
G21,L3,Brake pedal switch → dash ground,16,1,3
G22,L3,Turn / hazard / wiper stalk returns → column ground,16,3,2
G23,L4,Rear star stud → chassis,10,1,2
G24,L4,Battery − → rear star stud,2,1,3
G25,L4,Defog grid B → rear star,12,1,6
G26,L4,Fuel pump − → rear star (dedicated),12,1,4
G28,L4,Fuel sender B → rear star,16,1,5
G29,L4,"Rear combo lamp B → rear star, each",16,2,5
G30,L4,Licence + rear marker B → rear star,16,4,4
G31,L4,Interior lamp switch → roof-rail ground,16,1,4
G32,L4,Luggage lamp switch → rear star,16,1,3
G33,Sill,Sill stud → chassis,10,1,2
