pin,cavity_size,channel,name,class,awg,colour,circuit,goes_to,load_type,est_a,meas_a,enable_a,inrush_x,inrush_ms,status,note
STUD,stud,—,+12V BATT,MAIN,2,RED,"Main supply from the Class-T, 150 A max",Busbar → PMU stud,,,,,,,LIVE,"4 AWG jumper busbar → stud, ≤ 8 in"
25,L,—,GND,GND,10,BLK,Device ground and flyback return for every inductive load,"GND bus, ≤ 6 in",,,,,,,LIVE,"Shortest, heaviest wire on the plate"
7,S,—,+12V SW,WAKE,16,BLU,Wake input — diode-OR strip: ACC · RUN · door stage (A6) · horn/hazard/wink stage (A8) · O22 latch,Wake strip common rail,,,,,,,LIVE,10 kΩ bleed to GND on the rail
15,M,—,+5V OUT,REF,16,PNK,+5 V reference — plate only: the two 100 kΩ bias resistors for A15 / A16,Bias resistors on the plate,,,,,,,LIVE,Nothing in any leg uses +5 V
23,S,—,CAN1H,CAN1,16 tw,YEL,"Laptop / config bus, 1 Mbps. 120 Ω at BOTH ends (PMU end + port)",DP-DIAG 1,,,,,,,LIVE,
36,S,—,CAN1L,CAN1,16 tw,GRN,Laptop / config bus,DP-DIAG 2,,,,,,,LIVE,
24,S,—,CAN2H,CAN2,16 tw,YEL/BLK,"Vehicle bus 500 kbps — software termination ON at the PMU, 120 Ω at the engine-bay drop",L1-S1 9 · DP-ICU 3 · DP-DCU 4 · DP-KEY 1,,,,,,,LIVE,Only the L1 drop is live now; the three dash drops are capped
37,S,—,CAN2L,CAN2,16 tw,GRN/BLK,Vehicle bus,L1-S1 10 · DP-ICU 4 · DP-DCU 5 · DP-KEY 2,,,,,,,LIVE,
38,L,O1,MOTOR_BUS,25A,12,RED/WHT,Pop-up motor bus — feeds fuse block C (F6 / F7 → K1 / K2 contacts) and both K1 / K2 coils,Block C in · K1 86 · K2 86 · L4-P 3 (capped),motor,9.5,,25.0,7,400,LIVE,Integrated flyback diode on this channel. Stalls measured: L 12.8 A · R 13.1 A
39,L,O2,HEAD_LOW,25A,12,RED/BLK,"Headlight LOW, both lamps",L2-P1 1,lamp,3.0,,25.0,3,200,LIVE,
