id,name,system,zone,factory,maker,part_no,factory_code,bought,link,support,cad,photo,note,model_at_mm,model_from,oem_no,catalogue,applies,parent
PT001,12A rotary engine,engine,engine_bay,yes,Mazda,,,,,"Atkins Rotary 360-832-1990, Dan@Atkinsrotary.com (https://www.atkinsrotary.com/contact-us/)",,,,18 -229 377,"blend: engine_12a, its assumed place (blend.py ENGINE_*)",N202-23-200,1000A-1 EC-025-06,,
PT002,Oil metering pump,engine,engine_bay,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,"Removed, and its oil ports blocked off (Camden, 2026-09-25; date of removal not recorded). The engine runs on premix in the fuel",,,1757-14-600,1400A-1 EC-044-16,replaced,PT001
PT003,Oil filter,engine,engine_bay,no,,,,PH013,https://www.rockauto.com/en/moreinfo.php?pk=56457&cc=1192250&pt=5340,"Atkins Rotary 360-832-1990, Dan@Atkinsrotary.com (https://www.atkinsrotary.com/contact-us/)",,,,,,B6Y1-14-302,1400A-1 EC-044-25 EC-044-26,,PT110
PT004,Oil pressure sender,engine,engine_bay,yes,Mazda,,C-09,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Works,,,N201-14-820,6600A-1 BI-095-02,,PT001
PT005,Alternator belt,engine,engine_bay,no,,,,PH009,https://www.rockauto.com/en/moreinfo.php?pk=3853&cc=1192250&pt=8900,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,8311-18-381A,1800A-1 EC-056-27,,PT025
PT006,Weber 45 DCOE carburettor kit,fuel,engine_bay,no,Pierce Manifolds,K678,,PH014 PH015 PH016 PH017 PH018 PH019 PH020,https://www.piercemanifolds.com/Mazada_2A_Weber_Conversion_K678_p/k678.htm,"Pierce Manifolds (408) 842-6667, Mon-Thu 7am-5pm Pacific (https://www.piercemanifolds.com/page/contact-us)",,,"Jetted with Pegasus pump jets, air correctors, emulsion tubes, main and idle jets and needle valve",,,,,,
PT007,Fuel pump,fuel,,no,Carter,P4070,,PH025 PH026,https://www.pegasusautoracing.com/productdetails.asp?RecId=8118,,,,,,,8871-13-400B,1320A-1 EC-033-06,,
PT008,Fuel pressure regulator,fuel,,no,Holley,,,PH027 PH028,https://www.pegasusautoracing.com/productselection.asp?Product=1135,"Holley tech support 866-464-6553, 8am-6pm CST Mon-Fri (https://www.holley.com/support/)",,,,,,,,,
PT009,Fuel filter,fuel,,no,Duralast,FF3429DL,,PH029,https://www.autozone.com/filters-and-pcv/fuel-filter/p/duralast-fuel-filter-ff3429dl/830817_0_0,AutoZone (Duralast) help via autozone.com - number not verified,,,,,,E508-13-470,1320A-1 EC-033-14,,
PT010,Fuel cut-off,fuel,,no,,,,PH030,https://www.amazon.com/dp/B0C2QJ1518,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,,,,
PT011,"Fuel line, 3/8 in",fuel,,no,,,,PH024,https://www.amazon.com/dp/B0CNCN5P1N,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,,,,
PT012,Vacuum lines and fittings,engine,engine_bay,no,,,,PH021 PH022 PH023,https://www.amazon.com/dp/B08CT3YDDL,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Includes the brake booster and transmission vacuum fittings,,,,,,
PT013,"Ignition coils, leading and trailing",ignition,engine_bay,no,,,,PH001,https://www.rockauto.com/en/moreinfo.php?pk=15707417&cc=1192250&pt=7060,"Atkins Rotary 360-832-1990, Dan@Atkinsrotary.com (https://www.atkinsrotary.com/contact-us/)",,,,,,1480-18-100,1800A-1 EC-056-01 EC-056-02 EC-056-03 EC-056-19 EC-056-30,,PT001
PT014,Distributor,ignition,engine_bay,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,"Breakerless, with the igniters on its housing",,,N201-18-200,1820A-1 EC-057-01 EC-057-03 EC-057-04 EC-057-05 EC-057-20 EC-057-21 1800A-1 EC-056-21,,PT001
PT015,Distributor cap,ignition,engine_bay,no,Duralast,JA980,,PH003,https://www.autozone.com/ignition-tune-up-and-routine-maintenance/distributor-cap/p/duralast-distributor-cap-ja980/1,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,8245-24-310B,1820A-1 EC-057-07 EC-057-09,,PT014
PT016,Distributor rotor,ignition,engine_bay,no,,,,PH004,https://www.rockauto.com/en/moreinfo.php?pk=46521&cc=1192250&pt=7136,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,8245-24-303A,1820A-1 EC-057-08 EC-057-09,,PT014
PT017,Spark plug wires,ignition,engine_bay,no,,,,PH005,https://www.rockauto.com/en/moreinfo.php?pk=644039&cc=1192250&pt=7224,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,8248-18-110 8248-18-120 1480-18-130B 1480-18-160A 1480-18-170B 8871-18-180A 0000-18-097B,1800A-1 EC-056-07 EC-056-08 EC-056-12 EC-056-13 EC-056-14 EC-056-15 EC-056-16 EC-056-17 EC-056-18 EC-056-09 EC-056-10 EC-056-11,,PT014
PT018,Coil wires,ignition,engine_bay,no,,,,PH002,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,0000-18-097B,1800A-1 EC-056-08,,PT013
PT019,Spark plugs,ignition,engine_bay,no,,,,PH006,https://www.rockauto.com/en/moreinfo.php?pk=54628&cc=1192250&pt=7212,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,N201-18-600,1800A-1 EC-056-04 EC-056-05 EC-056-06,,PT001
PT020,Radiator,cooling,front,yes,Mazda,,,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,cooling+system","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,0 710 324,FB shell: RADIADOR,N202-15-310B,1500A-1 EC-046-35; 1500A-2 EC-047-02 EC-047-03 EC-047-04 EC-047-05,,
PT021,Water pump,cooling,engine_bay,yes,Mazda,,,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,cooling+system","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,1757-23-920G,1500A-1 EC-046-14 EC-046-16 EC-046-17 EC-046-18 EC-046-19 EC-046-20,,PT001
PT022,Thermostat,cooling,engine_bay,yes,Mazda,,,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,cooling+system","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,8553-99-152,1500A-1 EC-046-29 EC-046-31,,PT021
PT023,Water temperature gauge sender,cooling,engine_bay,yes,Mazda,,C-02,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Works,,,8569-18-510A,6600A-1 BI-095-07,,PT001
PT024,Battery,electrical,engine_bay,,,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,"Lead-acid, in the factory location",,,0000-80-124K,1850A-1 EC-061-01 EC-061-02,,
PT025,Alternator,electrical,engine_bay,yes,,,,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,charging+system","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Its rating has not been read off the car,,,N221-18-300R,1830A-1 EC-058-01 EC-058-02 EC-058-18 1800A-1 EC-056-22 EC-056-23 EC-056-24 EC-056-25 EC-056-26,,PT001
PT026,Starter motor,electrical,engine_bay,,,,,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,electrical","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,N202-18-400R,1840A-1 EC-059-02 EC-059-03 EC-059-25 EC-059-26 EC-059-23 1800A-1 EC-056-28,,PT001
PT027,Wiring harness,electrical,,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Previous-owner splices; one known instance is the dash behind the head unit and factory amplifier,,,,6704A-1 BI-112-04 1800A-1 EC-056-31 EC-056-32,,
PT028,Wideband O2 gauge and sensor,engine,dash,no,,,,,,,,,Taps into the factory harness at a point not yet located,,,,,,
PT029,Interval wiper control unit,electrical,,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,,,,
PT030,Hatch release solenoid,body,cargo,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,The hatch latch switch is broken,,,,,,
PT031,Fuel-door solenoid,body,rear,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,,,,FA01-42-480,4200A-1 EC-107-28,,PT173
PT032,Power mirror heads,body,doors,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Each is one reversible motor plus an electromagnetic clutch coil that selects the axis; the factory mirror switch is dead,-798 -1165 901; 799 -1165 901,"FB shell: ESPEJOS, left and right",8341-69-110A (R); 8341-69-170A (L),6900A-1 BI-128-15 BI-128-18 BI-128-26,,
PT033,"Headlamp retractor motors, LH and RH",lighting,front,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,DC motors with up and down limit switches; both manual raise knobs work,-549 631 633; 549 631 633,FB shell: the front pop-up covers (TAPAFAROS); the motor is under each,FA01-51-931B (R); FA01-51-941B (L),5103A-1 BI-033-16 BI-033-17,,PT590
PT034,Headlamp retractor switch,lighting,dash,yes,Mazda,,E-02,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Broken: the pop-ups cannot be raised from the dash switch,,,FA01-66-670,6610A-1 BI-097-11,,
PT035,Headlamp units,lighting,front,no,,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,LED housings fitted by a previous owner; what is fitted has not been confirmed on the car - confirm,-549 631 633; 549 631 633,FB shell: the front pop-up covers (TAPAFAROS),0000-11-6024-HL,5100A-1 BI-032-09,,PT589
PT036,Rear defrost switch,electrical,dash,yes,Mazda,,G-24,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Broken,,,B001-66-460,6610A-1 BI-097-09,,
PT037,Rear defrost grid,electrical,cargo,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Not measured,0 -2515 1006,FB shell: the middle of the hatch glass (VIDRIOS behind the doors),8341-75-890D,6300A-1 BI-093-08,,
PT038,Washer fluid pump,electrical,front,yes,Mazda,,D-01,,"https://www.rockauto.com/en/catalog/mazda,1982,rx-7,1.1l+r2,1192250,wiper+&+washer","Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Not working; the cause is not diagnosed,,,8532-76-672,6720A-1 BI-113-11,,PT673
PT039,Blower motor,climate,dash,yes,Mazda,,G-14,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Dead - no airflow,,,8871-76-453A,6120A-1 BI-078-08 BI-078-02 BI-078-06,,PT221
PT040,A/C system,climate,engine_bay,yes,Mazda,,,,,"Mazdatrix 562-426-7960, mazdatrix.inc@gmail.com (https://www.mazdatrix.com)",,,Holds charge and barely cools,,,,,,
