section,store,item,part_or_spec,qty,unit,unit_price_usd,line_total_usd,price_basis,note
TOOL,Amazon,"Hydraulic lug crimper, 8 AWG – 1/0, with dies",TEMCo TH0006 (or equal),1,ea,60.00,60.00,est,Crimps every 2 AWG / 1/0 / 6 AWG lug
TOOL,Amazon,"Deutsch solid-contact 4-indent crimper, sizes 12 / 16 / 20",IWISS solid-contact Deutsch crimper (12/16/20),1,ea,138.99,138.99,cart,Accepted only after the pull-test coupons pass (Install §1)
TOOL,Amazon,"Open-barrel ratchet crimper for the PMU's SICMA / FCI terminals, 1.5 mm and 2.8 mm dies",Astro 9477 (or equal) — check the die against one real terminal before the first real crimp,1,ea,80.00,80.00,est,Sizes 14–17 AWG (1.5 mm) and 10–12 AWG (2.8 mm)
TOOL,Amazon,Digital hanging scale 0–50 kg (crimp pull tests),any,1,ea,18.00,18.00,est,
TOOL,Amazon,"Label printer, prints on heat-shrink sleeve",Brother PT-E310BT,1,ea,166.92,166.92,cart,Replaces the discontinued PT-E300VP; same HSe / TZe cartridges
TOOL,Amazon,"Heat gun, 1500 W, two temperatures",any,1,ea,30.00,30.00,est,
TOOL,Amazon,"Wire strippers 10–22 AWG, flush cutters, needle-nose pliers",Klein / Knipex class,1,set,70.00,70.00,est,
TOOL,Amazon,Soldering iron + solder,Pinecil / Hakko class,1,ea,45.00,45.00,est,Ladder resistors and diodes
TOOL,Amazon,"Digital multimeter (if not already owned) — ohms, DC volts, continuity beeper",any auto-ranging,1,ea,30.00,30.00,est,The UT210E clamp meter in hand does current; a plain meter is faster for continuity
TOOL,Amazon,"Torque wrench 1/4 in drive, 2–20 N·m",any,1,ea,40.00,40.00,est,"Battery lugs, busbar studs, PMU stud"
TOOL,DeutschConnector.com,"Deutsch contact removal tool, size 16",0411-310-1605 (or the kit equivalent),2,ea,8.00,16.00,est,"One in the toolbox, one in the car"
TOOL,DeutschConnector.com,"Deutsch contact removal tool, size 12",0411-310-1205,2,ea,8.00,16.00,est,
TOOL,DeutschConnector.com,"Deutsch contact removal tool, size 20",0411-310-2005,1,ea,8.00,8.00,est,
MATERIAL,Amazon,"Class-T fuse block with cover, 110–200 A",Blue Sea 5007100,1,ea,78.47,78.47,cart,The only fuse type with the interrupt rating for a lithium short
MATERIAL,Amazon,"Class-T fuse 150 A (one fitted, one spare)",Blue Sea 5114,2,ea,45.00,90.00,est,
MATERIAL,Amazon,Master battery disconnect switch,Blue Sea 9003e (m-Series),1,ea,62.00,62.00,est,
MATERIAL,Amazon,"Distribution post, 3/8 in stud, insulated",Blue Sea 2003 PowerPost,1,ea,15.72,15.72,cart,
MATERIAL,Amazon,MRBF terminal fuse holder,Blue Sea 5191,1,ea,25.00,25.00,est,"Starter cable protection, on the battery + post"
MATERIAL,Amazon,MRBF fuse 200 A,Blue Sea 5187,1,ea,16.99,16.99,cart,
MATERIAL,Amazon,"MIDI / AMI fuse holder, sealed, bolt-down (×2: F17, F18)",Blue Sea 5006 (or equal),2,ea,14.00,28.00,est,Mounted beside the starter B+ stud
MATERIAL,Amazon,"MIDI fuse 30 A (F17, K9 feed)",Blue Sea 5253 (or equal),2,ea,5.00,10.00,est,"One fitted, one spare"
MATERIAL,Amazon,"MIDI fuse 100 A (F18, alternator)",Blue Sea 5258 (or equal),2,ea,5.00,10.00,est,"One fitted, one spare"
MATERIAL,Amazon,"Battery box, Snap-Top, Group 27–31",NOCO BG27,1,ea,20.28,20.28,cart,Confirm the Ionic S9 case + boots fit inside before fixing it down
MATERIAL,Amazon,"Battery hold-down clamp + J-hooks, backing plate stock (3–4 mm aluminium), M8 grade-8 hardware, nyloc, fender washers",generic,1,set,60.00,60.00,est,
MATERIAL,Amazon,"Ground studs 3/8 in stainless with star washers (×4: rear, front, dash, sill)",generic,4,ea,4.00,16.00,est,
MATERIAL,Amazon,"PMU stand-offs M6 × 12 mm, aluminium (×3)",generic,3,ea,1.50,4.50,est,Airflow under the PMU
MATERIAL,Amazon,"2 AWG fine-strand welding cable RED, 25 ft + 20 ft",TEMCo,1,set,212.81,212.81,cart,"45 ft red total: PMU feed through the tunnel, starter run, disconnect links"
MATERIAL,Amazon,"2 AWG fine-strand welding cable BLACK, 25 ft",TEMCo,1,ea,72.00,72.00,est,"Battery negative, engine strap"
MATERIAL,Amazon,"6 AWG cable RED, 5 ft (alternator B+)",any SGX / welding,1,ea,15.00,15.00,est,
MATERIAL,Amazon,"Tinned closed-barrel lugs 2 AWG, 5/16 and 3/8 holes, assorted",TEMCo / Selterm,18,ea,2.50,45.00,est,Every 2 AWG cable end + hydraulic practice crimps
MATERIAL,Amazon,Tinned lugs 6 AWG 5/16 (×4) and 1/0 3/8 (×4 if the starter run is 1/0),TEMCo / Selterm,8,ea,2.00,16.00,est,
MATERIAL,Amazon,"Terminal boots, red and black, 2 AWG / 1/0 (×10)",generic,10,ea,1.50,15.00,est,
MATERIAL,Amazon,"LiFePO4-profile charger 12 V 10 A — OPTIONAL, skip if one is owned",Ionic 12V 10A,1,ea,110.00,110.00,est,A lead-acid charger can ruin the Ionic; the battery sits until winter
MATERIAL,Waytek,"ATC fuse block, 4-position, bussed input (×4: blocks A–D)",OptiFuse BLR-504 — Waytek 45643,4,ea,9.93,39.72,cart,One source per block
MATERIAL,Waytek,"Sealed inline ATC fuse holder, 14 AWG leads (F12, F15, F16 on the plate · F8, F9, F14 at the sill)",Waytek 46047,6,ea,7.17,43.02,cart,
MATERIAL,Waytek,"ISO micro relay 40 A SPDT with integral diode (K1, K2, K11, K12 + 2 spare)",Song Chuan 871-1C-C-D1-12VDC — Waytek 75725,6,ea,2.59,15.54,cart,
MATERIAL,Waytek,"Sealed mini ISO relay SPDT with integral diode, K9 (one spare)",Picker PC792E-1C-C-12S-DN-X — Waytek 74858,2,ea,6.00,12.00,est,Engine bay — must be the sealed type
MATERIAL,Waytek,Weatherproof 5-pin mini relay connector for K9 (one spare),Chief 75340,2,ea,5.00,10.00,est,
MATERIAL,Waytek,Panel-mount micro relay socket with terminals (10 plate + 4 sill),Waytek 75290,14,ea,1.32,18.48,cart,
MATERIAL,Waytek,Busbar 10-gang 150 A with cover (always-hot + ground),Blue Sea 2301 — Waytek 78250,2,ea,24.48,48.96,cart,
MATERIAL,Amazon,"Aluminium sheet 3 mm (1/8 in), 12 × 24 in — backer plate + sill plate",generic,1,ea,45.00,45.00,est,Cut only after the dash envelope is measured
