id,status,group,part,source,usd,link,note
PH001,installed,August 2025 · Ignition,Coils ×2,RockAuto,20,[pk 15707417](https://www.rockauto.com/en/moreinfo.php?pk=15707417&cc=1192250&pt=7060),
PH002,installed,August 2025 · Ignition,Coil wires,—,—,—,
PH003,installed,August 2025 · Ignition,Distributor cap,AutoZone,50,[Duralast JA980](https://www.autozone.com/ignition-tune-up-and-routine-maintenance/distributor-cap/p/duralast-distributor-cap-ja980/102483_0_0),
PH004,installed,August 2025 · Ignition,Distributor rotor,RockAuto,7,[pk 46521](https://www.rockauto.com/en/moreinfo.php?pk=46521&cc=1192250&pt=7136),
PH005,installed,August 2025 · Ignition,Spark plug wires,RockAuto,13,[pk 644039](https://www.rockauto.com/en/moreinfo.php?pk=644039&cc=1192250&pt=7224),
PH006,installed,August 2025 · Ignition,Spark plugs,RockAuto,5,[pk 54628](https://www.rockauto.com/en/moreinfo.php?pk=54628&cc=1192250&pt=7212),
PH007,installed,"September 2025 · Engine gaskets, oil service, belt",Head gasket (intake),RockAuto,10,[pk 477517](https://www.rockauto.com/en/moreinfo.php?pk=477517&cc=1192250&pt=5424&jsn=463),
PH008,installed,"September 2025 · Engine gaskets, oil service, belt",Carb gaskets,—,—,—,
PH009,installed,"September 2025 · Engine gaskets, oil service, belt",Alternator belt,RockAuto,—,[pk 3853](https://www.rockauto.com/en/moreinfo.php?pk=3853&cc=1192250&pt=8900),
PH010,installed,"September 2025 · Engine gaskets, oil service, belt","Engine oil — Mobil 1 High Mileage 10W-30, 5 qt",Walmart,—,[link](https://www.walmart.com/ip/Mobil-1-High-Mileage-Full-Synthetic-Motor-Oil-10W-30-5-Quart/17034353),
PH011,installed,"September 2025 · Engine gaskets, oil service, belt",Oil pan gasket,RockAuto,—,[pk 125990](https://www.rockauto.com/en/moreinfo.php?pk=125990&cc=1192250&pt=5436),
PH012,installed,"September 2025 · Engine gaskets, oil service, belt",Oil drain plug gasket,RockAuto,—,[pk 1261370](https://www.rockauto.com/en/moreinfo.php?pk=1261370&cc=1192250&pt=5428),
PH013,installed,"September 2025 · Engine gaskets, oil service, belt",Oil filter,RockAuto,—,[pk 56457](https://www.rockauto.com/en/moreinfo.php?pk=56457&cc=1192250&pt=5340),
