id,kind,signal,at_the_drop,on_the_wire,carrier_stage,teensy_pin,calibration,can,note
IC01,input,Water temp sender,DP-ICU-B 1 ← L1-S1 3,2-wire resistive sender to engine ground; the ICU is its only excitation,"100 Ω 1 W pull-up from the carrier's 5 V behind jumper J1 (fitted) → node → 15 kΩ / 10 kΩ divider (×0.4, 5 V → 2.0 V) → 100 nF → BAT54S to 3V3 / GND",14 (A0) - ADC,The car's own C-02 sender stays (D-261): FSM §15 curve checked by a three-point read in the car,0x200 byte 2,J1 open + a curve file = a 0–5 V sensor or the ECU's CAN value at the swap (D-262)
IC02,input,Oil-pressure node,DP-ICU-B 2 ← L1-S1 4,PMU-excited node: 100 Ω 1 W from pin 15 at the dash node; A7 reads it (D-260),No pull-up on the carrier — read only: 15 kΩ / 10 kΩ divider → 100 nF → BAT54S,15 (A1) - ADC,Same curve as A7's; compare the two readings — a disagreement is a sender or wiring fault,0x200 bytes 4–5,"The fuel-pump gate is the PMU's on A7, never this input (D-251). At the swap a 0–5 V transducer replaces the sender and the 100 Ω pull-up is lifted at N39 (D-262)"
IC03,input,Fuel level sender,DP-ICU-B 3 ← L4-S 1,2-wire resistive sender to the rear star; 6 Ω full · 31.5 Ω mid · 80 Ω empty (D-249),100 Ω 1 W pull-up from 5 V behind jumper J3 (fitted) → divider ×0.4 → 100 nF → BAT54S,16 (A2) - ADC,"D-249's three points, re-read on the tank unit in place (D-261); the display's fuel scale is linearised from them",0x218 bytes 0–1,Was the PMU's A7 until D-249; the ICU is the only source now. The tank unit outlives the swap
IC04,input,Tachometer pulse,DP-ICU-B 4 ← L1-S1 6 (shielded),"Trailing coil negative primary (luxury D-304) — inductive kick, hundreds of volts","2 × 100 kΩ ½ W series → 5.1 V zener + BAT54S to 3V3 → LM393 on the 5 V rail (its input range stops 1.5 V under its supply — on 3.3 V the zener node would clip) with ~0.5 V hysteresis, 10 kΩ pull-up to 3V3 → input-capture pin","2 - input capture, FreqMeasureMulti (not FreqMeasure: its only T4.1 pin is 22, which is CAN1 TX)","2 pulses per revolution; tach_simulator on the bench, then the car",0x200 bytes 0–1,D-273 confirms the parts; an H11L1 opto is the alternative if the comparator picks up noise. An ECU tach output (0–12 V square wave) uses the same stage at the swap; pulses per rev is a config value
IC05,input,Charge-lamp line (alternator L),DP-ICU-B 5 ← L1-S2 8,"Lamp-drive line: ~0 V when not charging, system volts when charging",47 kΩ / 10 kΩ divider → RC → BAT54S,17 (A3) - ADC,"Threshold from the in-car reading, engine off vs running",0x210 flag,"Sense only — the field is excited by F15 → BW (D-198), so no lamp load is needed on L; the display draws the CHARGE tell-tale from this reading"
IC06,input,Brake warning node,DP-ICU-B 6 ← L1-S2 1 + L3-S2 11,Pulled low by the fluid-level switch or the parking-brake switch,47 kΩ / 10 kΩ divider → RC → BAT54S,28 - digital,None — low = warn,0x210 flag,"One BRAKE tell-tale for both, as the factory lamp was (luxury D-310)"
IC07,input,Oil temperature,DP-ICU-B 7 — a sealing plug until the swap (D-264),Future 2-wire NTC sender (Q-308),"Pull-up from 5 V behind jumper J7, sized to the sender's curve (1 kΩ – 2.2 kΩ 1 %), divider ×0.4, RC, BAT54S",20 (A6) - ADC,"Sender datasheet curve, one-point check in hot oil",0x200 byte 3,Footprint only: no oil-temp sender on the 12A and no conductor run for one (D-264); the swap's rebuilt leg lands on DP-ICU-B 7 and the pull-up goes in then (D-262)
IC08,input,Road speed,"DP-ICU-B 8 ← L4-S 3 (LIVE at the cutover); supply on L4-S 4, an O10 tap","Hall pulse generator on the transmission's speedo-drive boss, 12 V square wave, 8 000 or 16 000 pulses per mile (D-272)",Jumper: 4.7 kΩ pull-up to 3V3 (open-collector) or 10 kΩ / 4.7 kΩ divider (push-pull); BAT54S; Schmitt → input capture,"3 - input capture, FreqMeasureMulti",Pulses per km over a measured mile or against GPS,0x200 byte 6,"D-272: the cable is deleted; the sensor screws onto the boss (P113, DV47) and is fitted at the meters cutover; pulses per mile is a config value, trued once against a measured mile. The same kind of sensor on whatever transmission follows the Jatco, or the ECU's VSS frame if the next box has no drive (02-engine HO15)"
IC09,input,Turn LEFT tell-tale sense,DP-ICU-B 10 ← tap on the O17 splice,"The real lamp output, 0 / 12 V flashing",47 kΩ / 10 kΩ divider → BAT54S,29 - digital,None,tell-tale,"The tell-tale follows the real lamps, not the bus (D-258); the display draws it"
IC10,input,Turn RIGHT tell-tale sense,DP-ICU-B 11 ← tap on the O18 splice,as IC09,as IC09,30 - digital,None,tell-tale,
IC11,input,High-beam tell-tale sense,DP-ICU-B 12 ← tap on the O3 splice,0 / 12 V,as IC09,31 - digital,None,tell-tale,
IC12,power,Logic 12 V,DP-ICU-A 1 ← O10 tap,"Accessory bus, 13 A cap shared with the head unit","SS34 → SMBJ33A → LMR36015FSCQ-Q1 (adjustable, 2.1 MHz spread-spectrum; there is no fixed 5 V version) → 5 V → Teensy VIN. TI SNVSAY8D typical application: L 2.2 µH ≥ 2.8 A sat (Coilcraft XAL4020-222ME, confirm); Cin 4.7 µF 100 V X7R 1210 + 2 × 220 nF 100 V at each VIN/PGND pair; Cout 2 × 22 µF ≥ 10 V X7R; CBOOT 100 nF BOOT→SW; CVCC 1 µF; FB 100 kΩ / 24.9 kΩ 1 % (VREF 1 V) with 20 pF across the top; EN tied to VIN after the SS34; PG open-drain, 100 kΩ to +3V3 → PG_5V. The radio on its own 3.3 V LDO (D-273)","PG_5V 37 - the buck's power-good, digital in",—,—,"~0.8 A peak: the Teensy, the transceiver, the IMU, the three sender excitations, the radio co-processor (≤ 120 mA average, ~300 mA peaks in a BLE scan) — the 36 V LMR33630 would have sat under the clamp's ~53 V. At the ~53 V clamp the 2.1 MHz part's on-time (~45 ns) is under its 55 ns minimum, so it skips pulses during a clamp event and runs normally at 9-16 V (confirm)"
IC13,power,"Aux 12 V, ignition — the display's backlight",DP-ICU-A 6 ← F16 (5 A),Ignition-switched,"SS34 → SMBJ33A → 4 A fuse → ≥ 60 V high-side switch (SQD50P06-class P-FET, or a VN5E-class high-side driver ≥ 6 A) → the display's backlight driver (D-268, D-273)",BL_EN 36 - the backlight high-side switch's enable,—,—,"Never joined to the logic rail on the board — two inputs, two diodes. Backlight current is the panel's spec: ~2.5 A at 12 V for the 900–1000-nit bar and its scaler (D-269), so a 4 A fuse and a switch rated well above it (D-273)"
IC14,power,Illumination,DP-ICU-A 2 ← O20 node,"The dash illumination bus, PWM-dimmed by the PMU",Divider → ADC: the dimming reference the display follows,21 (A7) - ADC,—,—,"The display dims against the O20 bus, so one dimmer runs the whole dash"
IC15,power,Ground,DP-ICU-A 3 → GND bus,,"Single pour, star-tied here",—,—,—,
IC16,bus,CAN2,DP-ICU-A 4 / 5,500 kbps; TCAN1042HVDRQ1 confirmed available (V-057 → D-265),"TCAN1042HVDRQ1, 3.3 V IO; no termination on this board (D-079 → D-346); common-mode choke footprint DNP",22 TX / 23 RX - FlexCAN1 (ACAN_T4 can1); transceiver STB on 32,—,"0x200 · 0x210 · 0x218 out; 0x180 ext (AEMnet, 29-bit, big-endian, 100 Hz) in — D-266",
