id,src,dst,awg,colour,note
N01,DP-BAT lug (2 AWG from the Class-T),Always-hot busbar stud,2,RED,The main feed lands directly on the busbar
N02,Always-hot busbar,PMU +12 V stud,2,RED,"≤ 8 in, ring lugs both ends, torque to spec — 2 AWG, not 4 (D-241)"
N03,Always-hot busbar,Fuse block A input,10,RED,
N04,Always-hot busbar,K11 terminal 30,10,RED,
N05,K11 terminal 87,Fuse block B input,10,RED,
N06,K11 terminal 86,PMU pin 8 (O22) — tapped at the wake-strip input 5,16,RED,
N07,K11 terminal 85,GND bus,16,BLK,
N08,PMU pin 38 (O1),Splice → K1 terminal 30 · K2 terminal 30,12,RED,Sealed crimp splice; the O1 soft fuse (25 A) protects both 12 AWG branches
N09,O1 splice,K1 terminal 86 and K2 terminal 86,16,RED,Coils fed straight from the O1 bus
N10,K1 terminal 85,Receptacle L3-S1 10,16,BLU,Wink R NC pole closes this to ground
N11,K2 terminal 85,Receptacle L3-S1 9,16,BLU,Wink L NC pole closes this to ground
N12,K1 terminal 87,Receptacle L2-P 3,12,RED,
N13,K2 terminal 87,Receptacle L2-P 4,12,RED,
N14,K1 terminal 87a,GND bus,12,BLK,Dynamic braking at rest
N15,K2 terminal 87a,GND bus,12,BLK,
N16,O1 splice,Receptacle L4-P 3,12,RED,"Window bus — lands at the sill node's F8 / F9 positions, no load until the windows (D-274)"
N17,PMU pin 27 (O15),Splice → receptacles L3-P 2 and L4-P 4,12,RED,"Comfort feeds with no load this build — the dash's ends in the L3-CMF receptacle (D-274), the sill's at F14's position (D-254); no fuse block this build"
N18,PMU pin 2 (O12),Receptacle L1-P 1,12,RED,
N19,PMU pin 2 (O12) tap,F15 inline (7.5 A) → receptacle L1-S1 2,16,RED,Alternator excitation
N20,PMU pin 2 (O12) tap,F16 inline (5 A) → receptacle DP-ICU-A 6,16,RED,"The display's backlight, ignition-switched, through the ICU carrier (D-268)"
N61,PMU pin 2 (O12) tap,F20 inline (7.5 A) → wideband gauge +12 V,16,RED,Ignition feed so the sensor heater is powered during cranking (D-244)
N62,GND bus,Wideband gauge ground,16,BLK,A dash-node device — its ground never crosses a leg
N21,PMU pin 34 (O20),F12 inline (5 A) → receptacle L4-M 8,16,RED,Interior lamp
N22,PMU pin 34 (O20) tap,"Receptacles L3-S1 8, DP-ICU-A 2",16,RED,Illumination bus — the ICU's dimming reference; the display follows it
N23,PMU pin 4 (O10),Receptacle L3-M 1,14,ORN,
N24,PMU pin 4 (O10) tap,"K12 terminal 86; receptacles DP-ICU-A 1 (live), DP-DCU 1 and DP-KEY 3 (capped)",16,RED,
N25,K12 terminal 85,Receptacle L3-S2 9,16,BLU,Stalk WASH contact closes this to ground
N26,PMU pin 9 (O8),Receptacle L2-M 1 and K12 terminal 30,14,ORN,
N27,K12 terminal 87,Receptacle L2-M 4,14,ORN,Washer pump
N28,"Fuse block A, F2 out",Receptacle DP-DIAG 3,16,RED,
N29,"Fuse block A, F3 out",Receptacle L3-S2 2; wake-stage pull-ups (emitter rail),16,PNK,Switch supply
N30,"Fuse block A, F19 out",Receptacles L3-S2 10 and L4-S 8,16,RED,Courtesy lamps
N31,"Fuse block B, F1 out",Receptacle L3-M 2,14,RED,Head unit constant
N33,Receptacle L3-S1 12,Wake strip input 1 (ACC),16,BLU,
N34,Receptacle L3-S2 1,Wake strip input 2 (RUN),16,BLU,
N35,Wake stage 1 collector (A6 door),Wake strip input 3,16,BLU,
N36,Wake stage 2 collector (A8 horn/hazard/wink),Wake strip input 4,16,BLU,
N37,PMU pin 8 (O22),Wake strip input 5,16,RED,
N63,Receptacle L3-S1 7,Wake strip input 6 (brake),16,BLU,"Brake wake — a spare P084 plunger switch on the pedal, fed from the F3 switch supply, wakes the module (D-278)"
N38,Wake strip common rail (after the six 1N5819),PMU pin 7 (+12V SW),16,BLU,10 kΩ bleed from this rail to the GND bus
N39,PMU pin 15 (+5 V),100 kΩ → PMU pin 35 (A15) · 100 kΩ → PMU pin 22 (A16) · 100 Ω 1 W → the oil-pressure node (D-260),16,PNK,"Bias so a broken wire reads 0, not OFF; and the oil sender's excitation"
N40,PMU pin 17 (A4),Receptacles L2-S 1 and L1-S1 11 (splice),16,GRY,
N41,PMU pin 31 (A5),Receptacles L2-S 2 and L1-S2 7 (splice),16,GRY,
N42,PMU pin 30 (A3),Receptacles L3-S1 5 and L2-S 3 (splice),16,GRY,
N43,PMU pin 19 (A8),Receptacles L3-S1 6 and L3-S1 11 (splice); wake stage 2 base network,16,GRY,
N44,PMU pin 18 (A6),Receptacle L4-S 2; wake stage 1 base network,16,GRY,
N45,PMU pin 32 (A7),"Tap on the L1-S1 4 → DP-ICU-B 2 conductor, at the node",16,GRY,Oil-pressure node tap — the fuel-pump gate reads a PMU-excited node (D-249 · D-260)
N46,Receptacle L1-S1 3,Receptacle DP-ICU-B 1,16,GRY,Water temp — the ICU excites and reads the sender; the display draws it (D-258 · D-268)
N47,Receptacle L1-S1 4,Receptacle DP-ICU-B 2 — with the 100 Ω 1 W pull-up to pin 15 and the A7 tap N45 at the node,16,GRY,Oil pressure — a PMU-excited node with two readers (D-260)
N48,Receptacle L1-S1 6,Receptacle DP-ICU-B 4,16 sh,shielded,Tach — shield to GND bus at this end only
N49,Receptacle L1-S2 8,Receptacle DP-ICU-B 5,16,GRY,"Charge-lamp line (alternator L) — sense only, read by the ICU; the field is excited by F15 (D-198)"
N50,Receptacles L1-S2 1 and L3-S2 11,Receptacle DP-ICU-B 6,16,GRY,"Brake warning — two switches, one node; read by the ICU"
N64,Receptacle L4-S 1,Receptacle DP-ICU-B 3,16,GRY,Fuel level — the ICU excites and reads the sender; the display draws it (D-258 · D-268)
N66,Receptacle L4-S 3,Receptacle DP-ICU-B 8,16,GRY,"Road speed signal — the pulse generator's, live at the meters cutover (D-272)"
N67,Receptacle L1-S2 11,Receptacle DP-ICU-B 9,16,GRY,Phase-2 sensor signal spare — RESERVED at the post; the ICU's spare input is idle until the swap (D-250 · D-271)
N68,"Fuse block B, spare position (fitted when a phase-2 sensor arrives)",Receptacle L1-S2 9,16,RED,"Phase-2 sensor supply — RESERVED at the post, no fuse fitted (D-250 · D-271); the road-speed supply is an O10 tap now (N70, D-272)"
N69,Receptacle L2-S 5,Receptacle DP-DCU 2,16,GRY,"Outside-air temperature — the thermistor plugs into L2-OAT at the nose; DP-DCU 2 waits for the DCU (D-256, D-274)"
N70,O10 node (the accessory taps),Receptacle L4-S 4,16,RED,Road-speed pulse generator supply — lives and dies with the ICU; tens of milliamps (D-272)
N51,PMU pin 6 (O17),"Receptacles L2-M 5, L4-M 5, DP-ICU-B 10 (tap)",16,RED,
N52,PMU pin 33 (O18),"Receptacles L2-M 6, L4-M 6, DP-ICU-B 11 (tap)",16,RED,
N53,PMU pin 26 (O3),Receptacle L2-P 2 (12 AWG) + 16 AWG tap → DP-ICU-B 12,12 / 16,RED,High beam + the tell-tale sense
N54,PMU pin 11 (O6),Receptacles L2-M 7 and L4-M 1,14,ORN,
N55,PMU pins 24 / 37 (CAN2),"L1-S1 9/10 · DP-ICU-A 4/5 · DP-DCU 4/5 · DP-KEY 1/2 · wideband gauge AEMnet pair (dash node) — twisted pairs, spliced",16 tw,YEL · GRN,Software termination ON at the PMU
N56,PMU pins 23 / 36 (CAN1),Receptacle DP-DIAG 1/2 — twisted pair,16 tw,YEL · GRN,120 Ω across pins 23/36 at the PMU connector
N57,PMU pin 25 (GND),GND bus,10,BLK,≤ 6 in
N58,GND bus,"Chassis, dash star point",10,BLK,"Bare metal, star washer, torque, cavity wax"
N59,GND bus,"Receptacles DP-DIAG 4, DP-ICU-A 3, DP-DCU 3, DP-KEY 4, L3-S2 8",16,BLK,The permitted ground crossings — all box-adjacent
N60,Every remaining PMU output pin,"Its receptacle, per the pin table",per pin,per pin,"Single conductor, no splice"
