id,module,signal,source,node,front_end,pin,calibration,can,note
SN11,DCU,Cabin temperature,Local flying lead to a shaded dash location,10 kΩ NTC,"10 kΩ pull-up to 3V3, RC 10 kΩ / 100 nF at the connector edge",ADC,β from the datasheet; one-point check against a thermometer,0x300 byte 3,TEMP_INVALID until it reads plausibly
SN12,DCU,Outside-air temperature,"DP-DCU 2 — L2-S 5, ending in the L2-OAT receptacle at the nose (electrical D-274)","10 kΩ NTC in the airstream ahead of the radiator, grounded at the front star (electrical D-256)","10 kΩ pull-up to 3V3 at the DCU, RC 10 kΩ / 100 nF, BAT54S; the front-star-to-dash ground offset is tens of millivolts — negligible for display",ADC,As SN11,0x300 byte 5,Display only — there is no automatic climate control
SN13,DCU,Comfort-bus current,On the carrier — 5 mΩ shunt in the common return,INA180 shunt amplifier,INA180 (V-083) → ADC,ADC,Zero at no load; one known load,0x310 bytes 4–5,
SN14,DCU,Blower duty — output,Local pigtail to the final stage at L3-BLW,Logic-level PWM ≥ 20 kHz + ground (+12 V if the module wants it),Teensy PWM pin through 100 Ω; 10 kΩ pull-down so the blower is off through a reset,PWM out,Duty 0–100 % reported on the bus,0x300 byte 1 (reported),D-308: the PMU never PWMs O16 — its ceiling is 400 Hz (electrical D-257)
SN15,DCU,HVAC servos — output ×3,Local 3-pin headers: mode · blend · recirculate,Hobby servos on the door cables (D-073),Servo PWM through 330 Ω; own 5 V buck for the servo rail; 470 µF at the header,PWM out,"Endpoints calibrated at commissioning, stored with the climate memory",0x300 byte 0 (mode),F-001's climate.h owns the logic
SN16,DCU,Comfort switching — output x5,This project's O15 block → loads,"Seat heat ×2 · seat cool ×2 (low side) · mirror heat (high side, D-369). The nozzles and the de-icer are cancelled (D-329)","Low-side AOD4184-class FETs ×4 (V-083): seat heat ×2, seat cool ×2 - gate through 100 Ω with a 10 kΩ pull-down, every load off through a reset; SS34 flyback footprints, DNP. Mirror heat: one high-side switch fed from an O15 fuse-block position on the comfort connector (LP46), out on DP-DCU-B 9 (electrical D-369)",digital out,Off-at-reset verified on the bench with a lamp as the load,0x310 bytes 0-2,"The heat/cool interlock is enforced in firmware as well (D-073). Was x7: the heated nozzle and the park de-icer are cancelled (D-329), freeing two FETs"
SN17,DCU,Mirror drive - outputs ×4,"DP-DCU-B 5-8 at the DCU (L3-S3 5-8) → L4-S2 1-5 at the dash post (electrical D-360, D-362)","Each mirror is ONE reversible motor plus an electromagnetic clutch coil that selects the axis (Camden, 2026-09-21); both motors share a common","Three half-bridges - motor common, left motor, right motor - and one low-side driver for both clutch coils together (electrical D-360). Current sizing waits on W-332",confirm,—,none,"D-359 supersedes D-326: the DCU drives the mirrors. Input is the panel thumbstick (LP35): two analog axes + press to toggle LEFT/RIGHT. An axis picks the clutch state, its direction picks the motor polarity. The mirrors do not move with the DCU down - accepted in D-359"
SN18,DCU,Mirror thumbstick - X / Y axes + press,"Panel, on the local ribbon (LP35, D-359)",mini 2-axis analog thumbstick with push switch - part not chosen (LP35),two ADC inputs and one digital input on the carrier; values drawn with the panel (H-007),ADC ×2 + digital,centre and dead-band set at commissioning,none - read locally; drives SN17,confirm - no part chosen. Press toggles LEFT/RIGHT (D-359)
SN19,DCU,Panel keys - matrix,"Panel, on the local ribbon (D-355)",key matrix: defog · hatch · fuel door · HVAC mode · recirc · the four window commands (FT14),row / column scan on DCU GPIO; sized at H-007,digital,—,0x400 (bits per F-016),"a press with the car asleep wakes the DCU, which pulls DP-DCU 6 (SN21)"
SN20,DCU,Panel rotary encoders,"Panel, on the local ribbon (D-355)",quadrature encoders: fan · temperature · seat heat / cool (count at H-007),A / B on DCU GPIO; detents and range in firmware (modules PANEL),digital,none - detents and range are firmware,0x300 byte 2 (target) · 0x310 bytes 0-1 (seat levels),"encoders, not pots: no calibration on the panel (D-355)"
SN21,DCU,Wake request - output,"DP-DCU 6 → the PMU's wake strip, the seventh diode-OR input (electrical D-350)",PMU wake strip,drawn at H-002 - the drive level and sense are confirm against the wake strip's input,digital out,—,none,D-355: pulled when a panel key is pressed with the car asleep
SN22,DCU,Window commands - outputs ×4,DP-DCU-B 1–4 → L3-S2 3–6 → L4-M 9–12 → K5–K8 terminal 86,"The coils of relays K5–K8 at the sill node, 85 to ground (electrical D-363)","Four high-side switches sourcing 12 V into each coil (a relay coil, well under 1 A); the PMU still gates the motor power on O1 / MOTOR_BUS (electrical D-357)",confirm,—,0x400 window keys (F-016),Up and down of one side are never driven together - interlock in firmware (F-017). Which way is up is confirm until the glass moves
SN23,DCU,Release select - outputs ×2,"DP-DCU-B 10 (K3, hatch) · DP-DCU-B 11 (K4, fuel door)","The coils of relays K3 / K4 at the dash node, whose 86 is fed only during O10's release pulse (electrical D-370)",Two low-side switches sinking a relay coil (well under 1 A; the relays carry their own coil diode),confirm,—,0x400 release keys (F-016),Ground the chosen coil before asking the PMU for the pulse and hold it through the pulse; never both (F-017)
