id,module,signal,source,node,front_end,pin,calibration,can,note
SN01,ICU,Water temperature,DP-ICU-B 1 — tap on L1-S1 3 → DP-CLU 5,Sender node driven by the factory gauge (Q-301),"High-Z observer: 1 MΩ series → 330 kΩ to ground (×0.248: 12 V → 2.98 V; 20 V → 4.96 V, clamped), 100 nF at the ADC pin, BAT54S to 3V3 / GND. DNP: 100 Ω 1 W pull-up to +5 V behind a jumper — the local excitation for the day the factory cluster leaves (Q-301b), never fitted while the gauge still drives the node",ADC,Three-point lookup read in the car against the gauge (the D-142 method); averaged in firmware if M-6 shows a pulsing gauge regulator (Q-301a),0x200 byte 2,New factory-spec sender fitted before the read (electrical D-250)
SN02,ICU,Oil pressure,DP-ICU-B 2 — tap on L1-S1 4 → DP-CLU 6,Sender node driven by the factory gauge; the PMU's A7 watches it too (electrical D-249),"High-Z observer: 1 MΩ series → 330 kΩ to ground (×0.248: 12 V → 2.98 V; 20 V → 4.96 V, clamped), 100 nF at the ADC pin, BAT54S to 3V3 / GND. DNP: 100 Ω 1 W pull-up to +5 V behind a jumper — the local excitation for the day the factory cluster leaves (Q-301b), never fitted while the gauge still drives the node",ADC,Same in-car lookup; compare against the PMU's A7 reading — a disagreement is a sender or wiring fault,0x200 bytes 4–5,"The fuel-pump gate is the PMU's, on A7 — never this input (electrical D-251)"
SN03,ICU,Fuel level,DP-ICU-B 3 — tap on L4-S 1 → DP-CLU 7,Sender node driven by the factory gauge,"High-Z observer: 1 MΩ series → 330 kΩ to ground (×0.248: 12 V → 2.98 V; 20 V → 4.96 V, clamped), 100 nF at the ADC pin, BAT54S to 3V3 / GND. DNP: 100 Ω 1 W pull-up to +5 V behind a jumper — the local excitation for the day the factory cluster leaves (Q-301b), never fitted while the gauge still drives the node",ADC,"Three-point lookup 6 Ω full · 31.5 Ω mid · 80 Ω empty (electrical D-249 carries the curve), re-measured after the new tank sender",0x218 bytes 0–1,Was the PMU's A7 until D-249; the ICU is the only source now
SN04,ICU,Tachometer,"DP-ICU-B 4 — tap on L1-S1 6, shielded, trailing coil negative (D-304)","Ignition primary — inductive kick, hundreds of volts",2 × 100 kΩ ½ W in series → 5.1 V zener to ground + BAT54S to 3V3 → LM393 comparator with ~0.5 V hysteresis (or 74HC14 Schmitt) → digital input-capture pin. Shield grounded at the dash node end only,"digital, input capture","2 pulses per revolution (D-304 / D-300); check against tach_simulator, then the car",0x200 bytes 0–1,V-082 confirms the parts; the H11L1 opto is the alternative if the comparator picks up noise
SN05,ICU,Charge sense,"DP-ICU-B 5 — tap on L1-S2 8, alternator L (WB)","Lamp-drive line, 0 V charging fault / ~system volts charging","47 kΩ / 10 kΩ divider (20 V → 3.5 V), RC 10 kΩ / 100 nF, BAT54S",ADC,"Threshold from the in-car reading, engine off vs running",0x210 flag; charge tell-tale,
SN06,ICU,Brake warning,"DP-ICU-B 6 — tap on DP-CLU 9 (fluid-level switch + parking-brake switch, one node)",Lamp node pulled low by either switch,"47 kΩ / 10 kΩ divider, RC, BAT54S",digital,None — pulled low = warn,0x210 flag; BRAKE tell-tale,"One tell-tale for both, as the factory lamp was (D-310)"
SN07,ICU,Oil temperature,"DP-ICU-B 7 — L1-S2 10, capped past the grommet; no sender exists",New 2-wire NTC sender to engine ground (Q-308),"Pull-up from 3V3 sized to the sender's curve (1 kΩ – 2.2 kΩ 1 % typical), RC 1 kΩ / 100 nF, BAT54S; a 3-wire transducer would use the L1-S2 9 supply instead",ADC,"Sender datasheet curve, one-point check in hot oil",0x200 byte 3,"Sender, thread and range are Q-308"
SN08,ICU,Road speed,"DP-ICU-B 8 — L4-S 3, capped in the tunnel; supply on L4-S 4","Hall / open-collector sensor, 12 V square wave (electrical D-252)","Jumper-selected: 4.7 kΩ pull-up to 3V3 for open-collector, or 10 kΩ / 4.7 kΩ divider for a push-pull 12 V output; BAT54S; Schmitt → input-capture pin","digital, input capture",Pulses per kilometre over a measured mile or against GPS,0x200 byte 6,Head-end inline sensor vs transmission is Q-309 / M-2; a VR sensor is not supported on these conductors
SN09,ICU,IMU,"On the carrier, I²C",MPU-6050 / ICM-20948 class (D-109),I²C + INT; mounting per the D-161 axes,I²C,Zero at rest on level ground; V-073 orientation before layout,local — performance page,
SN10,ICU,Page button,"Local, by the display (D-169)",Momentary to ground,"10 kΩ pull-up, 100 nF debounce",digital,—,local,Never crosses the harness
