id,kind,signal,at_the_drop,on_the_wire,carrier_stage,teensy_pin,calibration,can,note
IC01,input,Water temp sender,DP-ICU-B 1 ← L1-S1 3,2-wire resistive sender to engine ground; the ICU is its only excitation,"100 Ω 1 W pull-up from the carrier's 5 V behind jumper J1 (fitted) → node → 15 kΩ / 10 kΩ divider (×0.4, 5 V → 2.0 V) → 100 nF → BAT54S to 3V3 / GND",ADC,The car's own C-02 sender stays (D-261): FSM §15 curve checked by a three-point read in the car,0x200 byte 2,J1 open + a curve file = a 0–5 V sensor or the ECU's CAN value at the swap (D-262)
IC02,input,Oil-pressure node,DP-ICU-B 2 ← L1-S1 4,PMU-excited node: 100 Ω 1 W from pin 15 at the dash node; A7 reads it (D-260),No pull-up on the carrier — read only: 15 kΩ / 10 kΩ divider → 100 nF → BAT54S,ADC,Same curve as A7's; compare the two readings — a disagreement is a sender or wiring fault,0x200 bytes 4–5,"The fuel-pump gate is the PMU's on A7, never this input (D-251). At the swap a 0–5 V transducer replaces the sender and the 100 Ω pull-up is lifted at N39 (D-262)"
IC03,input,Fuel level sender,DP-ICU-B 3 ← L4-S 1,2-wire resistive sender to the rear star; 6 Ω full · 31.5 Ω mid · 80 Ω empty (D-249),100 Ω 1 W pull-up from 5 V behind jumper J3 (fitted) → divider ×0.4 → 100 nF → BAT54S,ADC,"D-249's three points, re-read on the tank unit in place (D-261); the display's fuel scale is linearised from them",0x218 bytes 0–1,Was the PMU's A7 until D-249; the ICU is the only source now. The tank unit outlives the swap
IC04,input,Tachometer pulse,DP-ICU-B 4 ← L1-S1 6 (shielded),"Trailing coil negative primary (luxury D-304) — inductive kick, hundreds of volts","2 × 100 kΩ ½ W series → 5.1 V zener + BAT54S to 3V3 → LM393 on the 5 V rail (its input range stops 1.5 V under its supply — on 3.3 V the zener node would clip) with ~0.5 V hysteresis, 10 kΩ pull-up to 3V3 → input-capture pin","digital, input capture","2 pulses per revolution; tach_simulator on the bench, then the car",0x200 bytes 0–1,D-273 confirms the parts; an H11L1 opto is the alternative if the comparator picks up noise. An ECU tach output (0–12 V square wave) uses the same stage at the swap; pulses per rev is a config value
IC05,input,Charge-lamp line (alternator L),DP-ICU-B 5 ← L1-S2 8,"Lamp-drive line: ~0 V when not charging, system volts when charging",47 kΩ / 10 kΩ divider → RC → BAT54S,ADC,"Threshold from the in-car reading, engine off vs running",0x210 flag,"Sense only — the field is excited by F15 → BW (D-198), so no lamp load is needed on L; the display draws the CHARGE tell-tale from this reading"
IC06,input,Brake warning node,DP-ICU-B 6 ← L1-S2 1 + L3-S2 11,Pulled low by the fluid-level switch or the parking-brake switch,47 kΩ / 10 kΩ divider → RC → BAT54S,digital,None — low = warn,0x210 flag,"One BRAKE tell-tale for both, as the factory lamp was (luxury D-310)"
IC07,input,Oil temperature,DP-ICU-B 7 — a sealing plug until the swap (D-264),Future 2-wire NTC sender (Q-308),"Pull-up from 5 V behind jumper J7, sized to the sender's curve (1 kΩ – 2.2 kΩ 1 %), divider ×0.4, RC, BAT54S",ADC,"Sender datasheet curve, one-point check in hot oil",0x200 byte 3,Footprint only: no oil-temp sender on the 12A and no conductor run for one (D-264); the swap's rebuilt leg lands on DP-ICU-B 7 and the pull-up goes in then (D-262)
IC08,input,Road speed,"DP-ICU-B 8 ← L4-S 3 (LIVE at the cutover); supply on L4-S 4, an O10 tap","Hall pulse generator on the transmission's speedo-drive boss, 12 V square wave, 8 000 or 16 000 pulses per mile (D-272)",Jumper: 4.7 kΩ pull-up to 3V3 (open-collector) or 10 kΩ / 4.7 kΩ divider (push-pull); BAT54S; Schmitt → input capture,"digital, input capture",Pulses per km over a measured mile or against GPS,0x200 byte 6,"D-272: the cable is deleted; the sensor screws onto the boss (P113, DV47) and is fitted at the meters cutover; pulses per mile is a config value, trued once against a measured mile. The same kind of sensor on whatever transmission follows the Jatco, or the ECU's VSS frame if the next box has no drive (engine-swap HO15)"
IC09,input,Turn LEFT tell-tale sense,DP-ICU-B 10 ← tap on the O17 splice,"The real lamp output, 0 / 12 V flashing",47 kΩ / 10 kΩ divider → BAT54S,digital,None,tell-tale,"The tell-tale follows the real lamps, not the bus (D-258); the display draws it"
IC10,input,Turn RIGHT tell-tale sense,DP-ICU-B 11 ← tap on the O18 splice,as IC09,as IC09,digital,None,tell-tale,
