id,stage,stage_title,item,owner,state,gate,note,reply,choices,unit,result,settles
B01,B,B Look at the car - what is there today,Read the paint code off the colour plate (driver door jamb or on the firewall under the hood),camden,open,,"Two vendor catalogues give Sunbeam Silver as K3 but neither lists it for 1982 (01-REFERENCE S-059, S-060), so the code is confirm until read off the car. A photo of the plate is enough. The answer sets 00-CAR vehicle.colour's note.",choice,K3|another code - write it in words,,,
B02,B,B Look at the car - what is there today,"Rust and body survey, zone by zone, with photos: every rust spot, dent, crack and bad paint, and whether any window already has aftermarket film",camden,open,,"FB RX-7s usually rust first at: the rear wheel arches and the lower rear quarters, the bottom of the hatch and the hatch glass surround, the sills (rockers), the floor pans and the spare-wheel well, the battery tray, the bottoms of the front fenders and the doors, and the lower corners of the windshield frame. Push a screwdriver gently at any bubble: solid, surface rust; soft or through, rot that needs metal cut out. Findings become 00-CAR issues rows and close K-007.",,,,,
C01,C,C Design - every choice made on paper before money is spent,"Colorado window tint law with its source: the light-through limit for each window, the windshield strip, reflectivity, and the medical exemption",agent,done,,"Done 2026-09-26 (S-153, C.R.S. 42-4-227): the windshield must pass at least 70% of light; every other window at least 27%; a strip across the top 4 in of the windshield is allowed if it is not red or amber and does not reflect; any metallic or mirrored film is prohibited on every window, with no percentage that makes it legal; the windows behind the driver may go darker than 27% only if the windshield AND the front side windows pass 70%. The factory glass is already lightly tinted (SP-004), so a film's own number is not the result: the installer measures the finished window, and the front sides need a meter reading before any darker rear film is legal. Block 04.02 was re-raised with this in it.",,,,,
C02,C,C Design - every choice made on paper before money is spent,"What must come off for the paint - trim, badges, lamps, mirrors, seals, the glass - and which 40-year-old parts cannot be reused (weatherstrips, window seals, clips, emblems)",agent,open,04.04,"Anything bought goes into the cost estimate, C03.",,,,,
C03,C,C Design - every choice made on paper before money is spent,"Cost estimate and parts list for the paint job, for the route block 04.03 chose",agent,open,04.01 04.03 04.04 B02 C02,Derived from the survey's size and the surfaces painted; shop routes become a list of what to ask each shop for a quote.,,,,,
C04,C,C Design - every choice made on paper before money is spent,"Tint film parts round: installer or film, primary and runner-up, with prices",agent,open,04.12 C01,A parts round (§6.9): picks go to the app for his yes or no.,,,,,
C05,C,C Design - every choice made on paper before money is spent,"Rust repair plan from the survey: each spot's fix (treat, patch or new panel) and where FB repair panels can be bought",agent,open,B02,,,,,,
C06,C,C Design - every choice made on paper before money is spent,"Bumper research: Colorado's bumper and plate-mounting rules, what the factory bumpers carry (plate, plate lamp, front side and turn lamps, the impact bars), and the FB aftermarket front and rear bumper kits sold today with prices and photos",agent,done,,"Done 2026-09-26. Rules (S-154, S-155): the rear plate sits horizontal with its bottom edge at least 12 in from the ground and on or within 18 in of the rear bumper; the plate lamp is lit whenever the head lamps are; tail lamps between 20 and 72 in, reflectors between 20 and 60 in. No Colorado statute found that requires a passenger car to carry bumpers at all; the 30 in bumper-height figure quoted by lift-kit sites applies to lifted vehicles (tertiary, confirm before relying on it). What the factory bumpers carry (catalogue BI-026, BI-028): the plate and plate lamp on the rear bumper, the front turn/side lamps beside the front bumper, the slides and protectors. Kits found (S-156, S-157): Carbon Creations GP-1 front bumper, FRP, USD 308, a full replacement of the front bumper in primer - the only true bumper replacement found; Kaminari (1981-85 SA/FB) air dam spoiler 384, rear valance skirt 384, 4-piece lip kit 1,034, side skirts 514, wing 384 - add-on FRP pieces that sit on the factory panels, so every one needs blending to meet the seamless bar (D-425); Andy's Auto Sport lists full-bumper-replacement kits (not itemised, confirm); Mariah Motorsports' 3-piece skirt kit is discontinued. Block 04.06 was re-raised with this in it.",,,,,
C07,C,C Design - every choice made on paper before money is spent,"Every black exterior part on a 1982 GS from the factory parts catalogue - mouldings, window surrounds, rear panel, mirrors, handles, cowl - with part numbers, and the holes each leaves when removed",agent,done,,"Done 2026-09-26 from the factory catalogue (01-REFERENCE catalogue, fits=yes, S-005). The black exterior parts on a 1982 GS: the front bumper FA01-50-030A with its slides and protectors (BI-026); the rear bumper FA01-50-220 with its slides and protectors (BI-028); the rear finisher FA07-50-840C - the black panel between the tail lights - and its protector FA01-50-855 (BI-040-05/06); the cowl grille 8871-50-791A and its protector (BI-040-03/04); the extractor grilles 8871-51-901C and 951C on the hatch pillars (BI-040-08/09); the radiator grille FA01-50-711A (BI-027-01); the front spoiler/air dam FA01-51-980B (BI-042-02); the rear spoiler FA16-51-960B (BI-040-12); the drip mouldings 8871-50-510C/520C (BI-030-01/02); the outer door handles 8871-58-410C/59-410C (BI-069-30/31); the front and rear ornaments F001-51-771/781 (BI-039-03/04); the antenna FA01-66-930C. Not found under these names and to confirm against B02's photos (R11): the door mirrors, the body-side protector mouldings and the window-surround rubbers. Block 04.07 was re-raised with this list in it.",,,,,
C08,C,C Design - every choice made on paper before money is spent,"The new tail-light aperture: dimensions for the shape block 04.09 chose, keeping at least 50 cm2 of red per side for stop and turn (FMVSS 108), and what the rear panel needs cut, filled or welded",agent,open,04.09 03-luxury:V-063,"03-luxury X-009 raises the lamp choice from these numbers (D-384, D-425). The stock aperture's measurement (V-063) is the starting point.",,,,,
C09,C,C Design - every choice made on paper before money is spent,"Hood and scoop design for the choice in block 04.10, with the swap's hood clearance",agent,open,04.10 02-engine:DS01,If 04.10 is (a) or (b) this row does not need DS01: drop that gate after the ruling.,,,,,
C10,C,C Design - every choice made on paper before money is spent,"Wide body: from the chosen wheels, tyres and ride height, how far each wheel sits outside the stock arch, and whether a moulded wide body (and how wide) is needed",agent,open,04.11,"The flares are moulded in, no rivets or bolt-on seams (D-425).",,,,,
