pin,size,ch,name,class,mode,awg,colour,circuit,to,load_type,est_a,meas_a,soft_fuse,sim_limit,inrush_x10,inrush_ms,status,note
STUD,stud,—,+12V BATT,MAIN,PWR,2,RED,"Main supply, 150 A max constant",DP-BAT ← Class-T 150 A,,,,,,,,LIVE,2 AWG per D-091
25,L,—,GND,GND,PWR,10,BLK,Device ground + flyback return for every inductive load,"DP-GND, ≤6 in",,,,,,,,LIVE,Shortest heaviest wire on the plate
7,S,—,+12V SW,WAKE,PWR,16,BLU,"Wake. Diode-OR: ACC, RUN, hazard, door pin, horn, O22 latch",Panel diode strip,,,,,,,,LIVE,D-056 D-072
15,M,—,+5V OUT,REF,PWR,16,PNK,"Ladder + sender reference, 500 mA ceiling",L1-S1 8 + L2-S 4 + L3-S1 7 + L4-S 4,,,,,,,,LIVE,2.8 mm terminal 211CC3S2120 (D-046)
23,S,—,CAN1H,CAN1,COMM,16 tw,YEL,"Laptop / config. 1 Mbps fixed, no internal termination",DP-DIAG 1,,,,,,,,LIVE,120 Ω both ends
36,S,—,CAN1L,CAN1,COMM,16 tw,GRN,Laptop / config,DP-DIAG 2,,,,,,,,LIVE,
24,S,—,CAN2H,CAN2,COMM,16 tw,YEL/BLK,"Vehicle bus 500 kbps — keypad, ICU, DCU, future LS ECU",L1-S1 9 + DP-KEY 1 + DP-ICU 3 + DP-DCU 4,,,,,,,,LIVE,Software termination at the PMU; 120 Ω at the L1 drop (D-079)
37,S,—,CAN2L,CAN2,COMM,16 tw,GRN/BLK,Vehicle bus,L1-S1 10 + DP-KEY 2 + DP-ICU 4 + DP-DCU 5,,,,,,,,LIVE,
38,L,O1,MOTOR_BUS,25A,OUT,12,RED/WHT,Motor bus — K1–K2 pop-up run relays on the plate (D-186); K5–K8 at the sill provisioned empty,Relay bank + L4-P 3 (capped),motor,9.5,,25.0,2500,70,400,LIVE,INTERIM fuse 25.0 = channel cap (D-175); telemetry re-sets per D-164. ⚡ flyback. Pop-ups only until windows are fitted (D-133). LH ran ~3 A up / 1 A down 2026-08 with all four E-03 wires in the jaw — only valid if the motor case-grounds (V-080 → D-174). Stalls 2026-08: L 12.8 / R 13.1 A (2 s; direct 12 V); R ran 3.4. Both-motor bus worst case ~26 A - cap stands; telemetry decides
39,L,O2,HEAD_LOW,25A,OUT,12,RED/BLK,Headlight LOW,L2-P1 1,LED,3.0,,25.0,800,15,80,LIVE,INTERIM fuse 25.0 = channel cap (D-175); telemetry re-sets per D-164. LED housings as stated — confirm V-066. 2026-08 read 0.0 A on RL — not credible even for LED; redo (V-078 → D-174)
26,L,O3,HEAD_HIGH,25A,OUT,12,RED/BRN,Headlight HIGH,L2-P1 2,LED,3.5,,25.0,900,15,80,LIVE,INTERIM fuse 25.0 = channel cap (D-175); telemetry re-sets per D-164. LED housings as stated — confirm V-066. 2026-08 read 0.0 A on RY — redo (V-078 → D-174)
