id,input,state,r
A1 LEFT,A1,LEFT,1.8k
A1 RIGHT,A1,RIGHT,10k
A1 OFF,A1,OFF,47k
A2 WASH,A2,WASH,1.8k + 1N5819
A2 HIGH,A2,HIGH,4.7k
A2 LOW,A2,LOW,10k
A2 INT,A2,INT,18k
A2 OFF,A2,OFF,47k
A3 BRAKE+PARKED,A3,BRAKE+PARKED,4.7k ∥ 12k
A3 BRAKE,A3,BRAKE,4.7k
A3 PARKED,A3,PARKED,12k
A4 TRANSIT+PN,A4,TRANSIT+PN,3.3k ∥ 8.2k ∥ 47k
A4 TRANSIT,A4,TRANSIT,3.3k ∥ 47k
A4 CRANK_OK,A4,CRANK_OK,8.2k ∥ 47k
A4 IDLE,A4,IDLE,47k
A5 TRANSIT+R,A5,TRANSIT+R,3.3k ∥ 8.2k ∥ 47k
A5 TRANSIT,A5,TRANSIT,3.3k ∥ 47k
A5 REVERSE,A5,REVERSE,8.2k ∥ 47k
A5 IDLE,A5,IDLE,47k
A6 BOTH,A6,BOTH,33k ∥ 8.2k
A6 PASS,A6,PASS,8.2k
A6 DRV,A6,DRV,33k
A8 HAZ+HORN,A8,HAZ+HORN,4.7k ∥ 8.2k
A8 HAZARD,A8,HAZARD,4.7k
A8 HORN,A8,HORN,8.2k
A8 WINK_L,A8,WINK_L,18k
A8 WINK_R,A8,WINK_R,33k
A15 OFF,A15,OFF,bias only
A15 PARK,A15,PARK,33k
A15 HEAD_LO,A15,HEAD_LO,33k + 15k
A15 HEAD_HI,A15,HEAD_HI,33k + 15k + 8.2k
A15 PASS,A15,PASS,33k + 15k + 8.2k + 3.3k
A16 OFF,A16,OFF,bias only
A16 ACC,A16,ACC,33k
A16 RUN,A16,RUN,33k + 15k
A16 START,A16,START,33k + 15k + 6.8k
