id,name,parent,order,state,since,note
engine,Engine,,1,"Factory 12A rotary, carburetted: a Weber 45 DCOE on a Pierce Manifolds K678 kit. The oil metering pump is disconnected, so the apex seals are oiled by premix in the fuel at every fill.",2025-11,
fuel,Fuel,,2,"Weber 45 DCOE, Carter P4070 electric pump, Holley regulator, Duralast FF3429DL filter",2025-11,
ignition,Ignition,,3,"Factory breakerless twin-coil (leading and trailing); coils, cap, rotor, wires and plugs renewed",2025-08,
cooling,Cooling,,4,Factory; the coolant has never been fully drained or flushed,,
electrical,Electrical,,5,"Factory 1982 harness, unmodified except previous-owner splices; lead-acid battery in the factory location",,
lighting,Lighting,electrical,6,Pop-up headlamps; the dash retractor switch is broken and the manual raise knobs work,,
transmission,Transmission,,7,Factory 3-speed automatic (JATCO 3N71B type); its fluid has never been changed,,
driveline,Rear axle and driveline,,8,Factory live rear axle and propeller shaft,,
brakes,Brakes,,9,"Factory layout, front discs and rear drums; every friction surface, bearing, seal and wheel cylinder renewed",2026-07,
suspension,Suspension,,10,Factory; the bushings are age-degraded,,
steering,Steering,,11,Factory recirculating-ball box with the pre-1983 non-hardened sector shaft,,
wheels,Wheels and tyres,,12,,,
climate,Climate,,13,Heater and ventilation; the A/C is fitted but barely cools; the blower motor is dead,,
body,Body and interior,,14,"Sunbeam Silver; manual windows, no window motors or wiring",,
