id,interface,electrical_ref,today,at_the_swap,rule
HO01,ECU + injectors power,"O13 → L1-P 2 (RESERVED: pinned at the post, sealing plug in the leg)",12 AWG from PMU pin to the receptacle cavity — nothing in the leg,"the rebuilt leg pins L1-P 2 and runs it; 25 A soft fuse set from the ECU's spec, then telemetry",D-007 · D-126 · D-271
HO02,Cooling fan,O14 → L1-P 3 (RESERVED),as HO01,an electric fan on its own 25 A channel; a brushless or relay-driven fan if it must be PWM'd — the PMU's PWM tops out at 400 Hz,D-007 · D-257 · D-271
HO03,CAN2,none in the leg — L1-S1 9 / 10 are sealing plugs,"No CAN in the engine bay. The bus lives inside the dash node, which is a physical end and carries the 120 Ohm terminator (D-318)",The ECU mounts at the dash node with the other computers and joins the bus there at 0x500+ (luxury CAN-MESSAGES); only sensor and actuator branches leave the dash for the engine (D-325),"D-318 · D-325 · luxury D-084 (absorbed the v2 CAN-bitrate ruling, which has no live row)"
HO04,Oil pressure → the PMU's fuel-pump gate,A7 via L1-S1 4 (N45 · N47),"the 12A's C-09 resistive sender, PMU-excited through 100 Ω at the dash node",a resistive sender on the new block (pull-up stays) or a 0–5 V transducer (lift the pull-up at N39) — never the ECU's CAN value,D-249 · D-251 · D-260 · D-262
HO05,Tach → ICU channel IC04,L1-S1 6 (shielded) → DP-ICU-B 4,"trailing coil negative primary, 2 pulses/rev","the ECU's tach output, 0–12 V square wave, same clamp; pulses per rev is a config value",D-262 · luxury D-304
HO06,Water temp → ICU IC01,L1-S1 3 → DP-ICU-B 1,"C-02 sender, ICU-excited (jumper J1 in)","the ECU's coolant temperature on CAN (electrical F-014, D-374) — J1 out, channel quiet — or a sender on the block with J1 in",D-261 · D-262
HO07,Oil temp → ICU IC07,DP-ICU-B 7 (a sealing plug; no conductor in L1 — D-264),no sender on the 12A and no wire run for one,"the ECU's, or a 2-wire NTC on a conductor the rebuilt leg brings to DP-ICU-B 7; the ICU's pull-up goes in then",D-262 · D-264
HO08,Sensor supply,L1-S2 9 (RESERVED),"the spare block-B position is wired to the receptacle cavity; no fuse, no leg conductor",fit the fuse and pin the leg: switched 12 V for a 12 V-supplied 3-wire transducer; 5 V sensors are the ECU's or get a regulator at the dash node — no +5 V goes down the leg,D-215 · D-250 · D-271
HO09,Sensor reserves,"L1-S2 4 · 5 · 6 (PLUG — pinned at the post when a destination exists) · L1-S2 11 (RESERVED → DP-ICU-B 9, the ICU's spare input)",sealing plugs in both halves; one spare input already wired to the ICU,"whatever the new engine adds for the ICU, on conductors the rebuilt leg runs; the PMU has no spare analog input (all ten allocated, D-249)",D-007 · D-262 · D-271
HO10,P/N and reverse,A4 via L1-S1 11 · A5 via L1-S2 7,the automatic's inhibitor switch through 8.2 kΩ,the new transmission's P/N and reverse switches into the same two ladder states,D-187 · D-240
HO11,Alternator,"L1-S1 2 (BW excitation, F15) · L1-S2 8 (L line → ICU IC05)",the 12A's alternator - maker and rating to confirm (02-PROJECTS/00-electrical:V-002),the new alternator's excitation and lamp terminals — the same two wires,D-198
HO12,Fuel pump,"O5 → L4-P 2, soft fuse 4.0 A",Carter P4070,"an in-tank pump - candidate, not chosen: Aeromotive Phantom 340; soft fuse re-set from the chosen pump's spec (V-040). Draw at 58 psi (V-040): ~12.2 A for the Phantom 340, ~8.9 A for a 255 lph, ~15.3 A for a 450 lph - O5's 25 A holds any of them, the 450 lph with the least margin; the soft fuse is ~140 % of the measured draw.",D-173
HO13,A/C clutch and pressure,"none - at the swap the 12A A/C system is out (today it is still fitted, 00-CAR K-015)",—,"a new compressor on the new engine; the clutch is a comfort load - a relay the DCU switches off the O15 block, the pressure transducer into a DCU input; no PMU output is free",D-211 · D-324 · luxury D-210
HO14,The engine leg itself,L1-P · L1-S1 · L1-S2 at the firewall grommet,"built for the 12A alone — no stubs, no reserved connectors beyond the rows above",cut at the grommet and rebuilt from scratch around the new engine; the 39-way pins and the dash-node conductors are the fixed interface — nothing at the dash node changes,D-211(d) · D-262
HO15,Road speed → ICU IC08,L4-S 3 / 4 → DP-ICU-B 8 (the tunnel pair),"a Hall pulse generator on the 12A transmission's speedo-drive boss (D-272), the cable deleted — LIVE at the meters cutover; supply an O10 tap","the CD009 has no speedo drive: speed comes from its VSS through the ECU's frames (electrical F-014, D-374); the tunnel pair is spare or carries the VSS directly",D-262 · D-268 · D-272
