system,state,since,chapter,note
Engine,"factory 12A, carburetted (Weber)",2025-11,,the swap project changes this
Fuel,Weber 45 DCOE · Carter P4070 · Holley regulator · Duralast FF3429DL filter,2025-11,,
Ignition,"factory twin-coil, refreshed",2025-08,,
Cooling,factory; coolant never fully flushed,,,K-019
Electrical,factory harness,,,replaced by the electrical build — its chapter lands here at completion
Brakes,"front rotors, hubs, bearings, seals, pads · rear shoes, drums, cylinders, bearings — all new",2026-07,,"M-009, M-010; rear disc conversion still planned (P-005)"
Suspension,"factory, age-degraded bushings",,,P-003 planned
Steering,"factory box, non-hardened sector shaft",,,K-004; P-004 planned
Transmission,factory 3-speed automatic,,,fluid never changed
Climate,"heater and ventilation only — A/C being removed, blower dead",,,"K-015, K-023"
