code,leg,class,leg_side,box_side,cavities,wedgelocks,where,note
L1-P,L1 Engine,Power,DTP06-4S,DTP04-4P,4,WP-4S + WP-4P,Dash post,"12 AWG, size 12. Unused cavity gets a sealing plug"
L1-S1,L1 Engine,Signal,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"16 AWG, size 16. Unused cavities get sealing plugs"
L1-S2,L1 Engine,Signal,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"16 AWG, size 16. Unused cavities get sealing plugs"
L2-P,L2 Front,Power,DTP06-4S,DTP04-4P,4,WP-4S + WP-4P,Dash post,Headlights + both pop-up run feeds
L2-M,L2 Front,Medium,DT06-8S,DT04-8P,8,W8S + W8P,Dash post,14–16 AWG
L2-S,L2 Front,Signal,DT06-6S,DT04-6P,6,W6S + W6P,Dash post,Ladders. Route apart from L2-P
L3-P,L3 Dash,Power,DTP06-2S,DTP04-2P,2,WP-2S + WP-2P,Dash post,Blower + comfort bus
L3-M,L3 Dash,Medium,DT06-2S,DT04-2P,2,W2S + W2P,Dash post,Head unit + USB-C
L3-S1,L3 Dash,Signal,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,Every ladder and switch input
L3-S2,L3 Dash,Signal,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"Wake sources, switch supply, courtesy, capped window commands"
L3-S3,L3 Dash,Signal,DT06-8S,DT04-8P,8,W8S + W8P,Dash post,Capped pass-through + plugs
L4-P,L4 Rear,Power,DTP06-4S,DTP04-4P,4,WP-4S + WP-4P,Dash post,"Defog, fuel pump, amp, capped window bus"
L4-M,L4 Rear,Medium,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"Rear lamps, interior lamp, capped solenoids and window commands"
L4-S,L4 Rear,Signal,DT06-8S,DT04-8P,8,W8S + W8P,Dash post,"Fuel sender, door ladder, courtesy, capped pass-through"
D1,L4 Rear (sill),Door,DT06-08S,DT04-08P,8,W8S + W8P,Sill node,Driver door — no live conductor this build
D2,L4 Rear (sill),Door,DT06-08S,DT04-08P,8,W8S + W8P,Sill node,Passenger door — identical to D1
DP-CLU,Drop,Cluster,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"Factory instrument cluster — gauges, indicators, illumination"
DP-DIAG,Drop,Port,DT06-4S,DT04-4P,4,W4S + W4P,Glovebox,CAN1 laptop port + 2 A constant. 120 Ω here
DP-ICU,Drop,Module,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,Future cluster module — wired and capped
DP-DCU,Drop,Module,DT06-6S,DT04-6P,6,W6S + W6P,Dash post,Future climate module — wired and capped
DP-KEY,Drop,Port,DT06-4S,DT04-4P,4,W4S + W4P,Dash,Future control panel — wired and capped
