id,date,workflow,ids,summary
L001,2026-09-03,closed,V-070 V-071 V-072 D-300 V-059 D-303 V-067 D-304 V-060 T-031 D-305 Q-300,"Camden's answers: `V-070` `V-071` `V-072` → D-300 · `V-059` → D-303 · `V-067` → D-304 (2 ppr, trailing coil) · `V-060` / `T-031` → D-305 (adjustment and heat only) — opened `Q-300`."
L002,2026-09-07,closed,D-313 D-258 D-259 D-260 Q-301 Q-302 V-073 V-082 V-057 Q-304 Q-308 Q-309,"the ICU handed over: D-313 (electrical D-258 / D-259 / D-260). `Q-301` → closed as moot — the ICU excites the senders, there is no observer and no hand-over · `Q-302` → D-313 — the display's backlight is the F16 aux on `DP-ICU-A 6`, through the ICU board; O10 never carries it. `V-073` `V-082` `V-057` `Q-304` `Q-308` `Q-309` → electrical `QUESTIONS.md` §1 (see §4)."
L003,2026-09-07,closed,D-306 D-307 D-308 D-309 D-310 D-311 D-312 Q-303 Q-309 V-060 D-305 V-067 D-304 V-059 D-303 V-070 V-072 D-300,"the data migration and the ICU / DCU session: D-306 (the ICU joins early, headless; fuel level is its signal) · D-307 / D-308 (blower via the final stage; outside-air temp; nozzle feed) · D-309 (the record is data) · D-310 (observer front end; one BRAKE tell-tale) · D-311 (`channels.h` rendered from the electrical pins) · D-312 (stages S0–S8). Opened Q-303 – Q-309. `V-060` → D-305, `V-067` → D-304"
L-0001,2026-09-10,session,,text lost: rx7.py log wrote only id and date until 2026-09-21 (fixed that day) - see git log for this date
L-0002,2026-09-11,session,,text lost: rx7.py log wrote only id and date until 2026-09-21 (fixed that day) - see git log for this date
L-0003,2026-09-13,session,,text lost: rx7.py log wrote only id and date until 2026-09-21 (fixed that day) - see git log for this date
L-0004,2026-09-21,answers,D-358 D-359 01.04 01.07 D-326,"01.04 applied as D-358 (4x6 LED on plates); 01.07 as D-359 (own FB mirrors kept, DCU thumbstick drive; supersedes D-326); W-332 rescoped"
L-0005,2026-09-21,answers,D-362 01.08,01.08 applied as D-362: DCU on DT13s in a printed enclosure; electrical DP-DCU becomes a plug tail and DP-DCU-B is added; LP45-LP47
L-0006,2026-09-21,repair,PV45 PV50 PV51-PV68 PV98 PV114-PV127 FT03 FT04 FT07 FT14 FT17 FT21 FT24 FT31 FT33 FT34 LP03 LP20 LP23 LP24 LP29 LP32 LP36 LP48-LP51 SN16-SN21 S0 S2 S3 S5 S6 D-210 D-329 0x210/2 0x220 0x310/3 0x400 0x180 B1-B4 B6-B8 C1 F-007 F-010 F-012 F-013 F-015-F-017 H-002 H-006 H-007 T-049 V-061 V-102 Z-004,"Luxury record brought to D-355/D-359/D-360/D-362 and D-329: DP-DCU-B / L3-S3 5-8 / F22 provisions added, mirror and window lines relabelled, nozzle leftovers removed, D-210 superseded by D-355, 0x400 sent by the DCU, v2 ids repointed, duplicate work dropped, new work F-016 F-017 H-007 T-049 V-102, parts LP48-LP51, sensors SN18-SN21, firmware README paths fixed"
L-0007,2026-09-21,answers,D-369 D-370 D-372,"Follow-through of electrical D-369 / D-370 / D-372: SN16, SN23, LP14, LP46, LP51, PV44, V-083, V-101, F-017, X-008"
L-0008,2026-09-22,answers,D-313 D-314 LP20 LP49 S0 S2 FT07-FT11 FT14 FT15 FT33,"electrical D-374: ICU and DCU handed to electrical; this project keeps the loads the DCU drives and the plastics - work, parts, sensors/modules/CAN/params/bringup tables and firmware moved out; provisions for the DCU drop deleted; S0/S2, FT14, LP20, LP49 rewritten"
L-0009,2026-09-23,session,V-061 V-064 X-008 I1-I16 01.09 01.10 Z-002,"Agent work: V-061 (radar survey) and V-064 (LED sources) done, blocks 01.09 and 01.10 opened; X-008 done - install steps I1-I16, stage I added"
L-0010,2026-09-23,answers,D-383 D-384 01.09 01.10 01.11 X-009 Z-002 I15 LP21 LP49,"01.09 ruled (D-383, concealed speed-trap detector; block 01.11 asks which), 01.10 ruled (D-384, after V-063; X-009 re-asks)"
L-0011,2026-09-23,session,D-388 01.12 PK001 PK020 LP17 LP18 LP19 LP21 LP30 LP31 LP33 LP41 LP51 LP37,"D-388: parts are chosen in rounds - picks table, rx7.py picks writes PICKS.md, CLAUDE.md 6.9; round 1 (block 01.12) puts ten parts on the table, PK001-PK020 (primary proposed, runner-up in reserve)"
L-0012,2026-09-23,session,D-389 01.12 01.13 01.14 01.15 01.16 01.17 01.18 01.19 01.20 01.21 PK001 PK020,"D-389: one block per parts suggestion, answer under it; rx7.py picks --ask writes them; round 1 is now blocks 01.12-01.21 (the unanswered round block replaced)"
L-0013,2026-09-23,session,D-390 D-389 PK001 PK019,"D-390 (supersedes D-389): parts suggestions on PICKS.md, his second page, laid out like BLOCKS.md with an ANSWER line per product; round 1 moved there from blocks 01.12-01.21 (unanswered); rx7.py picks --ask/--answered/--clear"
