id,part,terminal,function,inside,wire,to,source,page,note,checked
PT025-B,PT025,B,main charge output (A-09 ring terminal),positive heat sink of the 6-diode bridge rectifier,WR,battery + via the 1.25 sq main fusible link (X-07) and the WR constant bus,"S-001,S-002",S-001 PDF p.10; S-002 p.5-6,from S-001; always live; confirm on the car,
PT025-R,PT025,R,ignition-sense input to the IC regulator (A-08 coupler),IC regulator voltage-sensing input,BW,ignition switch IG side through fuse X-04 and connector X-01,"S-001,S-045",S-001 PDF p.10; S-045 5:1,R = BW per the 1980 FSM. The fuse label reads 15A in the S-001 scan; the charging-starting write-up says 7.5 A. Confirm both on the car,
PT025-L,PT025,L,charge-indicator / field-supply terminal (A-08 coupler),"diode-trio output, the field coil's positive end and the regulator",WB,choke and check relay (Section B) via connector X-01,"S-001,S-045",S-001 PDF p.10; S-045 5:1,from S-001; the 1982 diagram shows no separate charge lamp on this page; confirm on the car,
PT025-F,PT025,F,field test terminal (no wire),field coil's negative end and the regulator output transistor,,,"S-045,S-002",S-045 5:2; S-002 p.5-6,in a hole about 20 mm deep in the rear housing near B; for tests only; confirm on the car,
PT025-E,PT025,E,ground,"rectifier negative side and the regulator ground, through the case",,engine through the mounting and bracket,"S-001,S-002",S-001 PDF p.10; S-002 p.5-6,case ground; confirm on the car,
PT275-B,PT275,B,battery input,magnetic switch main contact (fixed),,battery + by the starter cable; also feeds the 0.5 sq fusible link A-02 (LW) to the hot-start relay,"S-001,S-045",S-001 PDF p.10; S-045 5:6,battery cable colour not given; the A-02 hot-start feed is likely gone with the cold-start hardware; confirm on the car,
PT275-S,PT275,S,start signal,pull-in coil (S to M) and hold-in coil (S to ground),BW,inhibitor switch A-06 (BY in from ignition switch ST); A-01 1-pin coupler,"S-001,S-002",S-001 PDF p.10; S-002 p.5-19,A/T wire is BW (M/T BY); from S-001; confirm on the car,
PT275-M,PT275,M,motor output,magnetic switch main contact (moving) to the field-coil strap,,starter field coil (internal strap),"S-045,S-002","S-045 5:6, 5:9; S-002 p.5-19",internal link; confirm on the car,
PT026-M,PT026,M,field lead from the solenoid M terminal,"field coil, then brushes and armature",,magnetic switch M terminal (internal strap),"S-001,S-002",S-001 PDF p.10; S-002 p.5-19,internal; confirm on the car,
PT026-E,PT026,E,ground,armature return brushes through the yoke and housing,,engine/transmission through the mounting bolts,"S-001,S-002",S-001 PDF p.10; S-002 p.5-19,case ground; confirm on the car,
PT276-field_lead,PT276,field lead,feeds the series field coil,"series field coil wound on the yoke poles, ending at the two (+) brushes",,solenoid M terminal (nut),S-002,"5-19, 5-23",from the 1985 reduction-starter diagram; not a harness wire; confirm on the car,
PT278-brushes,PT278,(+) brushes,armature supply,two insulated brushes fed by the field coil,,field coil in the yoke,S-002,"5-19, 5-23",1985 manual; confirm on the car,
PT278--_brushes,PT278,(-) brushes,armature ground,two brushes on the grounded plate,,starter body / engine ground,S-002,5-19,1985 manual; confirm on the car,
PT024-T,PT024,+,"Battery positive post, 12 V",positive plates of six series cells,,"Positive cable (PT289) to starting motor B terminal (no connector code; A-01 is the S-terminal lead BY M/T / BW A/T), and via main fusible link 1.25 sq at X-07 to the WR constant bus: ignition switch X-08, alternator B A-09",S-001,Section A (PDF p.10),"Heavy cable, no colour code on S-001; from S-001; confirm on the car.",
PT024--,PT024,-,"Battery negative post, ground",negative plates of six series cells,,Ground cable (PT290) to ground,S-001,Section A (PDF p.10),Ground point not drawn; from S-001; confirm on the car.,
PT289-battery_end,PT289,battery end,Clamp on battery + post,,,PT024 +,S-001,Section A (PDF p.10),from S-001; confirm on the car.,
PT289-starter_end,PT289,starter end,Ring lug on starting motor B terminal,,,Starting motor (PT026) B terminal at the magnetic switch,S-001,Section A (PDF p.10),"S-001 draws the 0.5 sq fusible link A-02 (LW, hot-start relay / No.1 water temp switch) from the motor side of the magnetic switch contacts, not from the B terminal, so it is live only while cranking. from S-001; confirm on the car.",
PT289-X-07,PT289,X-07,Feed to main fusible link 1.25 sq,,WR,"WR constant bus: ignition switch X-08, alternator B (A-09)",S-001,Section A (PDF p.10),S-001 draws battery + to X-07; whether this is a branch of the cable or a separate lead is not shown. from S-001; confirm on the car.,
PT290-battery_end,PT290,battery end,Clamp on battery - post,,,PT024 -,S-001,Section A (PDF p.10),from S-001; confirm on the car.,
PT290-ground_end,PT290,ground end,Ground lug,,,"Ground (body or engine, not drawn)",S-001,Section A (PDF p.10),from S-001; confirm on the car.,
PT300-GW,PT300,GW,feed,"coil end and contact common, joined inside",GW,"X-04 15 A fuse (WR battery bus), shared with the stop light switch",S-001,22,from S-001; confirm on the car,
PT300-GL,PT300,GL,coil ground,other end of coil,GL,horn switch in steering pad via E-01; switch grounds it,S-001,22,from S-001; confirm on the car,
PT300-GY,PT300,GY,output,normally-open contact,GY,horns F-09 LH and F-10 RH in parallel,S-001,22,from S-001; confirm on the car,
PT307-LR_top_1,PT307,LR (top 1),feed,"pole 1 common; at rest to R, energised to L",LR,"X-04 20 A accessory fuse (LR, shared with radio)",S-001,24,"from S-001 G-01 (pin row: top LR R LY B, bottom LG L - LR); energised contact positions read from a coarse scan and the 1985 motor test; confirm on the car",
PT307-LR_bottom_4,PT307,LR (bottom 4),coil feed,diode then coil,LR,same LR feed,S-001,24,"from S-001 G-01 (pin row: top LR R LY B, bottom LG L - LR); energised contact positions read from a coarse scan and the 1985 motor test; confirm on the car",
PT307-R,PT307,R,motor down/common,pole 1 at-rest contact; pole 2 energised contact,R,G-02 power antenna motor R via X-03,S-001,24,"from S-001 G-01 (pin row: top LR R LY B, bottom LG L - LR); energised contact positions read from a coarse scan and the 1985 motor test; confirm on the car",
PT307-LY,PT307,LY,motor,pole 2 at-rest contact (grounded at rest),LY,G-02 power antenna motor LY via X-03,S-001,24,"from S-001 G-01 (pin row: top LR R LY B, bottom LG L - LR); energised contact positions read from a coarse scan and the 1985 motor test; confirm on the car",
PT307-L,PT307,L,motor up,pole 1 energised contact,L,G-02 power antenna motor L via X-03,S-001,24,"from S-001 G-01 (pin row: top LR R LY B, bottom LG L - LR); energised contact positions read from a coarse scan and the 1985 motor test; confirm on the car",
