id,block,block_title,item,owner,state,gate,note
A1,A,"Done by the agent alone, 2026-09-07",The record is data,agent,done,,"(D-309). `data/` holds modules, stages, features, provisions, sensors, CAN messages and fields, parts, work, params and the bring-up log; `templates/` the prose; `views.py` the derivations and seven checks; `build` renders README, DESIGN, CAN-MESSAGES, both carriers, SHOPPING-LIST, INSTALL, BRING-UP, `VIEW.html` — and `firmware/pmu_sim/channels.h` (D-311)."
A2,A,"Done by the agent alone, 2026-09-07",The boundary cannot go stale,agent,done,,Every provision this project counts on is joined live to `../electrical-build/data`; a cavity that changes state or vanishes there refuses this project's build.
A3,A,"Done by the agent alone, 2026-09-07",Every stale claim found and corrected,agent,done,,"— fuel level ""read by the PMU on A7 / 0x120"" (now the ICU's, 0x218) · the single 12-way `DP-ICU` and its old pinout (now `DP-ICU-A` / `-B`) · sender inputs drawn as pull-up dividers that would have moved the factory needles (now high-Z observers, D-310) · the tach on the leading coil (trailing, D-304) · `DP-DCU 2` as an O15 tap (it is the outside-air sensor) · F10 / F11 branches (deleted; this project's block) · the CAN keypad (custom panel, D-210) · ""five nodes"" (six, with the wideband) · the private DCU ↔ ICU pair (not run) · ""both modules on O10"" (heavy loads on O15) · coolant / oil level ""capped in L1-S2"" (plugs) · ""DCU firmware not started"" (F-001 done) · the fuel-pump rpm rule (primary gate is A7, rpm secondary and fail-open) · 384 KB / 64 ms framebuffer figures (614 KB / ~100 ms) · every link into the dissolved `electrical-pmu` tree."
A4,A,"Done by the agent alone, 2026-09-07",ICU front end specified,agent,done,,"for all nine inputs and the DCU's — values, pin class, calibration method, CAN field — in `data/sensors.csv` (D-310); the carrier documents are rendered from it."
A5,A,"Done by the agent alone, 2026-09-07",CAN map as data,agent,done,,"— `0x218`, the `0x300` changes, the AEM vendor frame with its two exceptions, bus load and timeouts computed; the header-drift report in `BRING-UP.md` §1 shows exactly what `can_map.h` lacks."
A6,A,"Done by the agent alone, 2026-09-07",Failure-mode table,agent,done,,written (X-006) — DESIGN §9.
A7,A,"Done by the agent alone, 2026-09-07",Money by stage,agent,done,,"— 44 lines from the archived Waves 3–5 plus everything ruled since (blower, final stage, senders, VSS, nozzles, mirrors, O15 block), each with its gating question."
A8,A,"Done by the agent alone, 2026-09-07",Install plan,agent,done,,"— stages S0–S8 with what plugs into what, per-stage provisions printed from the electrical data (D-312)."
A9,A,"Done by the agent alone, 2026-09-07",Backlog reconciled,agent,done,,— F-005 / F-006 / F-001 / F-011 marked done; X-003 / X-004 / H-004 / H-005 / Z-001 moved to their owners; H-003 and Z-003 closed; F-012 / F-013 opened with the exact header changes.
A12,A,"Done by the agent alone, 2026-09-07",The display handed to the electrical build too,agent,done,,"(D-314, 2026-09-07i) — it goes in with the ICU on a plain plate; `T-051` / `V-084` / `V-085` and the glass parts moved with their numbers; `S3` is now the bezel (FT34, H-006, LP29); F-007 is a cutover gate for that project."
