id,function,type,location,c86,c85,c30,c87,c87a,state,label
K1,Pop-up LH run,"ISO micro SPDT 40 A, integral diode",Dash node,O1,L3-S1 10 (wink R NC → ground),O1 splice (12 AWG),L2-P 3,GND bus (dynamic brake),LIVE,POPUP-L
K2,Pop-up RH run,"ISO micro SPDT 40 A, integral diode",Dash node,O1,L3-S1 9 (wink L NC → ground),O1 splice (12 AWG),L2-P 4,GND bus,LIVE,POPUP-R
K3,— empty socket,,Dash node,,,,,,SPARE,SPARE
K4,— empty socket,,Dash node,,,,,,SPARE,SPARE
K5,Window DRV up — empty socket,,Sill node,,,,,,SPARE,WIN-D-UP
K6,Window DRV down — empty socket,,Sill node,,,,,,SPARE,WIN-D-DN
K7,Window PASS up — empty socket,,Sill node,,,,,,SPARE,WIN-P-UP
K8,Window PASS down — empty socket,,Sill node,,,,,,SPARE,WIN-P-DN
K9,Start relay,"Sealed mini ISO SPDT, integral diode, weatherproof socket","Inner fender, engine bay",L1-S1 1 (O21),block ground,"F17 (starter B+ stud, 10 AWG)",starter solenoid S terminal (10 AWG),,LIVE,START
K11,Head-unit constant master,"ISO micro SPDT 40 A, integral diode",Dash node,O22,GND bus,busbar (10 AWG),block B input (10 AWG),,LIVE,HEAD-UNIT
K12,Washer pump,"ISO micro SPDT 40 A, integral diode",Dash node,O10,L3-S2 9 (stalk WASH contact → ground),O8,L2-M 4,,LIVE,WASHER
