connector,cav,circuit,source,awg,colour,status,note
L1-P,1,Ignition / coil feed,O12 (pin 2),12,RED/BLU,LIVE,
L1-P,2,RESERVED — LS ECU + injectors,O13 (pin 1),12,RED/ORN,RESERVED,Capped at the bulkhead
L1-P,3,RESERVED — LS cooling fan,O14 (pin 14),12,RED/GRY,RESERVED,Capped
L1-P,4,SPARE heavy,—,12,RED,SPARE,Capped
L1-S1,1,Start relay coil → K9 on the inner fender,O21 (pin 21),16,VIO/RED,LIVE,D-148
L1-S1,2,Alternator BW excitation feed — factory spec,O12 branch via F15 (7.5 A) at the panel,16,BLU/WHT,LIVE,D-198 — the field feed; without it the alternator never charges
L1-S1,3,Water temp sender,DP-ICU 6,16,GRY/GRN,LIVE,ICU input (D-083)
L1-S1,4,Oil pressure sender,DP-ICU 7,16,GRY/BLU,LIVE,ICU input
L1-S1,5,Oil temperature sender (new),DP-ICU 8,16,GRY/ORN,LIVE,ICU input. Sender not yet sourced
L1-S1,6,Tach pickup (coil primary YG) — shielded,DP-ICU 9,16 sh,GRY/YEL,LIVE,Shield grounded at the box end only. Conditioned at the ICU (D-082)
L1-S1,7,VSS pulse (new),DP-ICU 10,16,GRY/VIO,LIVE,ICU input. Sensor not yet sourced
L1-S1,8,+5 V reference,+5V (pin 15),16,PNK,LIVE,
L1-S1,9,CAN2 H — engine-bay drop,CAN2H (pin 24),16 tw,YEL/BLK,LIVE,120 Ω terminator fitted at the far end in Phase 5 (D-079)
L1-S1,10,CAN2 L — engine-bay drop,CAN2L (pin 37),16 tw,GRN/BLK,LIVE,
L1-S1,11,Inhibitor P/N contact — crank interlock,A4 node (pin 17) — splice at the post,16,GRY/BLK,LIVE,D-187 — 12 kΩ at the switch; 47 kΩ baseline at the connector
L1-S1,12,Wideband O2 signal,capped,16,GRY/RED,SPARE,"A-011 — not an ICU input; K-001 tap location unknown"
L1-S2,1,Brake fluid level switch,DP-ICU 12,16,GRY/PNK,LIVE,A-010
L1-S2,2,Coolant level sensor,capped,16,GRY,SPARE,"A-010 — optional, no ICU cavity"
L1-S2,3,Oil level sensor,capped,16,GRY,SPARE,"A-010 — optional, no ICU cavity"
L1-S2,4,LS sensor spare — knock,capped,16,GRY,RESERVED,
