connector,cav,circuit,from_box_side,awg,colour,status,device_end,note
L1-P,1,Ignition feed — coils and igniters,O12 (pin 2),12,RED,LIVE,"Splice at the coil bracket → BW of coil T, coil L, igniter T, igniter L",
L1-P,2,LS swap reserve — ECU + injectors,O13 (pin 1),12,RED,CAPPED,"Capped at the bulkhead, 12 in past the grommet",Output disabled
L1-P,3,LS swap reserve — cooling fan,O14 (pin 14),12,RED,CAPPED,"Capped at the bulkhead, 12 in past the grommet",Output disabled
L1-P,4,— empty,—,—,—,PLUG,"Sealing plug, size 12",
L1-S1,1,Start relay K9 coil,O21 (pin 21),16,RED,LIVE,K9 terminal 86 (inner fender),
L1-S1,2,Alternator excitation (field feed),F15 (7.5 A) ← O12,16,RED,LIVE,"Alternator plug A-08, terminal BW",Without this feed the alternator never charges
L1-S1,3,Water temperature sender,→ DP-CLU 5 (post splice; DP-ICU 6 tap capped),16,GRY,LIVE,"Sender C-02, spade — factory wire YW",
L1-S1,4,Oil pressure sender,→ DP-CLU 6 (post splice; DP-ICU 7 tap capped),16,GRY,LIVE,"Sender C-09, spade — factory wire BrY",
L1-S1,5,— empty,—,—,—,PLUG,"Sealing plug, size 16",Oil-temp sender belongs to a later project
L1-S1,6,Tachometer pulse — SHIELDED,→ DP-CLU 4 (post splice; DP-ICU 9 tap capped),16 sh,shielded,LIVE,Coil T (B-18) negative terminal — factory wire YG. Shield grounded at the dash node end only,
L1-S1,7,— empty,—,—,—,PLUG,"Sealing plug, size 16",VSS belongs to a later project
L1-S1,8,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L1-S1,9,CAN2 H — LS ECU drop,CAN2H (pin 24),16 tw,YEL,CAPPED,Capped in the bay with the 120 Ω terminator across 9/10,Twisted with cav 10
L1-S1,10,CAN2 L — LS ECU drop,CAN2L (pin 37),16 tw,GRN,CAPPED,Capped with cav 9,
L1-S1,11,Inhibitor switch — P/N contact (crank interlock),"A4 node (pin 17), spliced at the post",16,GRY,LIVE,Inhibitor A-06: 8.2 kΩ in the lead to terminal BY; terminal BW → block ground,47 kΩ baseline sits at the L2-S connector
L1-S1,12,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L1-S2,1,Brake fluid level switch,→ DP-CLU 9 (post splice; DP-ICU 12 tap capped),16,GRY,LIVE,Reservoir switch C-05: terminal BR; terminal B → block ground,
L1-S2,2,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L1-S2,3,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L1-S2,4,LS swap reserve — sensor,capped at the post,16,GRY,CAPPED,Capped at the bulkhead,
L1-S2,5,LS swap reserve — sensor,capped at the post,16,GRY,CAPPED,Capped at the bulkhead,
L1-S2,6,LS swap reserve — sensor,capped at the post,16,GRY,CAPPED,Capped at the bulkhead,
L1-S2,7,Inhibitor switch — R contact (reverse lamps),"A5 node (pin 31), spliced at the post",16,GRY,LIVE,Inhibitor A-06: 8.2 kΩ in the lead to terminal GY; terminal RW → block ground,
L1-S2,8,Alternator charge-lamp sense,→ DP-CLU 8 (post splice; DP-ICU 11 tap capped),16,GRY,LIVE,"Alternator plug A-08, terminal WB",
L1-S2,9,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L1-S2,10,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L1-S2,11,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L1-S2,12,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L2-P,1,"Headlight LOW, both",O2 (pin 39),12,RED,LIVE,"Splice at the nose → 14 AWG branch to each lamp plug, terminal RL",
L2-P,2,"Headlight HIGH, both",O3 (pin 26),12,RED,LIVE,"Splice at the nose → 14 AWG branch to each lamp plug, terminal RY",
L2-P,3,Pop-up LH run feed,K1 87 ← O1,12,RED,LIVE,Motor E-03 run terminal(s) — R + RY bridged if the ohm check confirms one winding,
L2-P,4,Pop-up RH run feed,K2 87 ← O1,12,RED,LIVE,Motor E-04 run terminal(s) — as cavity 3,
L2-M,1,Wiper LOW brush,O8 (pin 9),14,ORN,LIVE,"Wiper motor D-02, terminal LW",
L2-M,2,Wiper HIGH brush,O9 (pin 5),14,ORN,LIVE,"Wiper motor D-02, terminal LR",
L2-M,3,"Horns, both",O11 (pin 3),14,ORN,LIVE,Splice at the nose → each horn's terminal GY,
L2-M,4,Washer pump feed,K12 87 (← O8),14,ORN,LIVE,"Washer motor D-01, terminal LB",
L2-M,5,Turn LEFT front,O17 (pin 6),16,RED,LIVE,"Front combo lamp F-05, terminal GR",
L2-M,6,Turn RIGHT front,O18 (pin 33),16,RED,LIVE,"Front combo lamp F-06, terminal GO",
L2-M,7,"Park + side markers, front",O6 (pin 11),16,RED,LIVE,"Splice at the nose → F-05 RG, F-06 RG, F-12 RG, F-13 RG",
L2-M,8,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L2-S,1,Pop-up LH transit contact,A4 (pin 17),16,GRY,LIVE,Motor E-03 terminal YG through 3.3 kΩ; 47 kΩ baseline from this cavity to the front star ground,
L2-S,2,Pop-up RH transit contact,A5 (pin 31),16,GRY,LIVE,Motor E-04 terminal YG through 3.3 kΩ; 47 kΩ baseline to the front star ground,
L2-S,3,Wiper park sense,"A3 node (pin 30), spliced at the post",16,GRY,LIVE,Wiper motor D-02 park terminal L through 12 kΩ. Terminal LB is left unconnected (capped),
L2-S,4,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L2-S,5,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L2-S,6,— empty,—,—,—,PLUG,"Sealing plug, size 16",
L3-P,1,Blower motor +,O16 (pin 28),12,RED,LIVE,New blower motor + terminal (factory LO). Motor − → resistor pack → speed switch → dash ground,
L3-P,2,Comfort bus,"O15 (pin 27)",12,RED,CAPPED,Capped behind the centre stack,
L3-M,1,Accessory — head unit ACC + USB-C,O10 (pin 4),14,ORN,LIVE,Head unit red (ACC) wire; USB-C module +,
L3-M,2,Head unit memory / constant,F1 (15 A) ← K11,14,RED,LIVE,Head unit yellow (BATT) wire,
