id,system,title,date,status,supersedes,superseded_by,closes,also,body
D-001,Architecture and scope,ECUMaster PMU-24 DL over a conventional relay/fuse box,,standing,,,,,"**D-001 — ECUMaster PMU-24 DL over a conventional relay/fuse box.** Accepted about $2,500 of premium for per-channel current logging, soft fuses set from measured draw, and logic without physical relays."
D-002,Architecture and scope,"Ionic S9 heated lithium battery, rear-mounted",,standing,,,,,"**D-002 — Ionic S9 heated lithium battery, rear-mounted.** Sold as ""Ionic Lithium 12V S9 — Car Post Starter Heater Battery""; some listings say *S9H*. Same product. This project says ""S9"". The heater is why this model is right for a cold, high-altitude car: lithium must not be charged below freezing, and the heater warms the cells so it can (D-060)."
D-007,Architecture and scope,Baseline pinned for the current 12A / Weber configuration; O13 and O14…,,standing,,,,,"**D-007 — Baseline pinned for the current 12A / Weber configuration; O13 and O14 (25 A) reserved for an engine swap's ECU and cooling fan, wired to the engine leg and capped.** The engine leg carries the reservation; its design lives in `../engine-swap/`."
D-081,Architecture and scope,"The car drives fully on the PMU with plain switches, the factory…",,standing,,,,,"**D-081 — The car drives fully on the PMU with plain switches, the factory harness comes out, and the build completes — then any module joins.** Modules add capability to a finished car; they are never a dependency for it starting, running or being legal. This is the whole reason the luxury package is a separate project."
D-259,Architecture and scope,"The ICU is a device of this build: designed, built, bench-commissioned…",2026-09-07,standing,,,,,"**D-259 — The ICU is a device of this build: designed, built, bench-commissioned against the old cluster and installed with the harness, so the car's instruments run through it from the first drive; the luxury package supplies only the display that ribbons onto it later. D-081 is amended to ""the car drives fully on the PMU *and the ICU*"".** Camden's call, 2026-09-07, answering `Q-122` — ""the ICU is done and seamless before luxury starts; only the display comes with luxury, and the screen wiring is already done."" D-081's principle — modules add capability to a finished car and are never a dependency for it starting, running or being legal — holds word for word: the ICU is not a control source (D-251), the fuel-pump gate is the PMU's own A7 on a node the PMU excites (D-249, D-260), and a dead ICU costs the driver his gauges — exactly what a dead factory cluster would have cost, accepted. What changes is *who builds it and when*: the carrier `H-001`, its channels, its parts (`P103`–`P114`), its bench commissioning (install §1.20–1.24) and the questions in front of its layout (`Q-123`, `V-073`, `V-082`, `V-057`, `Q-304`, `Q-308`, `Q-309`) are this project's; the luxury package keeps the display chain (`T-051`, `V-084`, `V-085`), the pages, the DCU and everything comfort (luxury D-313 is the hand-over). The firmware stays one source in the luxury tree (`01-DESIGN/firmware/icu/`, R6) — its sensing, CAN and gauge-drive half is now this project's specification (`icu_channels.csv`), its rendering half theirs. The display header, the PSRAM, the IMU and the page-button header go on the board now, so it never comes out for the display."
D-131,Architecture and scope,The windows are manual,,standing,,,,,"**D-131 — The windows are manual.** This car has no power-window motors, switches or wiring; the factory diagram's I-06/I-07/I-09/I-11 describe an option it does not have. Power windows are a luxury-package item. Nothing is deleted for it — every window conductor is run and capped (D-004), K5–K8 sockets and F8/F9 positions are provided at the sill, and adding motors later is plug in, populate, enable."
D-004,Architecture and scope,All 39 PMU cavities are terminated at build time; reserved channels get…,,standing,,,,,**D-004 — All 39 PMU cavities are terminated at build time; reserved channels get real wire to the right housing and are capped there.** The 39-way connector is assembled once and never reopened.
D-119,Architecture and scope,The car migrates and drives on stock incandescent bulbs,,standing,,,,D-124,"**D-119 / D-124 — The car migrates and drives on stock incandescent bulbs.** Every lamp channel has 40–74 % headroom on filament bulbs, so nothing in the pin plan assumes LED. The custom tail lights, the headlamp change and the LED conversion are luxury-package scope; D-122 (soft fuses re-set after any bulb change) travels with them."
D-209,Architecture and scope,The column combination switch stays; every other switch in the car is…,,standing,,,,,"**D-209 — The column combination switch stays; every other switch in the car is replaced.** They are all broken or near it, and the dash opens once. Stays: E-01 LIGHT + DIMMER, F-02 TURN + HAZARD, D-03 wiper stalk — all laddered. The horn stays on the steering pad. Bought new: wink switches ×2, brake pedal switch, door-pin plungers, the ignition switch (electrical portion), the blower motor, resistor and speed switch."
D-210,Architecture and scope,No ECUMaster keypad; DP-KEY is a generic control-panel drop,,superseded,,D-355,,,"**D-210 — No ECUMaster keypad; DP-KEY is a generic control-panel drop.** CAN2 H/L, switched +12 V off O10, ground — the universal set, so whatever panel the luxury package builds plugs in. Consequences accepted: the rear defogger has no trigger this build (O4 wired, configured, disabled); the hatch keeps opening on its key. A hardwired defog switch on a spare L3-S2 cavity is the fallback if a winter without one is worse in practice than on paper.

**D-210(b) — DEFOG (O4) is configured and disabled; INTERIOR is `A6 != CLOSED` with the theatre fade; there is no keypad term in any expression.**"
D-211,Architecture and scope,The A/C system comes out; no cooling until the swap engine,,standing,,,,,"**D-211 — The A/C system comes out; no cooling until the swap engine.** Compressor, bracket, belt, condenser, receiver/drier and lines are removed (a shop recovers the refrigerant first — venting it is illegal). The blower, heater core, HVAC case, ducts and blend doors stay, so heat, defrost and ventilation are unaffected. Electrically all subtractions: F4 and K10 deleted, the factory interlock chain leaves with the hardware, no cavity moves. **Nothing is capped for it in the engine bay** — the engine leg carries only what the engine on the mounts needs and is rebuilt from scratch at a swap. Its return is `../engine-swap/`."
D-228,Architecture and scope,The A/C compressor runs on its own belt; the D-211 strip is purely…,2026-09-03,standing,,,V-097,,"**D-228 — The A/C compressor runs on its own belt; the D-211 strip is purely subtractive.** Confirmed at the crank pulley, 2026-09-03. Nothing else is driven off that belt, so removing the compressor and bracket needs no shorter belt and does not touch the alternator or water-pump drive. Answers V-097."
