term,retired_by,note
03.01,D-427,renumbered to 04.01 when beauty became 04 (2026-09-25)
03.02,D-427,renumbered to 04.02 when beauty became 04 (2026-09-25)
03.03,D-427,renumbered to 04.03 when beauty became 04 (2026-09-25)
03.04,D-427,renumbered to 04.04 when beauty became 04 (2026-09-25)
03.05,D-427,renumbered to 04.05 when beauty became 04 (2026-09-25)
03.06,D-427,renumbered to 04.06 when beauty became 04 (2026-09-25)
03.07,D-427,renumbered to 04.07 when beauty became 04 (2026-09-25)
03.08,D-427,renumbered to 04.08 when beauty became 04 (2026-09-25)
03.09,D-427,renumbered to 04.09 when beauty became 04 (2026-09-25)
03.10,D-427,renumbered to 04.10 when beauty became 04 (2026-09-25)
03.11,D-427,renumbered to 04.11 when beauty became 04 (2026-09-25)
