id,stage,stage_title,item,owner,state,gate,note
A1,A,"At the desk, now — no car, no parts",Close the cart gaps,camden,blocked,phase:SOURCING,Blocked by D-323: nothing is bought until the design is complete and Camden understands it. No store is paid while any block that changes a line is open.
A2,A,"At the desk, now — no car, no parts",Order the vehicle parts,camden,open,,— shopping list §6. The senders are *not* on it: the car's own work and stay (D-261). The brake pedal switch can be **any 2-terminal type** - the wake contact is a spare P084 plunger on the pedal instead (D-278).
A3,A,"At the desk, now — no car, no parts",Check the fuse drawer,camden,open,,"against shopping list §9. Two changed: F1 is **10 A** (D-242), and **F20 7.5 A** is new (D-244)."
A4,A,"At the desk, now — no car, no parts",Keep the Ionic above its BMS cutoff,camden,open,,while it waits — a lithium left to self-discharge into cutoff is hard to recover. Check it monthly on the app.
A5,A,"At the desk, now — no car, no parts",The in-car half of `T-017` at M-6,camden,open,,"The DESK half is done - agent, 2026-09-12, D-348: every factory terminal letter the design lands a wire on was read off the diagram scans, sections A, B, C, D, E, F and H, and all of them are right. What is left is the half a meter has to do, at M-6 with the cluster out: confirm the wire in the car is the colour the book says at C-01, C-02, C-04, C-05, C-09, A-06, A-08 and the L1 sender pair. A 44-year-old harness has been repaired. The cluster plug's letters no longer matter (D-268). Two measurements T-017 sharpened ride with this: CK08 (ohm the pop-up motor's FOURTH terminal, WR, which V-081 never asked for) and CK09 (which of the wiper motor's L and LB is the park contact's output - the design and the diagram disagree)."
A6,A,"At the desk, now — no car, no parts","At the cart review, apply D-238",camden,open,,"to every heavy cable line, 2 AWG and 1/0 alike: the listing must state ≥ 90 °C insulation and 100 % copper. Swap the line before payment if it does not."
A7,A,"At the desk, now — no car, no parts",The 2026-09-05 future-proofing audit and the 2026-09-08 benchmark are applied,camden,done,,"(2026-09-08f). Their rulings: blower → D-253 · road speed → D-272 · the brake wake → D-278 (supersedes D-247) · protection policy → D-279 · sleeping-current test → D-280 · the ignition condenser → D-281 (P135, to add) · F20 and the recovery path → D-282. Their open packets: `Q-113`, `Q-114`, `Q-134`–`Q-139` in §1 and `Q-115` in §2a. Their spares list is the car's, not the carts': a used ignition switch, a used pop-up motor pair, and a used wiper motor if one surfaces cheap — all NLA new, all single points of failure; nothing in the harness depends on them."
B1,B,"One afternoon with the car — nothing cut, no parts needed",Strip the A/C system,camden,open,,"(D-211, D-228) — a prerequisite of the install plan. Order: a shop recovers the refrigerant first (it still holds charge; venting is illegal) · pull the compressor, bracket, belt, condenser, receiver/drier and lines · pull the factory interlock chain (G-18, G-19, G-21, G-22, G-23 and the dash A/C switch) · leave the blower, heater core, HVAC case, ducts and doors alone · box the hardware, don't scrap it. The compressor is on its own belt (D-228), so nothing else on the crank is disturbed."
B2,B,"One afternoon with the car — nothing cut, no parts needed",Read the part number off the back of the wideband gauge,camden,open,,"and photograph the whole install — the fuse-box piggyback tap, the gauge, the sensor lead. D-244 assumes the gauge carries an **AEMnet** pair; if it does not, the fallback (0–5 V into `DP-ICU-B 9`, the pre-wired spare) is a different wire and a different commissioning date."
C1,C,"The measurement day — interior apart once, before anything is cut","M-1 dash envelope, plus where the wideband gauge hides and whether its fixed sensor lead r",camden,open,,"M-2 routes — the tunnel now carries three heavy cables, the 2 AWG PMU feed and two 1/0 runs, so measure it for the bundle, not one wire · M-3 pop-up ohm check (closes `V-081`) · M-4 cargo bin (`V-088`) · M-5 sill space (`V-055`) · M-6 cluster plug — and the gauge type, `Q-123` · M-7 photographs · count the pins on the wiper motor, both pop-up motors and the fuel sender while they are visible — every one is a used-only purchase, and the removed part is the buying spec."
C2,C,"The measurement day — interior apart once, before anything is cut",Buy the carrier-panel and backing-plate stock from the hardware store afterwards (shopping,camden,open,,No battery-cover stock — D-235 chose boots alone.
C3,C,"The measurement day — interior apart once, before anything is cut","The luxury package has three ten-minute looks that ride along: the tail-light aperture, wh",camden,open,,See `../01-luxury/QUESTIONS.md`.
D1,D,When the parts arrive,Count everything against shopping list §10.,camden,open,,
D2,D,When the parts arrive,"Fit-check the battery retention, the post terminals and the boots",camden,open,,including whether a boot lifts by hand with the terminal stack loaded (D-235's whole point).
D3,D,When the parts arrive,"Confirm the two spare 39-way housings carry full terminal sets (16 large, 27 small each)",camden,open,,they are the spares.
D4,D,When the parts arrive,Install §1: crimp coupons and pull tests on every crimper before any real crimp,camden,open,,including the 1/0 dies on the hydraulic crimper (D-246 added two 1/0 runs).
E1,E,"Then the install plan, in its own order","§2 backbone (one weekend, car drives home) · §3 dash node (bench) · §4 legs (bench) · §5 install and migrate (one circuit per sitting) · §6 factory harness out · §7 shakedown.",camden,open,,
F1,F,The ICU — built and commissioned on the bench before the harness goes in (D-259),Draw the enclosure,agent,open,F2,"Waits on F2. D-270 is the enclosure's brief - the two DT13 flanges on one face, grommets on the other, an antenna window, ASA or PETG, bosses for the flanges, a gasket groove in the lid - but every dimension in it comes from the carrier's board outline, and there is no board outline: F2 lays out H-001 and there is deliberately no .kicad_pcb. Drawing an enclosure around a board that does not exist yet would be a printed part that does not fit (R11). Agent draws it the day F2 is done."
F2,F,The ICU — built and commissioned on the bench before the harness goes in (D-259),Order the BT817 eval board (P117) now — before the layout — then lay out carrier H-001 around the DT13 headers and order it,camden,open,,"with the §6b parts (P122 the DT13s); the display header, the PSRAM, the IMU and the radio go on together."
F3,F,The ICU — built and commissioned on the bench before the harness goes in (D-259),Build it and bring up the display chain on the bench,camden,open,,"— install §1.21–1.23: eval board and DRIVE page first, the chain-(ii) panel after M-1 sizes the aperture, `V-084` timings, the odometer persisting in EEPROM and on the card (D-269). MG22 waits for this box; nothing else does."
F4,F,The ICU — built and commissioned on the bench before the harness goes in (D-259),Land `F-012`,camden,open,,"(the `can_map.h` bump, luxury `BRING-UP.md` §1) on a machine with g++ before anything is flashed for the car."
G1,G,What production cars that wire this way do better — the agent's improvement list,"Every output's current is a diagnostic (Tesla, BMW FRM)",agent,done,,"Done 2026-09-12. `pins.baseline_a` added and `rules health-band` written: the band is derived from a measured baseline, never typed, and the low half is the PMU's own Min Current parameter, which raises UNDERCURRENT and does not switch the output off (D-279). CK01 is the shakedown box. The module's measurement floor rules O21 and O22 out of a band entirely."
G2,G,What production cars that wire this way do better — the agent's improvement list,"Retry policy by load class (Tesla eFuses, MoTeC / AiM practice)",agent,done,,"Done 2026-09-12. `logic.retry_class` added and set on all 21 rows; `rules retry-class` names four classes, not three - lamp, motor, critical and guarded. Guarded exists because O1 is a pop-up bus and an overcurrent there means a hand in the way, so retrying is the wrong answer; the D-186 obstruction timeout is its real handler."
