id,category,title,subject,fits,site,url,author,licence,format,obtained,login,local_path,size_mm,scale,triangles,quality,detail,note
rx7-1978-sa-hum3d-bought,body,"Mazda RX-7 (Mk1) (SA) 1978 (Hum3D, bought)",1978-80 SA22C body (whole car),close,hum3d.com,https://hum3d.com/,Hum3D,paid commercial licence (bought by owner),obj (zip) + derived glb,yes,no,01-REFERENCE/model/rx7.glb,1861 x 1310 x 4293,1:1,281609,4,"Exterior shell, glass, lamps, wheels, basic interior; SA bumpers/tail lamps/dash; no engine bay, underbody or chassis.","Already on disk, not re-found. README says within ~1% overall; FB bumpers, tail lamps, front lip and dash differ. The identical 1.57M-face mesh is re-uploaded on Sketchfab by niev/Res1n/outpiston/vecarz - those are rips, recorded below, not downloaded."
fb-rx7-gsl-se-85-3dwarehouse-blastronaut,body,Mazda RX-7 GSL-SE 85,1984-85 FB Series 3 GSL-SE body (whole car),exact,3D Warehouse (SketchUp),https://3dwarehouse.sketchup.com/model/4109337ab9bb4349ef9a91891c683ba0,Blastronaut,3D Warehouse General Model License (as stated by Trimble for all uploads),glb (public viewer export); original skp needs login,yes,no,01-REFERENCE/model/library/body/fb-rx7-gsl-se-85-3dwarehouse-blastronaut,1789 x 1251 x 4468,1:1 intended,18328,3,"Low/mid-poly SketchUp car: body, glass, wheels, simple interior; tuner wheels. No engine bay/underbody.","Uploader: ""This model is not my own"". Length 4.47 m vs real FB ~4.29-4.32 m (+3.5%), width 1.79 m incl. mirrors (real 1.67). Best whole-car FB proportions found among free models. SKP units inches, 9961 polys. Native .skp download requires a free Trimble login; the GLB is the publicly served viewer file."
fb-rx7-1983-modified-3dwarehouse-zxt,body,1983 Mazda RX-7 (Modified),"1981-83 FB Series 2 body (whole car, modified)",exact,3D Warehouse (SketchUp),https://3dwarehouse.sketchup.com/model/c53a4d5ba723a793b1f573e50552dcc1,ZXT,3D Warehouse General Model License (as stated by Trimble for all uploads),glb (public viewer export); original skp needs login,yes,no,01-REFERENCE/model/library/body/fb-rx7-1983-modified-3dwarehouse-zxt,1262 x 954 x 3260,mis-scaled (~0.75x of 1:1),13420,2,Crude SketchUp body with aftermarket wheels and a transparent wing.,"""Original model by Marian. Wheel by AD9, spoiler by mirza."" Scaled wrong: 3.26 m long (~0.76x real). Proportions only. Native .skp download requires a free Trimble login; the GLB is the publicly served viewer file."
fb-rx7-nelson-racing-3dwarehouse-claytonf,body,Nelson racing Mazda Rx-7,1981-85 FB body with V8 twin-turbo engine bay (Nelson Racing replica),close,3D Warehouse (SketchUp),https://3dwarehouse.sketchup.com/model/99c8d47e45e0e3aa5cf3df4d1dca4beb,Clayton F.,3D Warehouse General Model License (as stated by Trimble for all uploads),glb (public viewer export); original skp needs login,yes,no,01-REFERENCE/model/library/body/fb-rx7-nelson-racing-3dwarehouse-claytonf,1262 x 1146 x 3151,mis-scaled (~0.75x of 1:1),142535,2,"FB body, opened hood, modelled engine bay (V8 twin turbo), wheels.","Replica of Nelson Racing 1650 hp FB. Undersized (3.15 m long, ~0.73x). Tagged #Mazda_FB. Useful only as an LS/V8-in-FB bay visual. Native .skp download requires a free Trimble login; the GLB is the publicly served viewer file."
rx7-first-gen-3dwarehouse-husainm,body,Mazda Rx7 First Generation,1979-84 first-gen body (rough),close,3D Warehouse (SketchUp),https://3dwarehouse.sketchup.com/model/f78b95c45e943f55e80aa4522048dbb1,Husain M.,3D Warehouse General Model License (as stated by Trimble for all uploads),glb (public viewer export); original skp needs login,yes,no,01-REFERENCE/model/library/body/rx7-first-gen-3dwarehouse-husainm,2210 x 1711 x 8846,1:1 intended,7889,1,Very rough blocky body plus headlight-beam cones (which inflate the extents).,"Author: ""rough model of a first generation rx7 (1979-1984)"". Car itself ~5.3 m long; not to scale. Native .skp download requires a free Trimble login; the GLB is the publicly served viewer file."
sa-rx7-s1-3dwarehouse-tonys,body,mazda (mazda rx7 s1),"1979-80 SA22C Series 1 body, tuned (roll cage, engine)",close,3D Warehouse (SketchUp),https://3dwarehouse.sketchup.com/model/7618ab3470cf95255742a1680866f083,tony S.,3D Warehouse General Model License (as stated by Trimble for all uploads),glb (public viewer export); original skp needs login,yes,no,01-REFERENCE/model/library/body/sa-rx7-s1-3dwarehouse-tonys,1262 x 805 x 3158,mis-scaled (~0.75x of 1:1),94557,2,"SA body with seats, cage and an engine in the bay.","Undersized (3.16 m, ~0.74x). Native .skp download requires a free Trimble login; the GLB is the publicly served viewer file."
sa-rx7-series1-widebody-3dwarehouse-ianm,body,Series 1 rx7,1979-80 SA22C Series 1 widebody,close,3D Warehouse (SketchUp),https://3dwarehouse.sketchup.com/model/7512d5f8-d750-4a13-810c-dcf78ae85305,Ian M.,3D Warehouse General Model License (as stated by Trimble for all uploads),glb (public viewer export); original skp needs login,yes,no,01-REFERENCE/model/library/body/sa-rx7-series1-widebody-3dwarehouse-ianm,1868 x 1119 x 4408,1:1 intended,39347,2,"Widebody kit, front and rear diffuser, wing, wheels.",Length 4.41 m (close to real). Widebody so width not stock. Native .skp download requires a free Trimble login; the GLB is the publicly served viewer file.
sa-rx7-v8-3dwarehouse-tonys,body,mazda v8 rx7,1st-gen RX-7 V8 drift car (tube-frame look),close,3D Warehouse (SketchUp),https://3dwarehouse.sketchup.com/model/uf4b08787-9670-4a1d-8b4e-4813f5079d2c,tony S.,3D Warehouse General Model License (as stated by Trimble for all uploads),glb (public viewer export); original skp needs login,yes,no,01-REFERENCE/model/library/body/sa-rx7-v8-3dwarehouse-tonys,1427 x 937 x 3236,mis-scaled (~0.75x of 1:1),233459,2,Race-car body with cage and V8; lots of internal geometry.,"Thumbnail is a first-gen body although the GLB file is named ""mazda fc rx7 drift missle"". Undersized (3.24 m). Visual interest for the V8 swap only. Native .skp download requires a free Trimble login; the GLB is the publicly served viewer file."
rx7-savanna-3dwarehouse-marian87,body,Mazda RX-7 Savanna (Marian87),FC3S (1986-91) body - NOT first gen,different,3D Warehouse (SketchUp),https://3dwarehouse.sketchup.com/model/b198a566a76483225a093a772656cea1,Marian87,3D Warehouse General Model License,skp/glb,no,yes,,,,,,,"Parent of ~15 derivative uploads (AD9 ""Tuned/Drift/Showcar Mazda RX-7 Savanna"", etc.). Thumbnail shows an FC, despite ""1983"" titles on some derivatives. Recorded so it is not re-checked; also CGTrader ""Mazda RX-7 Savanna"" free (SketchUp 13 conversion) is probably this same model."
fb-rx7-taillight-housing-scan-printables-giooig13,body,FB RX7 Tail Light Passenger Side Housing,"1981-85 FB tail lamp housing, passenger (RH) side - 3D scan",exact,Printables,https://www.printables.com/model/993677,GiooiG13,Creative Commons — Attribution — Noncommercial,stl,yes,no,01-REFERENCE/model/library/body/fb-rx7-taillight-housing-scan-printables-giooig13,479 x 217 x 211,1:1,1065874,4,"Scanned mesh of the wraparound tail-lamp housing (rear of housing, bulb pockets). Scan noise, not CAD.","""3D Scanned Model of FB RX7 Tail Light Passenger Side Housing"". Real part geometry - useful for rear-panel/tail-lamp wiring and bulb socket positions. (Also saved by the parts agent.)"
