id,kind,signal,at_the_drop,on_the_wire,carrier_stage,teensy_pin,calibration,can,note
SN24,power,Logic 12 V - constant,"DP-DCU 1 ← F22, 3 A sealed inline at the dash node (D-355, N75)",16 AWG RED on the tail along RT11 to the centre stack,"SS34 → SMBJ33A → LMR36015-Q1-class 60 V buck → +5V → Teensy VIN, as the ICU (D-273); part confirmed at V-083",VIN,—,—,"Constant, so the DCU sees a panel press with the key out and pulls the wake line (SN21)"
SN25,power,Ground,DP-DCU 3 → GND bus,16 AWG BLK,"single pour, star-tied at this pin; the comfort returns come back through the shunt (SN13) and leave on DP-DCU-C 6 / 7 to the dash ground bus, never through this pin (D-382)",GND,—,—,
SN27,power,Servo rail and comfort supply in,DP-DCU-C 5 ← the luxury package's O15 block (L3-P 2) (D-382),16 AWG RED in the luxury comfort-return harness (LP49),"TPS54560B-Q1 5 A buck for the servo rail (servo_stall 1-2.5 A each; firmware moves one servo at a time, F-017); the mirror-heat BTT6050-1ERA is fed from here (D-379)",—,—,—,the comfort connector is DT13-08PA (D-382)
SN26,bus,CAN2 H / L,DP-DCU 4 / 5 ← CAN2H / CAN2L,16 AWG twisted pair YEL / GRN,"TCAN1042-class transceiver (P145), unterminated - the bus ends at the PMU and the dash node (D-346)",CAN1 / CAN2 / CAN3 - assigned at H-002,—,sends 0x300 · 0x310 · 0x320 · 0x400,"500 kbps, 11-bit (params can_bitrate)"
SN11,input,Cabin temperature,Local flying lead to a shaded dash location,10 kΩ NTC,"10 kΩ pull-up to 3V3, RC 10 kΩ / 100 nF at the connector edge",ADC,β from the datasheet; one-point check against a thermometer,0x300 byte 3,TEMP_INVALID until it reads plausibly
SN12,input,Outside-air temperature,"DP-DCU 2 — L2-S 5, ending in the L2-OAT receptacle at the nose (electrical D-274)","10 kΩ NTC in the airstream ahead of the radiator, grounded at the front star (electrical D-256)","10 kΩ pull-up to 3V3 at the DCU, RC 10 kΩ / 100 nF, BAT54S; the front-star-to-dash ground offset is tens of millivolts — negligible for display",ADC,As SN11,0x300 byte 5,Display only — there is no automatic climate control
SN13,sensor,Comfort-bus current,On the carrier — 5 mΩ shunt in the common return,INA180 shunt amplifier,"INA180A1 (gain 20, 3V3-powered) across two 10 mΩ 2512 ≥ 2 W in parallel = 5 mΩ → ADC (D-379)",ADC,Zero at no load; one known load,0x310 bytes 4–5,"INA180A1 (20x): 18 A worst case = 1.8 V at the ADC, full scale ~33 A (V-101); shunt 2512 3 W or 4-terminal 5 W"
SN14,output,Blower duty — output,Local pigtail to the final stage at L3-BLW,Logic-level PWM ≥ 20 kHz + ground (+12 V if the module wants it),Teensy PWM pin through 100 Ω; 10 kΩ pull-down so the blower is off through a reset,PWM out,Duty 0–100 % reported on the bus,0x300 byte 1 (reported),D-308: the PMU never PWMs O16 — its ceiling is 400 Hz (electrical D-257)
SN15,output,HVAC servos — output ×3,Local 3-pin headers: mode · blend · recirculate,Hobby servos on the door cables (D-073),Servo PWM through 330 Ω; own 5 V buck for the servo rail; 470 µF at the header,PWM out,"Endpoints calibrated at commissioning, stored with the climate memory",0x300 byte 0 (mode),F-001's climate.h owns the logic
SN16,output,Comfort switching — output x5,"the luxury package's O15 block → its loads (seats, mirror heat)","Seat heat ×2 · seat cool ×2 (low side) · mirror heat (high side, D-369). The nozzles and the de-icer are cancelled (D-329)","BTS3011TE protected low-side switches ×4 (seat heat ×2, seat cool ×2; 3.0-5.5 V logic, 11 mΩ, short-circuit and over-temperature protected) - the AOD4184 cannot be driven from 3.3 V (D-379). Mirror heat: BTT6050-1ERA high-side, fed from the comfort connector (P153), out on DP-DCU-B 9 (D-369)",digital out,Off-at-reset verified on the bench with a lamp as the load,0x310 bytes 0-2,"The heat/cool interlock is enforced in firmware as well (D-073). Was x7: the heated nozzle and the park de-icer are cancelled (D-329), freeing two FETs. Design currents (V-101, confirm): seat heat 5 A, seat cool 2.5 A, mirror heat 3 A the pair; fuses 7.5 / 5 / 5 A and the comfort connector's own grounds (D-382)"
SN17,output,Mirror drive - outputs ×4,"DP-DCU-B 5-8 at the DCU (L3-S3 5-8) → L4-S2 1-5 at the dash post (electrical D-360, D-362)","Each mirror is ONE reversible motor plus an electromagnetic clutch coil that selects the axis (Camden, 2026-09-21); both motors share a common","DRV8962-Q1: three half-bridges (motor common, left, right) and the fourth channel's low FET as the clutch sink (D-360, D-379); stall current still W-332's",confirm,—,none,"D-359 supersedes D-326: the DCU drives the mirrors. Input is the panel thumbstick (LP35): two analog axes + press to toggle LEFT/RIGHT. An axis picks the clutch state, its direction picks the motor polarity. The mirrors do not move with the DCU down - accepted in D-359"
SN18,input,Mirror thumbstick - X / Y axes + press,"Panel, on the local ribbon (P156, D-359)",mini 2-axis analog thumbstick with push switch - part not chosen (LP35),"two ADC inputs and one digital input (panel_ribbon 17-20: X, Y, press, its own analog ground); pots fed from +3V3 on pin 1",ADC ×2 + digital,centre and dead-band set at commissioning,none - read locally; drives SN17,confirm - no part chosen. Press toggles LEFT/RIGHT (D-359)
