code,leg,class,leg_side,box_side,cavities,wedgelocks,where,note
L1-P,L1 Engine,Power,DTP06-4S,DTP04-4P,4,WP-4S + WP-4P,Dash post,"12 AWG, size 12"
L1-S1,L1 Engine,Signal,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"16 AWG, size 16. ICU sensor wires pass through the post to DP-ICU"
L1-S2,L1 Engine,Signal,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"16 AWG, size 16. Level sensors and LS spares"
L2-P1,L2 Front,Power,DTP06-4S,DTP04-4P,4,WP-4S + WP-4P,Dash post,"Headlights + pop-up LH"
L2-P2,L2 Front,Power,DTP06-4S,DTP04-4P,4,WP-4S + WP-4P,Dash post,"Pop-up RH + 2 heavy spares. DTP is only made in 2- and 4-way (D-115)"
L2-M,L2 Front,Medium,DT06-8S,DT04-8P,8,W8S + W8P,Dash post,"14–16 AWG"
L2-S,L2 Front,Signal,DT06-6S,DT04-6P,6,W6S + W6P,Dash post,"Ladders + reference. Route apart from L2-P1/P2"
L3-P,L3 Dash,Power,DTP06-2S,DTP04-2P,2,WP-2S + WP-2P,Dash post,"Blower + comfort bus"
L3-M,L3 Dash,Medium,DT06-2S,DT04-2P,2,W2S + W2P,Dash post,"Accessory bus + head-unit constant"
L3-S1,L3 Dash,Signal,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"Every ladder and switch input"
L3-S2,L3 Dash,Signal,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"Wake sources, provisioned window commands, deferred radar power"
L3-S3,L3 Dash,Signal,DT06-8S,DT04-8P,8,W8S + W8P,Dash post,"Deferred radar link + spares"
L4-P,L4 Rear,Power,DTP06-4S,DTP04-4P,4,WP-4S + WP-4P,Dash post,"Defog, fuel pump, provisioned window bus feed, 1 heavy spare. L4-P2 deleted (D-066)"
L4-M,L4 Rear,Medium,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"Rear lamps, solenoids, provisioned window commands"
L4-S,L4 Rear,Signal,DT06-8S,DT04-8P,8,W8S + W8P,Dash post,"Sender, door pins, +5 V, deferred radar link"
D1,L4 Rear (sill),Door,DT06-08S,DT04-08P,8,W8S + W8P,Sill node,"Driver door. Zero spare cavities (D-092/093)"
D2,L4 Rear (sill),Door,DT06-08S,DT04-08P,8,W8S + W8P,Sill node,"Passenger door. Identical to D1"
DP-ICU,Drop,Module,DT06-12S,DT04-12P,12,W12S + W12P,Dash post,"ICU: power, CAN2, dimming reference, six engine sensors. The display does NOT cross this connector (D-159)"
DP-DCU,Drop,Module,DT06-6S,DT04-6P,6,W6S + W6P,Dash post,"DCU: power, CAN2. Comfort tap and servo leads are local"
DP-DIAG,Drop,Port,DTM06-4S,DTM04-4P,4,WM-4S + WM-4P,Glovebox,"CAN1 + 2 A fused constant. 120 Ω here and at the PMU"
DP-KEY,Drop,Port,DTM06-4S,DTM04-4P,4,WM-4S + WM-4P,Dash,"ECUmaster 8-key keypad: CAN2 + power + ground"
