id,system,title,date,status,supersedes,superseded_by,closes,also,body
D-365,Fluids and service,"The 3N71B gets ATF Type F, as the factory specifies; the Dexron VI bought is not for this box",2026-09-21,standing,,,CAR.01,,"**D-365 — The 3N71B gets ATF Type F, as the factory specifies; the Dexron VI bought is not for this box.** Camden's call, 2026-09-21, answering `CAR.01`: **""a""**. Closes `CAR.01`.

**The ruling.** Mazda specifies ATF Type F (Ford M2C33-F) for the 1982 3N71B automatic (`specs` SP-093, sources S-002 p.0-24 and S-003). Type F has no friction modifier. Dexron-family fluids soften this box's shifts and can make its bands slip, and there is no record of a rebuild with modern friction material that would allow them. So Type F goes in. The Valvoline Dexron VI / Mercon LV already bought (PH045, not fitted) is not used in this transmission: keep it for something else or return it.

**Why this is a decision in `00-CAR`.** It's a car-level service call, not part of any project, and `00-CAR` had no decisions table. One was added in this run so car-level rulings have a home. `00-CAR`'s fact tables still never cite a decision (§6.6, enforced by `check`): they state what the car takes, and this body says why.

**In the data.** `intervals` atf: spec is ATF Type F, and the ""owner rules which"" note is gone. `parts_history` PH045 marked ""NOT for this transmission""; PH053 added, Type F to buy, 6.2 L for a full refill (SP-094). `specs` SP-147 folded into SP-094 (they were duplicates; SP-147 was kept only while this block cited it). New `00-CAR` table `decisions` (with `_tables` and `_schema` rows)."
D-366,Fluids and service,The oil metering pump is disconnected; the engine runs on premix in the fuel,2026-09-21,standing,,,CAR.02,,"**D-366 — The oil metering pump is disconnected; the engine runs on premix in the fuel.** Camden's call, 2026-09-21, answering `CAR.02`: **""b""**. Closes `CAR.02`.

**The fact.** Option (b) of the block: ""It's disconnected and the car runs on premix (2-stroke oil in the fuel)"". On the 12A the oil metering pump fed engine oil into the factory carburettor to lubricate the apex seals (SP-024). The carburettor went with the Weber conversion (M-001), and the pump is disconnected. The apex seals now get their oil only from two-stroke oil mixed into the fuel.

**What it means.** Premix goes in at **every** fill-up, without exception. A tank without it runs the seals dry. That is now a service interval, not a habit.

**Still unknown.** The **ratio** isn't recorded anywhere. It's marked `confirm` in `intervals` premix and `mods` M-013. Camden knows it; it goes into those two rows the next time he says what he mixes. Also unknown is when the pump was disconnected (with the Weber, or after).

**In the data.** `as_fitted` Engine; `mods` M-013 (new); `intervals` premix (new, every fill); `specs` SP-024's note (the factory design, and what this car does instead)."
