id,feature,group,stage,state,decisions,note
FT01,ICU — the instrument cluster unit,cluster,—,"moved (electrical, D-259)",electrical D-258 / D-259 (was D-306),"The electrical build designs, builds and installs it with the harness; this project meets a running node and ribbons the display onto it"
FT02,Fuel level on CAN (frame 0x218),cluster,—,"moved (electrical, D-259)",electrical D-249 / D-251 / D-259,The ICU's signal from the first drive; the frame stays in this project's CAN map — the bus is one map
FT03,Oil temperature,cluster,—,"moved (electrical, D-259)",electrical D-250 / D-259,Electrical D-264 picked the sender (its P112); channel IC07 on the ICU
FT04,Road speed (VSS),cluster,—,"moved (electrical, D-259)",electrical D-252 / D-259,Electrical D-272 places the sensor (its P113); channel IC08 on the ICU
FT05,Wideband AFR on the cluster,cluster,—,"moved (electrical, D-259)",electrical D-244 / D-259 / D-266,Decoded by the ICU — the AEMnet frame is confirmed (electrical D-266); this project draws it
FT06,12.3-inch cluster display,cluster,—,"moved (electrical, D-268)","D-150 / D-192 / D-193, D-159 → electrical D-268","Installed with the ICU by the electrical build, on a plate in the binnacle; this project makes the bezel around it (FT34)"
FT07,"Performance page — G-meter, pitch",cluster,any,"moved (electrical, D-374)",D-109 / D-161 / D-157,"IMU on the ICU carrier (electrical D-265, channel IC23); this project writes the page — live on the display from the electrical build's meters cutover; this project's firmware"
FT08,Diagnostics page — 24 channels live,cluster,any,"moved (electrical, D-374)",—,Renders today against the PMU simulator; real values after V-065 — live on the display from the electrical build's meters cutover; this project's firmware
FT09,Trip / log page,cluster,any,"moved (electrical, D-374)",D-160 / D-162 / D-163,SD persistence is F-007 — live on the display from the electrical build's meters cutover; this project's firmware
FT10,Fault history to SD,cluster,any,"moved (electrical, D-374)",—,Every soft-fuse trip with a timestamp — live on the display from the electrical build's meters cutover; this project's firmware
FT11,Config-as-data on SD with a safe-mode path,cluster,any,"moved (electrical, D-374)",—,Bring-up Stage 6 (F-010) — live on the display from the electrical build's meters cutover; this project's firmware
FT12,Blower motor and its final stage,climate,S2,designed,"D-307 / D-308, electrical D-253 / D-257",2-wire motor on L3-BLW; ≥ 20 kHz low-side final stage on the DCU's PWM; O16 a steady feed
FT13,"HVAC door servos — mode, blend, recirculate",climate,S2,concept,D-073,Hobby servos pulling the existing door cables; the factory control head leaves with the plastics
FT14,Control panel - the DCU's faceplate,climate,S2,concept,D-210 → D-355 / D-359 / D-362,"The faceplate and knobs - the panel's look - are this project's; the keys, encoders, thumbstick and ribbon behind it are the electrical build's with the DCU (electrical D-374). No board and no drop: a key matrix and rotary encoders on a local ribbon to the DCU behind it. Keys: defog · hatch · fuel door · HVAC mode · fan · temperature · recirc · seat knobs · the four window commands; plus the mirror thumbstick (LP35), press toggles side (D-359). A/C mode is gone with the compressor (K-015). Frame 0x400, sent by the DCU. Parked operation is a PMU gate, not a connector: every key carries an A16 precondition EXCEPT hatch and fuel-door release, and A16 is a ladder read, never a CAN term"
FT15,Cabin and outside-air temperature,climate,S2,"moved (electrical, D-374)","D-307, electrical D-256","Display only — no automatic climate control; the outside sensor plugs into L2-OAT at the nose (L2-S 5 → DP-DCU 2, electrical D-256 / D-274), cabin sensor local to the DCU"
FT16,Rear defog trigger,comfort,S2,designed,"D-210 -> D-355, electrical D-350","O4 is wired and configured, disabled; the panel key enables it over CAN - a comfort command, fails to off. The trigger is now written: A16 >= ACC && panel_defog, with the A16 floor read from the ladder so a stray press with the car asleep cannot switch 11.5 A of grid"
FT17,Hatch release solenoid,body,S2,sourcing,D-180,"L4-M 3 runs all the way to the factory solenoid — it exists and is believed to work (Camden 2026-09-08; electrical D-274); the trigger is D-180's, through the K3 / K4 sockets at the dash node (LP51); latch switch broken (K-016) — T-032"
FT18,Fuel-door release solenoid,body,S2,designed,D-180,"L4-M 4 runs to the factory solenoid — it exists (Camden 2026-09-08, K-017 corrected; electrical D-274); the trigger is D-180's — T-032 is now only the trigger, nothing to source"
FT19,Heated seats,comfort,S4,concept,D-048 / D-073,Elements on the O15 block; knobs on the panel. D-392: seats with heating built in are searched first (LP52); the add-on pads (LP30) are on hold
FT20,Cooled seats,comfort,S4,concept,D-048 / D-074,Fans and ducting on the O15 block; heat/cool interlock in the DCU. D-392: seats with cooling built in are searched first (LP52); the add-on fans (LP31) are on hold
FT21,Heated washer nozzles / park de-icer,comfort,—,dropped,D-329,Cancelled (D-329): L2-S 6 is a sealing plug and the cowl receptacle is not fitted (electrical D-329)
FT22,Sound deadening,comfort,S4,concept,—,CLD / MLV / foam; the carpet-up event that S4's seat wiring rides on
FT23,Mirrors — adjustment and heat,body,S5,sourcing,"D-049 / D-093 / D-305 / D-332 / D-355 / D-359, electrical D-254 / D-255","The car's own FB mirrors, kept: one motor + a clutch coil each (D-359). The DCU drives them from the panel thumbstick, press to toggle side; four lines on L3-S3 5–8 to L4-S2, one clutch line shared by both mirrors (electrical D-360). Heat is a bonded pad on F14 (D-332). D1 / D2 RESERVED at the sill: the door harness is built with the mirrors"
FT24,Power windows,body,S6,provisioned,"D-131 / D-355, electrical D-350 / D-357","Everything is run and capped; motors and regulators are the work. The window keys are on the CENTRE PANEL, not the console - L3-WIN is deleted; L3-S2 3-6 terminate in DP-DCU-B 1-4 at the DCU (D-362), which drives them from the panel keys (D-355; the drive into K5-K8 is V-100). D1 / D2 are RESERVED at the sill, so the door harness is this stage's. The windows share O1 with the pop-up bus; its retry class is conditional - motor during a window command, guarded during a pop-up cycle (electrical D-357)"
FT25,Custom tail lights,lighting,S7,designed,D-107 / D-111 / L-001,"LED strip per side, driver PCB per housing; V-063 aperture, V-064 modules"
FT26,Headlamp units,lighting,S7,designed,D-110 / L-002 / D-358,4x6 rectangular DOT LED on an adapter plate in each retained bucket (D-358). V-066 - what is fitted today - now sizes the plate; it no longer picks the unit
FT27,LED bulbs and the soft-fuse reset,lighting,S7,designed,D-122 / L-003,Every lamp channel re-limited after the bulb change
FT28,Radar,radar,S8,design first,D-096,"A concealed speed-trap radar / laser detector, not proximity radar (D-383): sensors hidden where they work best, the only visible sign the warning on the cluster (0x320). Which system is block 01.11. V-061 — nothing commits until the subsystem exists — L3-RDR behind the dash and L4-RDR at the rear node are the receptacles; the run up the hatch goes in with the sensor (electrical D-274)"
FT29,"Head unit — CarPlay, gauges stay on the cluster",audio,any,criteria set,D-128 / D-129 / D-130 / D-149,Owner's own audio system (car P-007); the harness supplies the head unit's four feeds
FT30,Parking-brake tell-tale,cluster,—,"moved (electrical, D-259)",D-310 → electrical D-258,"The brake-warning node terminates at the ICU (IC06); one BRAKE tell-tale on the display, as the old cluster had"
FT31,Comfort fuse block on O15,comfort,S2,designed,"D-011, electrical D-215 / D-216","This project's block plugs into the L3-CMF receptacle behind the centre stack (electrical D-274): servo rail, seats, mirror heat (the display's backlight is the F16 aux through the ICU — D-313)"
FT32,Future dash module,spare,—,reserved,electrical D-215,L3-S2 7 / 8 → the L3-MOD receptacle behind the dash (electrical D-274) — switched 12 V and ground for anything not yet imagined
FT33,Battery state on the cluster,cluster,S3,"moved (electrical, D-374)",electrical D-267 / D-330,"Volts, amps, state of charge, temperature and the heater from the ICU's radio co-processor (frame 0x220); logged by the PMU from the first drive, drawn here at S3"
FT34,Display bezel — dash plastics around the digital display,cluster,S3,concept,electrical D-268 / D-269; D-314,"A foam plug shaped over the electrical build's binnacle plate — which stays as the sub-frame, 10 mm flange, its holes the bezel's (electrical D-269) — fibreglass skin, filler and finish (H-006); keeps the page button's place"
