id,system,item,donors,block,afm,weight_lb,usd_low,usd_high,where,url,fit,rank,confidence,note
OP01,engine,"GM 5.3 L33 (Gen III, high-output)","2005-2007 Chevrolet Silverado / GMC Sierra 1500, mostly extended cab",aluminum,no,500,300,1400,"U-pull yard (whole dressed engine ~$300-450 all in); private pullout ~$1,400 (2012 forum figure)",https://u-pull-it.com/the-junkyard-5-3-ls-swap-what-you-need-to-know/,"The best 5.3 for the FB: about 80 lb lighter than iron, no AFM, higher compression, simple Gen III electronics",target,high,"Uncommon - set alerts. Weight is a forum figure (confirm). Avoid 2001-2006 ""706"" casting heads (crack at the oil drains)"
OP02,engine,GM 5.3 LM4 (Gen III),"2003-2005 TrailBlazer EXT / Envoy XL, Chevy SSR",aluminum,no,,300,1400,U-pull yard; private pullout,https://u-pull-it.com/the-junkyard-5-3-ls-swap-what-you-need-to-know/,As light as the L33 and no AFM; rare,target,medium,Donor list partly from general knowledge - confirm by VIN code
OP03,engine,"GM 5.3 LH6 (Gen IV-style, AFM)",2005-2009 TrailBlazer / Envoy / Rainier / Saab 9-7X 5.3; some 2007-2009 trucks,aluminum,yes,,300,1400,U-pull yard; private pullout,https://u-pull-it.com/the-junkyard-5-3-ls-swap-what-you-need-to-know/,"Aluminum weight saving, but AFM must be deleted: non-AFM lifters and trays, valley cover, cam, and AFM off in the tune",acceptable,high,"AFM delete kits: Michigan Motorsports, Melling MDK300 - price not found"
OP04,engine,"GM 5.3 LC9 (Gen IV, AFM, flex-fuel)",2007-2013 Silverado / Sierra / Tahoe / Yukon,aluminum,yes,,300,1400,U-pull yard; private pullout,https://www.speedwaymotors.com/the-toolbox/gen-4-ls-engines-junkyard-ls-swap-identification-guide-part-2/29891,Light and very common in 2007+ trucks; AFM delete as OP03; Gen IV electronics need more of the matching GM parts to run,acceptable,high,On an LC9 the delete valley cover is one without PCV (the PCV is in the valve cover)
OP05,engine,GM 5.3 LM7 (Gen III),1999-2007 Silverado / Sierra / Tahoe / Suburban / Avalanche,iron,no,580,300,1500,"U-pull yard; private pullout $500-1,500; remanufactured long block $2,799 (Powertrain Products, 3-year warranty)",https://www.powertrainproducts.net/product/1999-2007-gm-lm7-l59/,The cheapest and most common - the fallback if no aluminum engine turns up,fallback,high,About 80 lb heavier than the L33
OP06,engine,"GM 5.3 LMG / LY5, 4.8 LR4, 6.0 LQ4 / LQ9 (iron)","Trucks, SUVs, vans 1999-2014",iron,n/a,580,300,1500,U-pull yard,https://www.speedwaymotors.com/the-toolbox/junkyard-ls-swap-identification-guide-part-1/29887,Heavy iron; LMG/LY5 also carry AFM. Only if nothing lighter is found,avoid,high,The Speedway guide wrongly lists LR4/LM7 as aluminum; OnAllCylinders gives the iron blocks
OP07,engine,GM 5.3 LS4 (front-wheel-drive),"Impala, Grand Prix",aluminum,yes,,,,-,,"Transverse, front-wheel-drive - cannot go in a rear-drive car",avoid,high,
OP10,transmission,Nissan CD009 / CD00A 6-speed manual,"2005+ Nissan 350Z, Infiniti G35 coupe and 6MT sedan (confirm on the bellhousing tag)",n/a,n/a,,1650,2150,"eBay used, mostly $1,400-1,800 plus $250-375 freight; new OEM CD00A about $1,700-2,300",https://www.ebay.com/p/2301005899,"The plan (00-CAR P-006). Strong. But taller and longer than Mazda boxes: fits the FD tunnel, needs fab in the FC, and no FB build with one was found - measure the tunnel first",target,medium,"Earlier CD000-CD008 have weak synchros. The year cutover is disputed - buy 2005+ and confirm the tag (often missing, case parts can carry mixed stampings). GL-4 fluid only. 2007+ JK boxes have an internal slave and need a different adapter"
OP11,transmission,Tremec T56 (1998-2002 F-body),Camaro / Firebird LS1,n/a,n/a,,1800,3000,"Used, forum and snippet prices",https://threepedals.com/finding-a-t56/,Bolts straight to an LS - no adapter; an FB build fitted one near the stock position after cutting the mounts,acceptable,medium,Prices from snippets
OP12,transmission,GM 4L60E 4-speed automatic,GM trucks - often with the donor engine,n/a,n/a,,110,1000,"U-pull flat price $105-126 plus core; junkyard $500-1,000",https://www.u-pullandsave.com/price-list,"The budget path, and the car is an automatic today. Good to about 400 hp; needs a controller or the ECU to shift it",fallback,medium,
OP20,adapter,Sikky LS to CD00x adapter kit,-,n/a,n/a,,1765,1765,"Sikky ($1,724.97 plus ARP 244-2902 flywheel bolts $39.99)",https://www.sikky.com/product/lsx-cd00x-transmission-adapter-kit/,No bellhousing cutting; uses 350Z clutch parts off the shelf; fits CD001-CD009; may need a relocation shifter,target,high,
