id,seq,situation,step,detail
RC01,1,always,Open the master disconnect before you touch anything.,"Blue Sea 9003e at the battery POSITIVE in the cargo bin (D-319, D-351). A high-side MOSFET fails SHORT, not open: an output can be live with the key out and the module asleep, and this switch is the only thing that is certainly off. Shut the engine down before you open it - there is no aux pole to drop excitation first (D-351), and the TVS across the PMU feed (P136) is what absorbs a load dump"
RC02,2,soft fault,Decide which fault you have. Key on: do the PMU's LEDs light?,"LEDs and CAN alive means a soft fault - a tripped channel, a mis-set soft fuse, a bad expression - and RC03 onward fixes it in ten minutes. Dead LEDs with 12 V at the stud is a dead module: go to RC06."
RC03,3,soft fault,Plug the laptop into the diagnostic port in the glovebox with the USB-to-CAN cable that lives in the car.,"DP-DIAG, CAN1, fixed 1 Mbps, 120 ohm inside the plug and 120 ohm at the PMU end. F2 feeds the port at 2 A. The cable and the current config file live in the glovebox with it - that is the whole point of D-322."
RC04,4,soft fault,Read pmu.status and the per-output status.,"pmu.status is the maximum of every output's status, so it says there is a fault, not which. Then read each o.status: 0 OFF, 1 ACTIVE, 2 UNDERCURRENT, 3 OVERCURRENT, 7 THERMAL SHUTDOWN. 2 is a dead bulb and stops nothing. 3 is a tripped soft fuse. 7 is the hardware's own thermal limit and no configuration gets past it."
RC05,5,soft fault,"Clear it and drive home: force the output on, or raise that one channel's Max Current far enough to hold, and write down what you changed.","A raised soft fuse is a hole in the protection - it gets you home and it is the first thing to put back. If the channel trips again immediately, stop: a repeating OVERCURRENT is a shorted conductor and the fuse is doing its job. Save the changed config over the file in the car so the copy in the glovebox and the copy in the module never disagree."
RC06,6,dead module,"Confirm the module is dead, not starved: 12 V at the PMU stud with the disconnect closed, 12 V at pin 7 with the key in RUN, and no LEDs.","If pin 7 is dead the fault is upstream - the ignition switch, F3's branch or the wake strip - and the PMU is fine. If the stud is dead the fault is the Class-T, the 2 AWG or the disconnect itself."
RC07,7,dead module,"Open the disconnect. Run TWO temporary feeds from the dash-node busbar, each through its own inline fuse, to the load side of the PMU's output conductors at the node.","Fuel pump, the O5 conductor, 10 A - land it on K13 terminal 87, DOWNSTREAM of the series relay, so the key still gates the pump exactly as it does with a live module (D-352). Ignition, the O12 conductor, 20 A - it carries F15's alternator excitation and F16 as well as the coils. That is all. Land them on the conductor at the node, never on the PMU's pins, and leave the PMU's own output disconnected so a half-dead module cannot back-feed. There is no brake-lamp feed: D-353 dropped it rather than run the lamps constant."
RC08,8,dead module,Understand what you are driving. The disconnect is now the key.,"Ignition and the fuel pump are live whenever the disconnect is closed, so the car starts and stops on that switch and it is opened whenever you walk away. Cranking still works on the key: K9's contact current comes from F17 at the starter stud and only its coil is O21 - if the coil is dead it is a push start or a jumper across K9."
RC09,9,dead module,"Know what you do not have: brake lamps, tail and park, headlights, turn signals, hazards, wipers, washer, horn, reverse lamps, interior light, the ICU and the display.","That is a DAYLIGHT, DRY, SHORT drive home and nothing else. A constantly lit brake lamp is not rear presence, it is false brake indication, so the feed is not run at all (D-353). The real hazard is not the drive, it is being stopped and dark: if the car stops, put the beacons out before anything else."
RC10,10,always,"Afterwards: put the soft fuse back, pull the temporary feeds, and write down what failed.","A limp-home wire left in place is the next fault. The bag holds two inline holders and their fuses, the USB-to-CAN cable, the current config file, a printed copy of this table and the beacons - and nothing of it is ever fitted to the car (P138, P139)."
