id,rating,location,block,pos,feeds,fed_from,state,label
Class-T,150 A,"Cargo bin, at battery +",,,The whole PMU system — 2 AWG to the dash post,Battery + (through the master disconnect),LIVE,MAIN
MRBF,250 A,"Cargo bin, on battery +",,,"Starter main cable — 250 A sized to the 1/0 cable D-246 fitted, not to the load (D-321)",Battery +,LIVE,STARTER
F1,10 A,"Dash node, block B (K11)",B,1,Head unit memory / constant — L3-M 2,K11 87,LIVE,HEAD-UNIT
F2,2 A,"Dash node, block A (busbar)",A,1,Diagnostic port +12 V — DP-DIAG 3,Busbar,LIVE,DIAG
F3,5 A,"Dash node, block A (busbar)",A,2,"Switch supply — ignition switch, light switch, wake stages — L3-S2 2",Busbar,LIVE,SWITCH
F8,,"Sill node, sealed inline holder fitted — no fuse this build",,,Window branch DRV — the luxury package drops the fuse in (D-283),O1 via L4-P 3 (capped),EMPTY,WIN-DRV
F9,,"Sill node, sealed inline holder fitted — no fuse this build",,,Window branch PASS — the luxury package drops the fuse in (D-283),O1 via L4-P 3 (capped),EMPTY,WIN-PASS
F12,5 A,"Dash node, sealed inline",,,Interior lamp — L4-M 8,O20,LIVE,INTERIOR
F13,,"Dash node, block A (busbar)",A,4,"Future module — position labelled, no fuse",Busbar,EMPTY,—
F14,,"Sill node, sealed inline holder fitted — no fuse this build",,,Mirror heat — the luxury package drops the fuse in (D-283),O15 via L4-P 4 (capped),EMPTY,MIRROR-HEAT
F15,7.5 A,"Dash node, sealed inline",,,Alternator excitation — L1-S1 2,O12,LIVE,ALT-EXCITE
F16,5 A,"Dash node, sealed inline",,,"The display's backlight, ignition — DP-ICU-A 6 through the ICU carrier (D-268)",O12,LIVE,DISPLAY
F17,30 A,"Engine bay, MIDI holder at the starter B+ stud",,,Start relay K9 contact 30 (10 AWG),Starter B+ stud,LIVE,START-RLY
F18,100 A,"Engine bay, MIDI holder at the starter B+ stud",,,Alternator B+ cable (6 AWG),Starter B+ stud ← alternator,LIVE,ALTERNATOR
F19,3 A,"Dash node, block A (busbar)",A,3,Courtesy lamps — glove box (L3-S2 10) + luggage (L4-S 8),Busbar,LIVE,COURTESY
F20,7.5 A,"Dash node, sealed inline",,,Wideband gauge (controller) +12 V — hidden at the dash node,O12,LIVE,WIDEBAND
F21,5 A,"Dash node, sealed inline",,,Kick-down switch supply - L3-S2 12,O12,LIVE,KICK-DOWN
F22,3 A,"Dash node, sealed inline",,,"DCU logic, constant - DP-DCU 1",Busbar,LIVE,DCU-CONST
