id,rule,definition
flasher,Flasher,"1.5 Hz, 50 % duty, generated in the PMU. `hazard` = A8 == HAZARD \|\| A8 == HAZ+HORN. Hazard overrides the stalk and works with the key out"
pop-up-cycle,Pop-up cycle,"A15 entering HEAD, or leaving HEAD, or A8 == WINK_L / WINK_R with A16 <= ACC → energise O1 until the transit bit clears on BOTH sides (A4 in IDLE/CRANK_OK and A5 in IDLE/REVERSE), minimum 300 ms. 4 s with either still showing transit = obstruction: O1 off, fault flag. A held wink switch opens the OTHER side's relay coil return, so only the winked lamp moves"
wiper-park,Wiper park,"When the stalk goes to OFF with the wipers running, hold O8 until A3 reads PARKED (or BRAKE+PARKED), then release — braking stops the arm at park. Intermittent: 3 s pause between full sweeps, each sweep runs until PARKED. One-touch: LOW held < 400 ms → one sweep to PARKED (D-225)"
washer,Washer,"WASH also holds O8 on; K12 closes only while the stalk contact is pressed, so the pump runs only while the driver holds WASH. After release, keep O8 on for two more sweeps"
crank,Crank,"O21 only in P or N — the inhibitor bit alone, whether or not the left pop-up happens to be in transit (D-240): A4 == CRANK_OK or TRANSIT+PN. Release O21 when A16 leaves START"
motor-bus,Motor bus,Refuse a new pop-up command while O1 reads above 20 A
voltage,Voltage,"Warn below 12.0 V. Below 11.5 V shed COMFORT, INTERIOR and ACCESSORY (D-248 — COMFORT alone had no load to shed). Warn above 15.0 V"
retry,Retry and latch,"Split by fault type (D-279). Hard overcurrent: bounded fast retries, then latch, then flag. Open-load or thermal: no latch. NEVER a silent latch on a safety channel — a latched stop lamp or headlamp must annunciate, because a latched-off headlamp at night is worse than a flickering one. Motors trip on a stall timer, not a current spike"
sleep,Sleep,"Any wake-strip input high wakes the PMU. With no key, no door and nothing on A8, KEEP_ALIVE drops 30 s after the last change and the PMU sleeps; K11 opens with it (audio memory relies on the head unit's own non-volatile memory). A stuck door cannot hold the car awake: with A16 == OFF, KEEP_ALIVE releases after 30 minutes whatever A6 reads (D-248)"
health-band,Output health band,"Each output's healthy current is a band around a MEASURED baseline, never a typed figure. `pins.baseline_a` is read live in the client at shakedown (CK01) and the band derives from it: a lamp channel flags below 0.5 x baseline_a and a motor channel above 1.5 x baseline_a. The low half is the PMU's own Min Current parameter, which raises UNDERCURRENT and does NOT switch the output off (D-279) - it is an annunciator and no logic may be built on it. The high half is a written function, not the soft fuse: `enable_a` is unchanged by any of this. The PMU cannot measure below its own floor - about 0.5 A typical and up to 2 A on the 25 A outputs (O1-O5, O12-O16), about 0.2 A on the 15 A outputs (O6-O11), about 0.1 A on the 7 A outputs (O17-O22) - so a channel whose baseline is under four times its floor gets no band at all. O21 at 0.2 A and O22 at 0.2 A are that case and get none."
retry-class,Retry class,"Every output carries a `logic.retry_class` and the class sets the PMU's Retry count / Retry every / Retry forever fields. D-279 set the policy; this names it so one output cannot quietly differ from its peers. lamp - 3 retries at 5 s, then latch AND annunciate; a safety channel never latches silently. motor - 5 retries at 15 s, no latch; a stall timer governs, not a current spike, because a stalled wiper is a thermal event. critical - 1 retry at 2 s, then off until the key leaves RUN; a fuel pump or an ignition that trips twice is a fault, not a nuisance. guarded - 1 retry, then off and flag: a trip here means something is physically in the way, so retrying is the wrong answer. O1 during a pop-up cycle is the only one, and the D-186 obstruction timeout is its real handler. conditional - the class follows the consumer the PMU last commanded on the channel; MOTOR_BUS is the only one (D-357): guarded while popup_cycle is true, motor while only window_req is, and guarded whenever both are, because a pop-up obstruction is the case that must never be retried through. none - the channel does not retry."
water-ingress,Water ingress,"The Mercedes rear-SAM failure is water down a seal into a module, and the FB leaks at the cowl seam and the windscreen with the dash node sitting under both. So: every conductor enters the PMU, the dash node and each sill or rear panel from below or with a drip loop; nothing mounts in the lowest 50 mm of the footwell; the PMU's 39-way faces down or sideways and never up. Where the water actually goes when the cowl drains block is CK04, looked at with the dash out at M-1 - the rule is written now because moving a bracket then costs nothing and moving it later costs the dash."
emc-routing,CAN and pulse routing,"The shielded tach core (L1-S1 6, drain to the GND bus at the dash-node end only) crosses ignition leads at 90 degrees and never runs parallel to one within 50 mm. The engine leg carries the tach past four coil and igniter leads, which is the worst run in the car. CAN2 no longer leaves the dash (D-318), so its exposure is the dash itself: the pair keeps the same 50 mm from the blower and wiper motor leads and from the O1 pop-up motor bus, and it stays twisted to the drop. Nothing else about CAN2 changes."
spare-capacity,Spare capacity,"There is none at the module, and that is the fact to design around. The PMU-24 DL's 39 positions are all allocated: A1-A8 are the eight dedicated 0-5 V analog inputs and all eight are used; A9-A14 are configured as outputs O17-O22; A15 and A16 are the headlight and key ladders; O1-O16 are all assigned, O13 and O14 capped for the swap. There is no free input and no free output. Growth therefore never starts with a channel. It starts with: a new relay socket at the dash node - K3 and K4 are empty but earmarked for the luxury package's release triggers (D-180, D-274), so they are not spare capacity; the empty block-A position F13 and the spare block-B position; the O15 comfort bus, which the luxury package fuses and splits itself; the capped module drops DP-DCU, L3-MOD, L3-RDR / L4-RDR and the L3-S3 / L4-S pass-throughs (DP-KEY and L3-WIN were deleted by D-350); and a second PMU, which the module supports up to five in tandem. If a channel must be freed, the candidate is the glovebox and luggage courtesy lamps, already sharing F19. The two capped module drops that once shared O10 are gone from it: DP-DCU 1 went constant on F22 and the key-panel drop was deleted (D-350)."
cavity-numbers,Cavity numbers,"A cavity number in this record is the number moulded into the housing itself. Read it off the part; never derive it from a drawing and never mirror it. That is a reason the DT family suits this build: the number is on the moulding, so there is no wire-side / mating-side convention to get backwards. A factory plug is different: `lands_on` carries Mazda's terminal LETTER from the factory diagram, not a cavity number, and the two never share a cell."
