id,part,round,rank,product,maker_pn,vendor,url,usd,qty,meets,why,drawbacks,confidence,confirm,recommend,verdict,said,decided,decision
PK001,LP17,1,primary,"Four Seasons blower motor, motor only",Four Seasons 35483,RockAuto,"https://www.rockauto.com/en/parts/four+seasons,35483,blower+motor,6916",37,1,"Listed for 1979-83 and 1985 RX-7; the interchange list carries Mazda 8871-76-453 (the OE number). 12 V, 2 wires, flanged, 3.0 in dia x 3.875 in, shaft 0.268 in x 2.06 in",The only current aftermarket motor that lists FB fitment; 2-wire as L3-BLW wants; cheap and in stock,"It ships WITHOUT the fan wheel. The record assumed the squirrel cage transfers, but the factory motor is gone, and no aftermarket wheel for the FB turned up. The wheel must come from the old assembly or be found used. Its current draw is published nowhere; the record plans 12-18 A on high, a forum estimate says about 5 A. Do not buy 35677, which is the 1984-85 part",medium,"That the original fan wheel still exists and its bore fits the 0.268 in shaft; the real amps on high, measured (then LD09 and the O16 limit are set from it)",,accepted,"i still have to old one with the fanwheel, rock auto is perfect",2026-09-23,D-391
PK002,LP17,1,runner-up,"Genuine Mazda blower motor with its wheel, used or new old stock",Mazda 8871-76-453,eBay / salvage,https://www.ebay.com/b/Blower-Motors-for-Mazda-RX-7/33546/bn_1435767,,1,"The factory part, with the correct wheel",Guaranteed to fit the heater box and brings the wheel - solves the missing-wheel problem,"A 40-year-old motor: worn brushes and bearings, no warranty; supply is sporadic and the price is unknown",low,Price and condition per listing,,unused,,2026-09-23,
PK003,LP18,1,primary,Pololu G2 High-Power Motor Driver 24v21,Pololu #2995,Pololu,https://www.pololu.com/product/2995,57,1,"PWM to 100 kHz (run it at 25-40 kHz, above hearing); inputs take 1.8, 3.3 and 5 V logic, so the Teensy drives it directly; 6.5-40 V (40 V absolute max); short-circuit, reverse-voltage and undervoltage protection; current-sense output 0.02 V/A; 1.3 x 0.8 in, fits the resistor-pack hole","Silence was the whole point of the >= 20 kHz stage (D-257), and this is the one that is truly silent. It also has the most voltage headroom, and its current sense lets the DCU spot a seized motor. Pololu is a reputable maker","Rated 21 A continuous without a heat sink - BELOW the record spec of >= 25 A. It is fine if the blower draws what it probably draws (5-18 A in its own airflow), but it does not meet the letter of the spec, so accepting it widens LP18 to 21 A. It is an H-bridge board, not a low-side switch: the motor goes across its two outputs, and a Schottky across the motor is still worth adding. Bare board, not automotive-rated, no over-temperature cutoff; conformal-coat it",medium,The motor's real amps (PK001) - under about 15 A this is clearly right; board mounting in the airflow,"(a), unless you want the letter of the 25 A spec over silence - then veto it and the held Cytron (30 A, but at 20 kHz a faint whine is possible) goes up next.",accepted,"a i will monitor battery life when blasting for hours, (worth noting in enine swap that alternator needs to be beefy)",2026-09-23,D-391
PK004,LP18,1,runner-up,Cytron MD30C R2 30 A DC motor driver,Cytron MD30C R2,MakerMotor,https://makermotor.com/pn00218-cyt6-cytron-30a-dc-motor-driver-md30c/,39,1,"30 A continuous, 80 A for 1 s; 3.3 V and 5 V logic; PWM up to 20 kHz; 5-30 V","Meets the >= 25 A letter of the spec with margin, inside budget","20 kHz is its ceiling, right at the edge of hearing, so a faint whine is possible - the thing D-257 exists to avoid. The 30 V maximum is thin for a car and needs a TVS on its input. Bare board, no over-temperature shutdown",medium,A whine test on the bench; board size against the resistor hole,,unused,,2026-09-23,
PK005,LP19,1,primary,FEETECH FS5115M high-torque analog servo,FEETECH FS5115M (Pololu #3426),Pololu,https://www.pololu.com/product/3426,32,4,"All-metal gears, two ball bearings, 15.5 kg-cm at 6 V; 500-2500 us pulse, about 180 degrees; Pololu states it runs on 3.3 V and 5 V signals, so the DCU's 3.3 V through 330 ohm is fine","Plenty of torque for cable-pulled doors, metal gears, a reputable seller that documents 3.3 V compatibility, and analog, so it does not hunt and chatter against cable preload the way a digital servo does","Four cost about $128, just over the $60-120 budget (5+ are $30.14 each). Stall current is over 3 A at 6 V, above the 1-2.5 A the DCU rail assumed; the 5 A rail still covers one servo moving at a time (F-017 already sequences them). Pololu warns that stalling or back-driving damages it, so the firmware must stop short of the door stops. No temperature rating is published (hobby servos are usually 60 C) and it is not sealed",medium,Behind-dash temperature in summer; set endpoints at commissioning so it never stalls,,accepted,yes worth the extra for better servos,2026-09-23,D-391
PK006,LP19,1,runner-up,"DSSERVO DS3218MG 20 kg digital servo, 180-degree version",DS3218MG,SpeedyFPV,https://speedyfpv.com/products/ds3218mg-digital-servo-high-speed-high-torque-metal-gear-waterproof-20kg-torque-180-degrees-w-accessories,13,4,"19-21.5 kg-cm, metal gears, aluminium middle case, listed IP66; 4.8-6.8 V","Cheap enough to buy spares, and sealed against condensation and dust","A clone-market part with variable quality; stall current, temperature rating and 3.3 V signal acceptance are unpublished. Being digital it holds position with current and may buzz against cable preload unless pulses stop after each move",low,Bench-test one on 3.3 V through 330 ohm first,,unused,,2026-09-23,
PK007,LP21,1,primary,"Blue Sea Systems ST Blade Fuse Block, 6 circuits, with cover",Blue Sea 5028,Amazon / Walmart / Defender,https://www.bluesea.com/products/5028/ST_Blade_Fuse_Block_-_6_Circuits_with_Cover,,1,"6 bussed positions, 30 A per circuit, 100 A per block, 32 V DC; ATO/ATC fuses; clear latched cover with 2 spare-fuse slots and labels; #10-32 input stud","Exactly the block LP21 describes: six bussed positions and a cover, with about 4x headroom over the ~25 A it will carry; no negative bus, which is not needed",The #10-32 input stud needs the right ring terminal on the O15 feed; the footprint is unconfirmed but should be a little under the 5025's 3.3 x 4.9 in,high,Price (probably $28-40) and that it fits behind the centre stack,,accepted,"follow recommendations, i will make space work",2026-09-23,D-391
PK008,LP21,1,runner-up,"Blue Sea Systems ST Blade Fuse Block, 6 circuits, negative bus and cover",Blue Sea 5025,12 Volt Power,https://www.12voltpower.com/product/blue-sea-5025-fuse-block/,38,1,Same ratings as the 5028 plus a ground bus; 3.32 x 4.9 x 1.52 in,"Same quality, price confirmed",The ground bus it adds is not needed and makes it bigger,high,,,unused,,2026-09-23,
PK009,LP30,1,primary,"Universal 2-seat carbon-fibre seat heater kit, 4 pads (pads only are used)","generic, code Z2.ZYJR01.H",NPBoosted,https://www.npboosted.com/products/universal-2-seats-heated-seat-heater-kit-12v-carbon-fiber-round-high-low-switch,85,1,"Four pads, 480 x 280 x 5 mm, 27 W +/- 3 W each, so two pads per seat is about 5.1 A at 13.5 V (5.6 A at the top of tolerance): under the 7.5 A fuse and the BTS3011TE's 10 A. A thermostat on each pad, 65 C (+10/-5)",The only candidate whose listing states a thermostat and its trip temperature - the heater is a safety load and must have its own cutoff. Within budget for both seats,"Unbranded, and quality varies by seller. Listings for the same kit say the pads cannot be cut, and heater pads block air: on a seat that is also ventilated (LP31) the pads have to sit around the vent area. Not yet confirmed that the thermostat is in series inside each pad rather than in the kit's harness, which is thrown away - if it is in the harness, the protection is lost",medium,"Thermostat is inline on the pad's own leads (a meter across a pad, cold and hot); the FB cushion and back insert are at least 280 mm wide; pad and vent layout on the same seat",,vetoed,"no for now, i want to first look for seats with heating/cooling and likely electric controls",2026-09-23,D-392
PK010,LP30,1,runner-up,"Rostra universal carbon-fibre seat heater, one per seat",Rostra 250-1870 (x2),M&R Electronics,https://www.mnrelectronics.com/250-1870-rostra-universal-seat-heater/,86,2,267 x 483 mm pads; temperature sensors on the bottom and back pads with continuous overheat monitoring,"An established US maker of aftermarket seat heaters, with protection designed in on both pads","About twice the budget ($172 for two seats). Pad current is not published, and it is not confirmed whether its sensors are series thermostats or feed a control box in the harness - if they feed a control, discarding the harness loses the protection. The pads cannot be trimmed",medium,The install manual in hand,,unused,,2026-09-23,
