pin,cav_size,ch,name,type,awg,colour,circuit,goes_to_fixed,est_a,enable_a,enable_basis,inrush_x,inrush_ms,state,note
STUD,stud,,+12V BATT,MAIN,2,RED,"Main supply from the Class-T, 150 A max",Busbar → PMU stud,,,,,,LIVE,
25,L,,GND,GND,10,BLK,Device ground and flyback return for every inductive load,"GND bus, ≤ 6 in",,,,,,LIVE,
7,S,,+12V SW,WAKE,16,BLU,Wake input — diode-OR strip: ACC · RUN · door stage (A6) · horn/hazard/wink stage (A8) · O22 latch,Wake strip common rail,,,,,,LIVE,
15,M,,+5V OUT,REF,16,PNK,+5 V reference — dash node only: the two 100 kΩ bias resistors for A15 / A16,Bias resistors on the dash node,,,,,,LIVE,
23,S,CAN1H,CAN1H,CAN1,16 tw,YEL,"Laptop / config bus, 1 Mbps. 120 Ω at BOTH ends (PMU end + port)",DP-DIAG 1,,,,,,LIVE,
36,S,CAN1L,CAN1L,CAN1,16 tw,GRN,Laptop / config bus,DP-DIAG 2,,,,,,LIVE,
24,S,CAN2H,CAN2H,CAN2,16 tw,YEL,"Vehicle bus 500 kbps — software termination ON at the PMU, 120 Ω at the engine-bay drop",L1-S1 9 · DP-ICU 3 · DP-DCU 4 · DP-KEY 1,,,,,,LIVE,
37,S,CAN2L,CAN2L,CAN2,16 tw,GRN,Vehicle bus,L1-S1 10 · DP-ICU 4 · DP-DCU 5 · DP-KEY 2,,,,,,LIVE,
38,L,O1,MOTOR_BUS,output,12,RED,Pop-up motor bus — one splice feeds K1 / K2 contacts (30) and both coils (86); the PMU's soft fuse is the branch protection,,9.5,25.0,cap,7,400,LIVE,
39,L,O2,HEAD_LOW,output,12,RED,"Headlight LOW, both lamps",,3.0,25.0,cap,3,200,LIVE,
26,L,O3,HEAD_HIGH,output,12,RED,"Headlight HIGH, both lamps + the cluster high-beam indicator",,3.5,25.0,cap,3,200,LIVE,
13,L,O4,DEFOG,output,12,RED,Rear defog grid — wired; channel configured and DISABLED (no control surface in this build),,11.5,25.0,cap,1.3,2000,LIVE,
12,L,O5,FUEL_PUMP,output,12,RED,Fuel pump — Carter P4070,,2.0,4.0,meas,3,150,LIVE,
2,L,O12,IGNITION,output,12,RED,Ignition — coils and igniters; also the F15 alternator-excitation branch and the F16 cluster branch,,5.0,25.0,cap,2,100,LIVE,
1,L,O13,LS_ECU,output,12,RED,Reserved for the LS swap — ECU + injectors,,,,,,,CAPPED,
14,L,O14,LS_FAN,output,12,RED,Reserved for the LS swap — cooling fan,,,,,,,CAPPED,
27,L,O15,COMFORT,output,12,RED,Comfort bus — the capped dash feed only. No fuse block this build; the luxury package adds its own on this output,,,,,,,LIVE,
28,L,O16,BLOWER,output,12,RED,Blower motor (new motor — speed selected by the resistor pack and switch on the ground side),,15.0,25.0,cap,8,600,LIVE,
11,S,O6,TAIL_PARK,output,14,ORN,Tail · park · side markers · licence,,4.4,7.5,meas,10,100,LIVE,
10,S,O7,BRAKE,output,14,ORN,Brake lamps,,3.9,9.5,meas,10,100,LIVE,
9,S,O8,WIPE_LOW,output,14,ORN,Wiper LOW brush — braking channel; also feeds K12 (washer) contact 30,,4.0,13.0,cap,7,300,LIVE,
5,S,O9,WIPE_HIGH,output,14,ORN,Wiper HIGH brush,,5.5,13.0,cap,7,300,LIVE,
4,S,O10,ACCESSORY,output,14,ORN,"Accessory bus — head unit (ACC), USB-C, K12 coil; three capped module drops",,2.5,13.0,cap,2,100,LIVE,
3,S,O11,HORN,output,14,ORN,"Horns, both",,6.0,13.0,cap,3,80,LIVE,
6,S,O17,TURN_L,output,16,RED,Turn LEFT front + rear + cluster indicator — flashed in the PMU,,4.2,4.5,meas,10,100,LIVE,
33,S,O18,TURN_R,output,16,RED,Turn RIGHT front + rear + cluster indicator,,4.2,4.5,meas,10,100,LIVE,
20,S,O19,REVERSE,output,16,RED,Reverse lamps,,3.9,7.0,cap,10,100,LIVE,
34,S,O20,INTERIOR,output,16,RED,"Interior lamp (via F12, PWM theatre fade) + illumination bus (dash lamps, cluster, head unit)",,2.5,7.0,cap,10,100,LIVE,
21,S,O21,START_RLY,output,16,RED,Start relay K9 coil,,0.2,7.0,cap,2,50,LIVE,
8,S,O22,KEEP_ALIVE,output,16,RED,Keep-alive — feeds the wake strip through a diode and drives K11 (head-unit constant master),Wake strip input 5 · K11 86,0.2,7.0,cap,2,0,LIVE,
35,S,A15,HEADLIGHT_SW,input,16,GRY,"Headlight switch ladder — OFF / PARK / HEAD-LO / HEAD-HI / PASS (12 V side, 12-bit)",,,,,,,LIVE,
22,S,A16,KEY_POS,input,16,GRY,"Key ladder — OFF / ACC / RUN / START (summed, 12 V side, 12-bit)",,,,,,,LIVE,
29,S,A1,TURN_STALK,input,16,GRY,Turn stalk — LEFT / OFF / RIGHT,,,,,,,LIVE,
16,S,A2,WIPER_STALK,input,16,GRY,Wiper stalk — WASH / HIGH / LOW / INT / OFF,,,,,,,LIVE,
30,S,A3,BRAKE_PARK,input,16,GRY,Brake pedal + wiper park sense — 4 states,,,,,,,LIVE,
17,S,A4,POPUP_L,input,16,GRY,Pop-up LEFT transit contact + inhibitor P/N contact,,,,,,,LIVE,
31,S,A5,POPUP_R,input,16,GRY,Pop-up RIGHT transit contact + inhibitor R contact,,,,,,,LIVE,
18,S,A6,DOOR_PINS,input,16,GRY,"Door jamb switches, driver + passenger — 4 states",,,,,,,LIVE,
32,S,A7,FUEL_LEVEL,input,16,GRY,Fuel sender tap — the factory gauge drives the sender; the PMU only reads the node,Tap on the L4-S 1 → DP-CLU 7 conductor,,,,,,LIVE,tap L4-S 1
19,S,A8,HAZ_HORN_WINK,input,16,GRY,Hazard · horn · wink L · wink R — one summed ladder,,,,,,,LIVE,
