table,purpose
decisions,"every ruling, permanent, newest last; its full text is in body (D-405)"
features,
log,"what happened, one row per action"
parts,every part this project buys or fits
provisions,
retired,terms that must no longer appear anywhere
stages,
work,the work list; owner says who does it
picks,"part suggestions: one row per product the agent proposes for a parts row, with why, drawbacks and Camden's verdict in his own words; shown one at a time in the app's Picks page (D-388, D-405)"
lamps,"every factory bulb position in the car, what replaces it (an LED bulb, an LED unit, the custom tail light) or why it goes, and the parts row that covers it - so no parts round misses a lamp (D-397)"
blocks,"open questions only Camden can answer, one row each; deleted once a decision closes it (§4, D-405)"
inbox,"his answers waiting to be applied, one file per answer per device (D-405)"
