id,system,title,date,status,supersedes,superseded_by,closes,also,body
D-007,What the electrical build reserves for the swap,O13 and O14 (25 A) are reserved for the swap engine's ECU/injectors and…,,inherited,,,,,"**D-007 — O13 and O14 (25 A) are reserved for the swap engine's ECU/injectors and cooling fan**, wired to the engine leg and capped at the bulkhead (L1-P 2, L1-P 3). Three 16 AWG sensor spares (L1-S2 4–6) and the CAN2 drop (L1-S1 9/10, with the bus's far-end 120 Ω terminator across it) are capped in the same place."
D-211,What the electrical build reserves for the swap,The engine leg (L1) is built to be cut off at the firewall grommet and…,,inherited,,,,,"**D-211(d) — The engine leg (L1) is built to be cut off at the firewall grommet and rebuilt from scratch at the swap.** It carries only what the 12A on the mounts needs today — no stubs to nothing, no connectors marking where something used to be. The reservations above are the only exceptions. Everything else about the new engine's wiring — ECU, sensors, fans, a PMU-driven A/C clutch and pressure transducer — is designed here, around whatever the engine is.

**D-211 — The 12A's A/C system comes out and cooling returns with the new engine.** The compressor, bracket, condenser and hoses are boxed and kept (FB A/C hardware is scarce). The new system is a new compressor on the new engine, a PMU-driven clutch and a pressure transducer — not the 1982 relay chain."
D-091,What the electrical build reserves for the swap,"The main feed is 2 AWG, sized for the swap engine, not the 12A",,inherited,,,,,"**D-091 — The main feed is 2 AWG, sized for the swap engine, not the 12A**, so the tunnel is never pulled a second time."
D-183,What the electrical build reserves for the swap,The PMU's fuel-pump and start-relay rules gain their rpm terms once rpm…,,inherited,,,,,"**D-183 — The PMU's fuel-pump and start-relay rules gain their rpm terms once rpm is on CAN2.** The ICU publishes it on `0x200` from the first drive (electrical D-259); the ECU's own arrives on `0x500+` at the swap. Either is a *secondary*, fail-open term — the primary gate is the hardwired oil-pressure node on A7 (electrical D-249 / D-251)."
D-187,What the electrical build reserves for the swap,"The automatic's inhibitor switch is read on A4 (P/N, crank interlock)…",,inherited,,,,,"**D-187 — The automatic's inhibitor switch is read on A4 (P/N, crank interlock) and A5 (R, reverse lamps) through the engine leg (L1-S1 11, L1-S2 7).** Both disappear with the automatic; the transmission that replaces it needs its own P/N and reverse signals into the same two ladder states."
D-173,What the electrical build reserves for the swap,"The fuel-pump soft fuse (4.0 A, set for the Carter P4070) is re-set…",,inherited,,,,,"**D-173 — The fuel-pump soft fuse (4.0 A, set for the Carter P4070) is re-set from the in-tank pump's spec at the swap.**"
D-113,What the electrical build reserves for the swap,The rear disc conversion and the rear axle are still planned,,inherited,,,,,"**D-113 — The rear disc conversion and the rear axle are still planned.** The July 2026 drum overhaul was an interim so the car could be driven; the intent is a thoroughly sorted rear axle and engine that then last.

**Electrical D-261 / D-262 — the 12A's senders stay and are read in place; every ICU sensor channel is jumper-and-config, the PMU's A7 takes a sender or a 0–5 V transducer.** What the new engine must deliver to those inputs is the hand-over table in [`README.md`](README.md)."
D-324,What the electrical build reserves for the swap,The A/C clutch is a DCU-switched comfort load; the PMU is not opened for it,2026-09-11,standing,,,02.01,,"**D-324 — The A/C clutch is a DCU-switched comfort load; the PMU is not opened for it.** Camden's call, 2026-09-11, answering `02.01`: ""I want all A/C comfort controls together manged by the dcu no pmu tear down and change up.""

D-211 said ""a PMU-driven clutch and a pressure transducer"", but every one of the PMU's 22 outputs is allocated — O13 and O14 are this project's ECU and cooling fan. Rather than re-allocate a channel and reopen a 39-way connector that D-004 assembles once, the clutch joins the comfort group where the rest of the A/C controls already are.

**The arrangement.** The clutch is a relay whose coil the **DCU** switches on one of its seven comfort FETs (luxury `SN16`, parts under luxury `V-083`), contact fed from the luxury package's **O15 comfort block**. The pressure transducer goes to a **DCU input**. The A/C toggle is already drawn on the control panel (luxury D-210). No PMU output, no harness change, and the clutch feed runs from the O15 block into the rebuilt engine leg at the swap — which suits D-271, since the leg is built from scratch then anyway.

**What this forecloses, accepted.** The clutch cannot engage with the DCU down. That is the correct trade for a comfort load: it matches D-081's principle that modules add capability to a finished car and are never a dependency for it starting, running or being legal."
D-325,What the electrical build reserves for the swap,The swap ECU is a dash node; no CAN and no ECU in the engine bay,2026-09-11,standing,,,00.04,,"**D-325 — The swap ECU is a dash node; no CAN and no ECU in the engine bay.** Camden's call, 2026-09-11, inside `00.04`: ""I do not want the ecu in the engine bay … I want as stripped clean of an engine bay as possible and do not want to put anything there unless there is no way to avoid it. The ECU will also be a dash node localized with all the other computers and more intricate wiring, then only the small branches travel everywhere.""

The electrical build's counterpart is **D-318**. The consequence here is that `HO03` changes shape: CAN2 no longer reaches the bay, `L1-S1 9` and `10` return to sealing plugs, and the far-end 120 Ω terminator moves to the dash node. A future ECU joins the bus **at the dash**, at 0x500+ as luxury's CAN map already allocates, and what leaves the dash for the engine is only the sensor and actuator branches the rebuilt leg pins.

**What this asks of the swap.** The ECU must be one that tolerates a cabin mounting and a longer sensor harness — which is the normal case for every ECU worth fitting, and is how the factory mounted its own control units. Long runs to crank and cam sensors are shielded, as `L1-S1 6` already is for the tach. Nothing about this reserves less: O13 and O14 stay the ECU and fan channels (D-007), and the leg still ends at the firewall grommet (D-211)."
D-393,Engine and transmission,"The swap engine is a light, aluminum-block 5.3 LS - L33 first, then LM4, then an LH6 or LC9 with AFM deleted; an iron LM7 is the fallback",2026-09-23,standing,,,,,"**D-393 — The swap engine is a light, aluminum-block 5.3 LS.** The order of preference:
1. **L33:** aluminum, no AFM.
2. **LM4:** aluminum, no AFM.
3. **LH6 or LC9:** aluminum, with AFM deleted.

An iron LM7 is the fallback if no aluminum engine can be had. Camden's call, 2026-09-23.

**His words.** ""can you find me a specific pic an pull junk yard near Fort Collins that is guaranteed to have one of the light iron blocks that id want, write all this in the engine swap project""

**Reading taken.** The light 5.3 blocks are aluminum; the iron ones (LM7, LMG, LY5, LR4) are the heavy ones, about 80 lb more dressed. ""Light"" is what he wants, so the target is aluminum. If he meant iron, the target is the LM7 (option OP05) and the sightings are searched again for code T.

**What the research found.** It is recorded in the new tables (`options`, `yards`, `sightings`):
- **Aluminum 5.3s:** common in 2007–2013 trucks as the LC9, less so as the LH6. The L33 (2005–07 extended-cab 1500s) and the LM4 are uncommon.
- **What a U-pull engine costs:** about $260–276 plus a $57–75 core near Denver.
- **The transmission:** the CD009 costs about $1,650–2,150 used and delivered. The Sikky adapter ($1,765) needs no bellhousing cutting.
- **Kits:** no bolt-in LS kit exists for the FB.
- **The CD009 in an FB:** no documented build was found, so it is the plan's biggest unknown (J3, J4).
- **The rear axle:** the stock FB axle will not take LS torque (D-113 already plans a new one).

**What ""guaranteed"" can honestly mean.** No yard can guarantee an engine. On 2026-09-23, 15 aluminum 5.3 donors were confirmed on the lot by the VIN's 8th digit, all in the Denver metro, about 60–65 miles away: two LH6 and thirteen LC9. There were none in Fort Collins, Greeley, Loveland or Cheyenne; those yards publish no inventory. No L33 was confirmed anywhere. One possible L33 is at Littleton (J2). A listing means the car is on the lot, not that its engine is still in it, so J1 calls ahead with the VIN.

**In the data.**
- `_tables` and `_schema`: `options`, `yards` and `sightings` are new.
- `options`: OP01–OP50.
- `yards`: YD01–YD09.
- `sightings`: SG01–SG16.
- `work`: J1–J5."
