table,column,type,required,ref,note
decisions,id,key,yes,,
decisions,system,str,no,,
decisions,title,str,no,,
decisions,date,date,no,,
decisions,status,enum(inherited|standing|superseded|withdrawn),no,,vocabulary owned by tools/rx7.py - do not narrow it per project (2026-09-11)
decisions,supersedes,str,no,,
decisions,superseded_by,str,no,,
decisions,closes,str,no,,
decisions,also,str,no,,
log,id,key,yes,,
log,date,date,no,,
log,workflow,enum(answers|clean|closed|repair|session),no,,
log,ids,text,no,,
log,summary,text,no,,
retired,term,key,yes,,
retired,retired_by,str,no,,
retired,note,str,no,,
work,id,key,yes,,
work,stage,str,no,,
work,stage_title,str,no,,
work,item,text,no,,
work,owner,enum(agent|camden),no,,vocabulary owned by tools/rx7.py - do not narrow it per project (2026-09-11)
work,state,enum(blocked|done|dropped|open),no,,vocabulary owned by tools/rx7.py - do not narrow it per project (2026-09-11)
work,gate,str,no,,"references only - D-###, a block id like 00.18, a work id in this area, <area>:<work id>, or phase:<PHASE>; all must be met before the row can start, an empty cell is met, and prose belongs in note (2026-09-12)"
work,note,text,no,,
ideas,id,key,yes,,
ideas,date,date,no,,
ideas,by,enum(camden|agent),no,,who raised it; agent ideas are suggestions until Camden keeps them
ideas,screen,str,no,screens,the screen it belongs to; empty for the whole app
ideas,idea,text,no,,Camden's words verbatim when by=camden
ideas,status,enum(raw|kept|merged|dropped),no,,raw until the clean-up
ideas,note,text,no,,
screens,id,key,yes,,dotted path: manual.history is a child of manual
screens,parent,str,no,screens,
screens,name,str,no,,
screens,purpose,text,no,,
screens,by,enum(camden|agent),no,,who proposed the screen
screens,note,text,no,,
