id,function,type,location,c86,c85,c30,c87,c87a,state,label
K1,Pop-up LH run,"ISO micro SPDT 40 A, integral diode",Dash node,O1,L3-S1 10 (wink R NC → ground),O1 splice (12 AWG),L2-P 3,GND bus (dynamic brake),LIVE,POPUP-L
K2,Pop-up RH run,"ISO micro SPDT 40 A, integral diode",Dash node,O1,L3-S1 9 (wink L NC → ground),O1 splice (12 AWG),L2-P 4,GND bus,LIVE,POPUP-R
K3,Hatch release select — empty socket until the luxury package fits the relay,ISO micro SPDT with integral coil diode (luxury LP51) - the DCU's low-side switches its coil,Dash node,O10 release branch (N85) - the coil only has power during the pulse,DP-DCU-B 10 - the DCU grounds it to pick the hatch (D-370),O10 release branch (N85),L4-M 3 - hatch solenoid,—,SPARE,HATCH-REL
K4,Fuel-door release select — empty socket until the luxury package fits the relay,ISO micro SPDT with integral coil diode (luxury LP51) - the DCU's low-side switches its coil,Dash node,O10 release branch (N85) - the coil only has power during the pulse,DP-DCU-B 11 - the DCU grounds it to pick the fuel door (D-370),O10 release branch (N85),L4-M 4 - fuel-door solenoid,—,SPARE,FUEL-REL
K5,Window DRV up — empty socket,,Sill node,"L4-M 9 (window DRV up command, from L3-S2 3)","SILL-GND (coil return, D-363)","D1 1 (window motor leg A, driver, D-363)","F8 (fused window feed from L4-P 3, D-363)","SILL-GND (the idle relay grounds its leg, D-363)",SPARE,WIN-D-UP
K6,Window DRV down — empty socket,,Sill node,"L4-M 10 (window DRV down command, from L3-S2 4)","SILL-GND (coil return, D-363)","D1 2 (window motor leg B, driver, D-363)","F8 (fused window feed from L4-P 3, D-363)","SILL-GND (the idle relay grounds its leg, D-363)",SPARE,WIN-D-DN
K7,Window PASS up — empty socket,,Sill node,"L4-M 11 (window PASS up command, from L3-S2 5)","SILL-GND (coil return, D-363)","D2 1 (window motor leg A, passenger, D-363)","F9 (fused window feed from L4-P 3, D-363)","SILL-GND (the idle relay grounds its leg, D-363)",SPARE,WIN-P-UP
K8,Window PASS down — empty socket,,Sill node,"L4-M 12 (window PASS down command, from L3-S2 6)","SILL-GND (coil return, D-363)","D2 2 (window motor leg B, passenger, D-363)","F9 (fused window feed from L4-P 3, D-363)","SILL-GND (the idle relay grounds its leg, D-363)",SPARE,WIN-P-DN
K9,Start relay,"Sealed mini ISO SPDT, integral diode, weatherproof socket","Inner fender, engine bay",L1-S1 1 (O21),block ground,"F17 (starter B+ stud, 10 AWG)",starter solenoid S terminal (10 AWG),,LIVE,START
K11,Head-unit constant master,"ISO micro SPDT 40 A, integral diode",Dash node,O22,GND bus,busbar (10 AWG),block B input (10 AWG),,LIVE,HEAD-UNIT
K12,Washer pump,"ISO micro SPDT 40 A, integral diode",Dash node,O10,L3-S2 9 (stalk WASH contact → ground),O8,L2-M 4,,LIVE,WASHER
K13,Fuel pump series - the mechanical back-stop,Song Chuan 871-1C-C-D1-12VDC (P003),Dash node,"Branch off L3-S2 1, the ignition switch's IG output (RUN)",GND bus,PMU pin 12 (O5) - the FUEL_PUMP output,Receptacle L4-P 2 - onward to the pump,,LIVE,FUEL-PUMP
