id,housing,cav,circuit,src,src_note,awg,colour,state,lands_on,route
L1-P 1,L1-P,1,Ignition feed — coils and igniters,O12,,12,RED,LIVE,"Splice at the coil bracket → BW of coil T, coil L, igniter T, igniter L",
L1-P 2,L1-P,2,LS swap reserve — ECU + injectors,O13,,12,RED,RESERVED,O13 pinned to the receptacle at the post (12 AWG from pin); the L1 plug carries a size-12 sealing plug — the swap's rebuilt leg pins it (D-271),
L1-P 3,L1-P,3,LS swap reserve — cooling fan,O14,,12,RED,RESERVED,O14 pinned to the receptacle at the post (12 AWG from pin); size-12 sealing plug in the L1 plug (D-271),
L1-P 4,L1-P,4,,,,,,PLUG,"Sealing plug, size 12",
L1-S1 1,L1-S1,1,Start relay K9 coil,O21,,16,RED,LIVE,K9 terminal 86 (inner fender),
L1-S1 2,L1-S1,2,Alternator excitation (field feed),F15,,16,RED,LIVE,"Alternator plug A-08, terminal BW",
L1-S1 3,L1-S1,3,Water temperature sender,,,16,GRY,LIVE,"Sender C-02, spade — factory wire YW",
L1-S1 4,L1-S1,4,Oil pressure sender,,,16,GRY,LIVE,"Sender C-09, spade — factory wire BrY",
L1-S1 5,L1-S1,5,,,,,,PLUG,"Sealing plug, size 16",
L1-S1 6,L1-S1,6,Tachometer pulse — SHIELDED,,,16 sh,shielded,LIVE,Coil T (B-18) negative terminal — factory wire YG. Shield grounded at the dash node end only,
L1-S1 7,L1-S1,7,,,,,,PLUG,"Sealing plug, size 16",
L1-S1 8,L1-S1,8,,,,,,PLUG,"Sealing plug, size 16",
L1-S1 9,L1-S1,9,,,,,,PLUG,"Sealing plug, size 16 — the CAN2 engine-bay drop is released; a future ECU is a dash node (D-318, swap D-325)",
L1-S1 10,L1-S1,10,,,,,,PLUG,"Sealing plug, size 16 — the CAN2 engine-bay drop is released; a future ECU is a dash node (D-318, swap D-325)",
L1-S1 11,L1-S1,11,Inhibitor switch — P/N contact (crank interlock),A4,spliced at the post,16,GRY,LIVE,Inhibitor A-06: 8.2 kΩ in the lead to terminal BY; terminal BW → block ground,
L1-S1 12,L1-S1,12,,,,,,PLUG,"Sealing plug, size 16",
L1-S2 1,L1-S2,1,Brake fluid level switch,,,16,GRY,LIVE,Reservoir switch C-05: terminal BR; terminal B → block ground,
L1-S2 2,L1-S2,2,,,,,,PLUG,"Sealing plug, size 16",
L1-S2 3,L1-S2,3,,,,,,PLUG,"Sealing plug, size 16",
L1-S2 4,L1-S2,4,,,,,,PLUG,"Sealing plug, size 16 — pinned at the swap, when a sensor has a destination (D-271)",
L1-S2 5,L1-S2,5,,,,,,PLUG,"Sealing plug, size 16 — pinned at the swap, when a sensor has a destination (D-271)",
L1-S2 6,L1-S2,6,,,,,,PLUG,"Sealing plug, size 16 — pinned at the swap, when a sensor has a destination (D-271)",
L1-S2 7,L1-S2,7,Inhibitor switch — R contact (reverse lamps),A5,spliced at the post,16,GRY,LIVE,Inhibitor A-06: 8.2 kΩ in the lead to terminal GY; terminal RW → block ground,
L1-S2 8,L1-S2,8,Alternator charge-lamp sense,,,16,GRY,LIVE,"Alternator plug A-08, terminal WB",
L1-S2 9,L1-S2,9,Phase-2 sensor supply — +12 V switched,,,16,RED,RESERVED,"The spare block-B fuse position is wired to the receptacle cavity (N68), no fuse fitted; sealing plug in the L1 plug (D-271)",
L1-S2 10,L1-S2,10,,,,,,PLUG,"Sealing plug, size 16 — no oil-temp sender on the 12A and no conductor run for one (D-264)",
L1-S2 11,L1-S2,11,Phase-2 sensor signal spare,,,16,GRY,RESERVED,Wired across the dash node to DP-ICU-B 9 (N67) — the ICU's spare input reaches the post; sealing plug in the L1 plug (D-271),
L1-S2 12,L1-S2,12,,,,,,PLUG,"Sealing plug, size 16",
L2-P 1,L2-P,1,"Headlight LOW, both",O2,,12,RED,LIVE,"Splice at the nose → 14 AWG branch to each lamp plug, terminal RL",
L2-P 2,L2-P,2,"Headlight HIGH, both",O3,,12,RED,LIVE,"Splice at the nose → 14 AWG branch to each lamp plug, terminal RY",
L2-P 3,L2-P,3,Pop-up LH run feed,K1 87,,12,RED,LIVE,Motor E-03 run terminal(s) — R + RY bridged if the ohm check confirms one winding,
L2-P 4,L2-P,4,Pop-up RH run feed,K2 87,,12,RED,LIVE,Motor E-04 run terminal(s) — as cavity 3,
L2-M 1,L2-M,1,Wiper LOW brush,O8,,14,ORN,LIVE,"Wiper motor D-02, terminal LW",
L2-M 2,L2-M,2,Wiper HIGH brush,O9,,14,ORN,LIVE,"Wiper motor D-02, terminal LR",
L2-M 3,L2-M,3,"Horns, both",O11,,14,ORN,LIVE,Splice at the nose → each horn's terminal GY,
L2-M 4,L2-M,4,Washer pump feed,K12 87,,14,ORN,LIVE,"Washer motor D-01, terminal LB",
L2-M 5,L2-M,5,Turn LEFT front,O17,,16,RED,LIVE,"Front combo lamp F-05, terminal GR",
L2-M 6,L2-M,6,Turn RIGHT front,O18,,16,RED,LIVE,"Front combo lamp F-06, terminal GO",
L2-M 7,L2-M,7,"Park + side markers, front",O6,,16,RED,LIVE,"Splice at the nose → F-05 RG, F-06 RG, F-12 RG, F-13 RG",
L2-M 8,L2-M,8,Wiper park feed — future motor family,F13,held,16,RED,CAPPED,Held as the fused park feed a self-parking motor needs; block A position F13 is its protection when it is taken up (D-317),
L2-S 1,L2-S,1,Pop-up LH transit contact,A4,,16,GRY,LIVE,Motor E-03 terminal YG through 3.3 kΩ; 47 kΩ baseline from this cavity to the front star ground,
L2-S 2,L2-S,2,Pop-up RH transit contact,A5,,16,GRY,LIVE,Motor E-04 terminal YG through 3.3 kΩ; 47 kΩ baseline to the front star ground,
