table,column,type,required,ref,note
decisions,id,key,yes,,
decisions,system,str,no,,
decisions,title,str,no,,
decisions,date,str,no,,
decisions,status,enum(inherited),no,,
decisions,supersedes,str,no,,
decisions,superseded_by,str,no,,
decisions,closes,str,no,,
decisions,also,str,no,,
handover,id,key,yes,,
handover,interface,str,no,,
handover,electrical_ref,text,no,,
handover,today,text,no,,
handover,at_the_swap,text,no,,
handover,rule,str,no,,
log,id,key,yes,,
log,date,str,no,,
log,workflow,str,no,,
log,ids,str,no,,
log,summary,str,no,,
retired,term,key,yes,,
retired,retired_by,str,no,,
retired,note,str,no,,
work,id,key,yes,,
work,stage,str,no,,
work,stage_title,str,no,,
work,item,str,no,,
work,owner,str,no,,
work,state,str,no,,
work,gate,str,no,,
work,note,str,no,,
