id,kind,ref,feature,role,expect,note
PV26,cavity,DP-DCU 1,FT31,"DCU logic power, ground, CAN2",CAPPED,
PV27,cavity,DP-DCU 3,FT31,"DCU logic power, ground, CAN2",CAPPED,
PV28,cavity,DP-DCU 4,FT31,"DCU logic power, ground, CAN2",CAPPED,
PV29,cavity,DP-DCU 5,FT31,"DCU logic power, ground, CAN2",CAPPED,
PV30,cavity,DP-DCU 2,FT15,outside-air temperature from L2-S 5,CAPPED,
PV31,cavity,L2-S 5,FT15,"outside-air thermistor at the nose, grounded at the front star — ends in the L2-OAT receptacle (electrical D-274)",CAPPED,
PV32,cavity,DP-DCU 6,FT31,spare,PLUG,
PV33,housing,DP-DCU,FT31,DT-6 module drop,,
PV34,cavity,DP-KEY 1,FT14,"CAN2, switched 12 V, ground — the panel drop",CAPPED,
PV35,cavity,DP-KEY 2,FT14,"CAN2, switched 12 V, ground — the panel drop",CAPPED,
PV36,cavity,DP-KEY 3,FT14,"CAN2, switched 12 V, ground — the panel drop",CAPPED,
PV37,cavity,DP-KEY 4,FT14,"CAN2, switched 12 V, ground — the panel drop",CAPPED,
PV38,cavity,L3-BLW 1,FT12,blower motor + (O16 via L3-P 1),CAPPED,
PV39,cavity,L3-BLW 2,FT12,blower return — the final stage inserts here,CAPPED,
PV40,housing,L3-BLW,FT12,DTP-2 at the HVAC case,,
PV41,pin,O16,FT12,"blower feed — configured, DISABLED until the motor exists",LIVE,
PV42,cavity,L3-P 2,FT31,"O15 comfort bus, 12 AWG — this project's fuse block plugs into the L3-CMF receptacle behind the centre stack (electrical D-274)",CAPPED,
PV43,pin,O15,FT31,"comfort bus, 25 A, ON in RUN",LIVE,
PV44,cavity,L4-P 4,FT23,"O15 → sill feed for mirror heat, landed at the sill node's F14 position (no holder this build)",CAPPED,electrical D-254
PV45,fuse,F14,FT23,"mirror-heat position at the sill — labelled, no holder this build",,
PV46,pin,O4,FT16,"defog output — wired to the grid, configured, DISABLED",LIVE,
PV47,cavity,L4-P 1,FT16,the grid feed,LIVE,
PV48,cavity,L4-M 3,FT17,"hatch solenoid — the conductor reaches the existing factory solenoid; the post end waits for this project's trigger (D-180, electrical D-274)",CAPPED,
PV49,cavity,L4-M 4,FT18,"fuel-door solenoid — the conductor reaches the existing factory solenoid; the post end waits for this project's trigger (D-180, electrical D-274)",CAPPED,
PV50,cavity,L2-S 6,FT21,heated-nozzle / de-icer feed — ends in the L2-NZL receptacle at the cowl (electrical D-274),CAPPED,
PV51,cavity,D1 4,FT23,"mirror motor common / X / Y — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV52,cavity,D1 5,FT23,"mirror motor common / X / Y — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV53,cavity,D1 6,FT23,"mirror motor common / X / Y — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV54,cavity,D2 4,FT23,"mirror motor common / X / Y — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV55,cavity,D2 5,FT23,"mirror motor common / X / Y — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
PV56,cavity,D2 6,FT23,"mirror motor common / X / Y — RESERVED at the sill: pinned on the node side, the door harness is this project's (electrical D-274)",RESERVED,
