id,date,workflow,ids,summary
L001,2026-09-03,closed,V-014 D-223 Q-101 D-224 V-028 D-225 V-001 D-226 Q-100 D-227 D-244 V-097 D-228 V-093 D-229 D-230 D-232 D-233,"the batch before that: `V-014` → D-223 · `Q-101` → D-224 · `V-028` → D-225 · `V-001` → D-226 · `Q-100` → D-227 *(superseded by D-244)* · `V-097` → D-228 · `V-093` → D-229 · plus D-230 (the amplifier comes off the PMU), D-232 (the gauge rule) and D-233 (the record is data, rendered)."
L002,2026-09-04,session,D-244 D-227 D-231 D-245 D-246 D-247 D-248 Q-107 Q-111 T-017,"Five of the six audit packets are ruled — D-244 (the wideband gauge is the controller; AFR rides CAN2; supersedes D-227 and D-231) · D-245 (the disconnect moves to the negative) · D-246 (1/0 starter feed and a dedicated cranking return) · D-247 (two-circuit brake switch, brake joins the wake strip) · D-248 (the parasitic-drain rules). Two questions are left before shopping — `Q-107` and `Q-111` — and one desk check, `T-017`."
L003,2026-09-07,session,D-249 D-250 D-251 D-252 D-306 T-017 Q-112 Q-115 NG-202 Q-118,"The ICU / modularity session's four packets are ruled: D-249 (A7 → oil pressure; the fuel pump is gated on it) · D-250 (sensor supply + two spares in `L1-S2 9/10/11`) · D-251 (wire is control, CAN is telemetry; fuel level is the ICU's) · D-252 (the ICU drop is `DP-ICU-A` + `DP-ICU-B`; road-speed conductors `L4-S 3/4`), with luxury D-306 (the ICU joins early, headless, behind the factory cluster). §1 is down to the desk check `T-017`. `Q-112`–`Q-115` are reserved by the unapplied 2026-09-05 future-proofing audit (queued in the Claude Project as `rx7/PENDING-2026-09-05-futureproofing.md`); the next question is Q-118."
L004,2026-09-07,session,D-253 Q-112 D-254 D-255 D-256 D-307 D-257 D-308 Q-121,"The DCU wiring audit, ruled: D-253 (the blower is a PWM load on `L3-BLW`; no resistor pack or switch; no motor until the luxury package — `Q-112`, the audit's reserved number) · D-254 (`L4-P 4` is the O15 → sill feed again) · D-255 (`L4-S2`, mirror-adjust commands) · D-256 (`L2-S 5` outside-air sensor → `DP-DCU 2`; `L2-S 6` nozzle heat), with luxury D-307; then D-257 — the PMU's PWM tops out at 400 Hz, so the ≥ 20 kHz final stage at `L3-BLW` is the plan, not the fallback (luxury D-308). Next question Q-121."
L005,2026-09-07,session,D-258 Q-121 D-259 Q-122 D-260 D-313 V-073 V-082 V-057 Q-304 Q-308 Q-309 Q-123 Q-124,"The ICU becomes the cluster: D-258 (the old cluster is a peripheral of the ICU — no cluster drop; `Q-121`) · D-259 (the ICU is a device of this build; `Q-122`) · D-260 (the oil node is PMU-excited), with luxury D-313 (the hand-over). §1 gains the ICU's layout questions, moved from the luxury package with their numbers — `V-073`, `V-082`, `V-057`, `Q-304`, `Q-308`, `Q-309` — and one new one, `Q-123`. None of them touches a cart. Next question Q-124."
L006,2026-09-07,session,D-261 D-262 Q-124 K-024 Q-125 Q-126,"Sensors: D-261 (the working senders stay — new wire to each, no replacements; the three factory-spec senders leave A2) · D-262 (every sensor input is jumper-configured and curve-as-data so the swap changes a file, not a board; the hand-over to the swap is `../engine-swap/README.md`). The cut device at the thermostat housing is identified as the emission system's B-12 switch (`Q-124`, K-024); the oil level float switch is `Q-125`. The 01-REFERENCE circuit files lost their hand-copied ""what this means for the rebuild"" tables — they had drifted three decisions behind; the rebuild's side of every factory device is the electrical data's, found by its factory code. Next question Q-126."
L007,2026-09-07,session,D-263 Q-123 D-264 Q-124 Q-125 Q-308 D-265 V-073 V-057 V-082 D-266 Q-304 Q-309 Q-126 Q-127 Q-128 Q-129,"Camden's answers in this file, ruled: D-263 (the gauges are bimetal — `Q-123`) · D-264 (the 12A's sensors are the three senders and nothing else: B-12 stays as a plug, no oil-level lamp, no oil-temp conductor — `Q-124`, `Q-125`, `Q-308`) · D-265 (the ICU carrier's layout brief; TCAN1042HVDRQ1 confirmed — `V-073`, `V-057`; `V-082` is agent work at F2) · D-266 (the AEMnet frame, read from the AEM sheet he filed — `Q-304`). `Q-309` carries a sharpened recommendation and waits for a yes; two new ones from his notes: `Q-126` (the ICU enclosure with embedded connector halves) and `Q-127` (drop the engine leg's pre-run reserves); then `Q-128` (battery data into the ICU — the Ionic's Bluetooth, a shunt, or both). Next question Q-129."
L008,2026-09-07,session,D-267 Q-126 Q-128 F-015 Q-129 Q-130,"D-267 — the ICU carries an ESP32-C3 radio co-processor on its carrier (channel `IC24`, dev board `P116` bought now to try the decode); nothing at the harness changes; the enclosure must be RF-transparent in front of the antenna (a constraint on `Q-126`). `Q-128` narrows to *which source*; the battery frame `0x220` joins the luxury CAN map, its firmware is luxury `F-015`. Then `Q-129` — the display now, the dash plastics later, no temporary cluster at all (recommend yes). Next question Q-130."
L009,2026-09-07,session,D-268 Q-129 D-263 T-051 V-085 V-084 D-314 Q-130 Q-131 Q-132,"D-268 — `Q-129` yes: the display is this build's, installed with the ICU; no temporary cluster, no CLU pigtail, no gauge drives (IC17–IC20 and `DV32` gone, D-263 withdrawn as moot); the factory cluster stays on the *factory* harness until MG22, now gated on the display proven on the bench. The display chain `T-051` / `V-085` / `V-084` and parts P117–P121 move in from the luxury package, which keeps the moulded bezel (luxury D-314, FT34). Two new questions from it: `Q-130` (the plate as the bezel's sub-frame) and `Q-131` (the odometer as a cutover gate). Next question Q-132."
L010,2026-09-08,answers,D-269 V-085 Q-130 Q-131 D-270 Q-126 D-271 Q-127 Q-309 Q-128 Q-132 Q-133,"Answer cycle 2 — D-269 (chain (ii) glass; the plate stays as the bezel's sub-frame; the odometer non-volatile in EEPROM + SD, a cutover gate — `V-085`, `Q-130`, `Q-131`) · D-270 (the ICU enclosure: printed ASA / PETG, two DT13 receptacles in the wall, the harness plugs in — `Q-126`; his one-or-two-connector question answered: two) · D-271 (reserves live at the post — the new RESERVED cavity state; the engine leg carries only the 12A — `Q-127`). `Q-309` re-suggested without the cluster (transmission-boss pulse generator, the cable deleted); `Q-128` noted open; `Q-132` opened (the three chassis stubs). The answer cycle itself is now written down — `ASSISTANT.md` §10 and `tools/answers.py`. Next question Q-133."
