id,system,title,date,status,supersedes,superseded_by,closes,also
D-001,Architecture and scope,ECUMaster PMU-24 DL over a conventional relay/fuse box,,standing,,,,
D-002,Architecture and scope,"Ionic S9 heated lithium battery, rear-mounted",,standing,,,,
D-007,Architecture and scope,Baseline pinned for the current 12A / Weber configuration; O13 and O14…,,standing,,,,
D-081,Architecture and scope,"The car drives fully on the PMU with plain switches, the factory…",,standing,,,,
D-259,Architecture and scope,"The ICU is a device of this build: designed, built, bench-commissioned…",2026-09-07,standing,,,,
D-131,Architecture and scope,The windows are manual,,standing,,,,
D-004,Architecture and scope,All 39 PMU cavities are terminated at build time; reserved channels get…,,standing,,,,
D-119,Architecture and scope,The car migrates and drives on stock incandescent bulbs,,standing,,,,D-124
D-209,Architecture and scope,The column combination switch stays; every other switch in the car is…,,standing,,,,
D-210,Architecture and scope,No ECUMaster keypad; DP-KEY is a generic control-panel drop,,standing,,,,
D-211,Architecture and scope,The A/C system comes out; no cooling until the swap engine,,standing,,,,
D-228,Architecture and scope,The A/C compressor runs on its own belt; the D-211 strip is purely…,2026-09-03,standing,,,V-097,
D-202,Architecture and scope,One teardown: everything is bought now; measurements confirm before…,,standing,,,,
D-194,Architecture and scope,Configure in the car; there is no bench phase,,standing,,,,
D-213,Architecture and scope,One wiring project,2026-09-02,standing,,,,
D-061,Power backbone and battery,The starter feed and the PMU feed are separate runs from the battery…,,standing,,,,D-091
D-062,Power backbone and battery,"Main protection is Class-T (Blue Sea 5007100 block, 5114 150 A fuse)…",,standing,,,,
D-203,Power backbone and battery,"The starter run is protected by an MRBF (Blue Sea 5191 holder, 5187 200…",,standing,,,,D-207 D-207
D-198,Power backbone and battery,The alternator gets its factory-spec excitation circuit: O12 → F15 (7.5…,,standing,,,,
D-063,Power backbone and battery,"The battery mounts on a backing plate under the floor, not through…",,standing,,,,
D-229,Power backbone and battery,No battery box,2026-09-03,standing,,,V-093,
D-064,Power backbone and battery,A pull string goes into the tunnel beside the 2 AWG feed,,standing,,,,
D-145,Power backbone and battery,First power-up of the dash node is through a 5 A fuse in the main feed…,,standing,,,,
