id,stage,group,item,spec,qty,usd_low,usd_high,status,gate,note
LP17,S2,climate,Blower motor,"Four Seasons 35483 blower motor, motor only (2-wire, 1979-83/85 RX-7 fitment, Mazda 8871-76-453 interchange) - RockAuto",1,37,37,chosen,,"D-391. The old motor and its fan wheel are in hand (Camden 2026-09-23: ""i still have to old one with the fanwheel"") - the wheel transfers; confirm its bore fits the 0.268 in shaft. Current on high is measured at I6 and sets the O16 limit (electrical D-253; the original is dead, K-023)"
LP18,S2,climate,Blower final stage,"Pololu G2 High-Power Motor Driver 24v21 (#2995): 21 A continuous, PWM to 100 kHz run at 25-40 kHz, 1.8/3.3/5 V logic, 40 V max, short-circuit protected, current sense 0.02 V/A - motor across its outputs, a Schottky across the motor; conformal-coated. The >= 25 A spec is widened to 21 A (D-391)",1,57,57,chosen,,D-391 widened the rating to 21 A for silence (D-257). Camden: he will watch the battery when the blower runs on high for hours (the fan current is measured at I6)
LP19,S2,climate,HVAC servos,"FEETECH FS5115M analog metal-gear servo (Pololu #3426), 15.5 kg-cm at 6 V, 3.3 V signal OK - x4 (3 + 1 spare)",4,121,128,chosen,,D-391. Stall is over 3 A at 6 V: firmware stops short of the door stops and moves one servo at a time (F-017); endpoints set at I7
LP20,S2,climate,Control panel faceplate and knobs,"The panel's look: the faceplate in the centre stack and the knobs on the DCU's encoders. The keys, encoders, thumbstick and ribbon behind it are the electrical build's (its P155-P157, D-374)",1,,,est,"D-359, D-355",priced when H-007 draws the panel (electrical); the $60-150 estimate moved with the electronics (electrical P155)
LP21,S2,climate,O15 comfort fuse block,"Blue Sea Systems 5028 ST blade fuse block, 6 bussed circuits with cover, 30 A per circuit / 100 A per block, #10-32 input stud",1,28,40,chosen,,D-391; price confirmed at the cart. Camden will make the space behind the centre stack work. Fuses per electrical D-382
LP23,S2,body,Hatch release solenoid,"the factory solenoid, in place",1,0,0,in hand,T-032,The factory hatch solenoid exists (Camden 2026-09-08) — nothing to buy; L4-M 3 reaches it (electrical D-274)
LP24,S2,body,Hatch latch switch,replacement for the broken factory switch (K-016),1,50,130,verify,T-032,
LP25,S2,body,Fuel-door release solenoid,"the factory solenoid, in place (K-017 corrected 2026-09-08)",1,0,0,in hand,T-032,The factory fuel-door solenoid exists (Camden 2026-09-08) — nothing to buy; L4-M 4 reaches it (electrical D-274)
LP29,S3,display,"Display bezel — foam plug, fibreglass cloth, epoxy, filler, primer and finish",shaped over the electrical build's binnacle plate (electrical D-269); the ICU enclosure is the electrical build's (its D-270),1,80,200,est,,"FT34 / H-006; the glass, bridge, eval board and page button are the electrical build's P117–P120 (D-314)"
LP30,S4,comfort,Seat heating elements,2 × ~4 A,2,40,100,hold,,D-392 - on hold: seats with heating and cooling built in are searched first (LP52); an add-on kit comes back only if none suits. Design 5 A per seat on high (V-101)
LP31,S4,comfort,Seat cooling fans and ducting,2 × 1.5–2.5 A,2,40,120,hold,,"D-392 - on hold with LP30, seats first (LP52). Design 2.5 A per seat, fan type (V-101); a Peltier unit (~10 A) changes the fusing"
LP33,S4,comfort,Sound deadening,Noico 80 mil butyl CLD 36 sq ft (SNL1) + Noico Red 150 mil closed-cell foam 72 sq ft (2 boxes) + Trademark Soundproofing 1 lb MLV 4 x 15 ft,1,320,370,chosen,,"D-391. Areas are estimates until the carpet is up (I11). Camden: ""reference heat must be examened later"" - check the tunnel temperature over the exhaust before MLV or foam goes there (Noico Red is rated 190 F)"
LP34,S5,mirrors,Mirror heat pads - bonded resistive,"one per glass, on the car's own mirrors, fed from F14 (D-332, D-359)",2,8,20,est,D-359,"the mirror heads are the car's own FB units, kept (D-359) - nothing else is bought for the mirrors but the thumbstick (LP35) · ~13 W per pad typical (~1.1 A), design 1.5 A (V-101) - measure the pads in ohms"
LP36,S6,windows,Window regulators and motors,pair,2,150,400,est,,"the window switches are panel keys (LP20, D-355) - nothing else to buy for them"
LP37,S6,windows,Window relays K5–K8 and the F8 / F9 fuses,"Song Chuan 871-1C-C-R1-12VDC micro ISO SPDT, 680 ohm coil resistor, NO 35 A / NC 20 A - x4, plus two blade fuses for F8 / F9",1,24,35,chosen,,D-391. Confirm the window motors' stall current against the 20 A NC contact when LP36 is chosen
LP38,S7,lighting,"DOT / SAE LED modules, red and white",with published candela,2,80,200,verify,V-064,"candidate: ams OSRAM LR G6SP.02 red (V-064), confirm; the path is block 01.10"
LP39,S7,lighting,Tail-light housings,"fabrication, sealed, stock mounting",2,60,150,est,,
LP40,S7,lighting,Tail-light driver PCBs,"2 + spares, two revisions likely",2,60,120,est,,D-111
LP41,S7,lighting,Headlamp units,"Grote 94401-5 4x6 LED sealed-beam, high and low in one unit, FMVSS 108 type 2E1, 1.35 / 1.63 A at 13.5 V, H4 plus 2E1 adapter, 73 mm deep",2,558,613,chosen,D-358,"D-391 - over the old $120-300 budget, accepted for the look. Confirm at V-066 that 73 mm clears the bucket with the adapter plate (LP42), and at install the wink turn-on and whether low stays lit with high"
LP42,S7,lighting,Headlamp adapter plates,"one per bucket; made or bought is a sourcing call, sized from V-066 (D-358)",2,20,60,est,D-358,
LP43,S7,lighting,LED bulbs,"park, marker, plate, interior, glovebox, luggage, illumination — ~20",1,60,150,est,,then re-set every lamp soft fuse (D-122)
LP44,S8,radar,Radar sensors and module,custom subsystem,1,,,unpriced,V-061,no estimate until Z-002 exists
LP48,S5,doors,"Door harnesses, driver and passenger","per door: the door-side mating half of the sill's D1 / D2 (electrical housings: DT06-08S leg side / DT04-08P, W8S / W8P wedgelocks - which half this project supplies is confirm), contacts for 1-2 (window legs, 14 AWG), 4-7 (mirror common, motor, clutch coil, heat) and 8 (door ground), a sealing plug for 3, GXL to the mirror and window motor",2,,,verify,,"confirm — quantity and part from the design; PV51-PV58, PV74-PV77"
LP49,S4,comfort,Comfort-return harness to the DCU,"The DT06-08S plug that mates the DCU's DT13-08PA (electrical DP-DCU-C, D-382): contacts, a size-16 sealing plug for cavity 8, and wire - the four seat returns, the O15 supply (16 AWG RED) and the two power grounds (14 AWG BLK, electrical G36) to the dash ground bus",1,,,verify,V-101,"confirm — quantity and part from the design; D-362. It mates the DCU's comfort receptacle, which is electrical P153 (D-374)"
LP51,S2,body,Release relays K3 / K4,"Song Chuan 871-1C-C-D1-12VDC micro ISO SPDT, coil diode anode on 85 (86 positive), NO 35 A / NC 20 A - x2",2,10,14,chosen,T-032,D-391. Fits the Waytek 75290 sockets; the electrical build's own relays are the same family (P003)
LP52,S4,comfort,"Front seats with heating and cooling built in, likely power-adjusted","Two front seats with heating and ventilation built in, probably with electric adjustment. To be defined by the search (D-392): what each seat needs from the car - feeds and currents, control inputs (switches, a module or CAN), mounting to the FB floor, and any side airbag",2,,,search,,"Camden 2026-09-23: ""i want to first look for seats with heating/cooling and likely electric controls"". Replaces LP30 / LP31 if a seat suits. What it touches: the DCU's four low-side comfort channels (D-382), the O15 comfort block (LP21) and the comfort-return harness (LP49) - a power seat adds motor loads the O15 bus was not sized for"
